fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,CNY,None,1646455000,-3029861000,-37787000,-3312602000,None,-30626000,225187000,None,None,4026790000,None,None,None,None,None,None,1060293000,0,None,None,None
2020-03-31,CNY,None,0,511516000,305902000,2462907000,None,89225000,225187000,None,None,1984841000,None,None,None,None,None,None,1954123000,0,None,None,None
2019-12-31,CNY,-0.07,-1925765000,-2956687000,274972000,-8319548000,-10474035000,4531782000,836422000,2113801000,-11371645000,4471875000,0,8197100000,-0.08,0,-0.02,-0.08,-1948499000,8891529000,0,0,0
2019-09-30,CNY,-0.15,-649217000,-3983628000,-28557000,2210544000,-0.19,-4082827000,-576140000,0.01,-0.13,5023918000,0,-0.23,-0.09,0,0.13,0.19,4768900000,0.08,0,0,0
2019-06-30,CNY,-0.20,649217000,-4333412000,547021000,-3231100000,-3696110000,146901000,576140000,1582308000,-7201817000,3718658000,0,3981293000,-64002000,0,-0.22,-0.31,3610221000,4495502000,0,0,0
2019-03-31,USD,0,0,-331065633.61,-78082544.89,262260895.48,0.05,-25255159.06,85843701.11,0.05,-0.30,-94999478.51,0,0.49,-0.14,0,-0.28,-0.40,-161291067.57,0.22,0,0,0
2018-12-31,CNY,818.57,-8026.28,-5529105000,1217511000,-38711.49,-16280606000,-6082825000,5069,2264514000,-8720271000,13032076000,0,7521551000,-5627.08,0,-9943.08,-14917.04,-2627.12,6746616000,0,0,0
2018-09-30,USD,76114952.90,-579771870.31,-107965321.96,-78499905.37,38523344.35,-443546273.78,-197722925.07,34196596.25,94340578.55,-211224650.24,325901963.92,0,-555218157.20,-284346693.07,0,330008589.44,308681011.52,704824062.08,112493266.75,0,0,0
2018-06-30,CNY,-2589858.52,13432522,-887095000,2595468000,-241828.87,-9273730000,-2926756000,-792288.41,1906316000,-3322169000,6800947000,0,3633859000,-141312000,0,-7645848.07,-7151717.24,4935112.22,3482563000,0,0,0
2018-03-31,USD,4906615.72,0,279940291.38,-12391051.67,-966231351.01,-1334731470.42,-79774221.80,-37400366.21,49143061.86,-834948969.03,237056922.22,None,607234774.30,-290636573.52,1910675.90,-360926040.92,-337600350.29,187913860.36,218202372.42,None,None,None
2017-12-31,CNY,-61742472.40,71437245.19,-5597489000,3294305000,-130356097.80,-3398994000,2188297000,-1866020.97,3049010000,3987522000,13205572000,0,6568880000,-126201684.45,-10503873.16,-65374672.93,-28408883.10,139341493.51,8891794000,0,0,0
2017-09-30,CNY,-67.45,-70.43,-182.79,10.49,-21.92,-8.21,72.90,2.09,3.67,-72.75,49.65,0,-131.13,-59.19,0.47,91.53,31.88,176.10,39.4,0,0,0
2017-06-30,USD,-288594581.84,265384535.98,-476095061.13,41189222.67,242782668.97,-664190299.22,-704347505.49,-7869899.28,7825362.42,-732777949.83,116542051.94,0,494089722.60,-202625462.70,1769676.59,-344889026.53,-120133020.69,65641139.08,100933209.46,0,0,0
2017-03-31,USD,79331000,0,-444380000,192169000,-2747459000,-2794488000,1638417000,-53365000,55632000,-733301000,367657000,None,3350373000,-1685446000,None,-2338658000,-814610000,2139893000,268254000,None,None,None
2016-12-31,USD,-849440000,-3126722000,-4998596000,602493000,-3362628000,-3671920000,4929110000,-255360000,34426000,3051430000,1659034000,None,6922435000,-5238402000,505514000,351048000,-200784000,5397338000,905025000,None,None,None
2016-09-30,USD,None,None,-3634455000,243929000,None,59561000,98224000,187418000,8416000,4692546000,1109511000,None,-3504881000,None,None,-991868000,784978000,None,703854000,None,None,None
2016-06-30,USD,None,None,2207000000,175879000,None,-1480000000,8853000,-95000000,7426000,4456000000,586243000,None,3454000000,None,None,140793000,-842000000,None,448357000,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,2794000,None,32150000,None,None,None,None,None,None,None,132112000,None,None,None
2015-12-31,USD,4700780000,-959448000,455796000,892972000,-9025380000,-5425640000,-244911000,-212906000,176290000,4379288000,1116344000,None,7290751000,-6052821000,9897472000,301677000,-757788000,1679091000,1341477000,None,None,None
2015-09-30,USD,None,None,320439000,1158249000,None,None,1220083000,None,None,None,484525000,None,None,None,None,None,None,None,991004000,None,None,None
2015-06-30,USD,None,None,2095000,316906000,None,None,None,None,20891000,None,452857000,None,None,None,None,None,None,None,654850000,None,None,None
