fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,CNY,None,None,None,None,None,None,None,None,None,16340281000,None,None,None,357899000,None,None,None,None,None,None,None,77763000,None,None,None,-132506000,None
2020-03-31,CNY,None,None,None,None,None,None,None,None,None,16232837000,None,None,None,302134000,None,None,None,None,None,None,None,84715000,None,None,None,30718000,None
2019-12-31,CNY,95134057000,3.38,89718018000,5416039000,0.03,145237000,0.04,0,531493000,16065427000,2094836000,0,2621566000,417470000,-414609000,213427000,-2090073000,None,0,0,0,35434000,-0.03,0,0,-176621000,0
2019-09-30,CNY,2.85,2.76,2.67,0.18,0.09,0.01,0.01,0,0.03,16570770000,0.06,0,0.09,363941000,-0.08,None,None,None,0,0,0,177993000,-0.07,0,0.02,102609000,0
2019-06-30,CNY,94940104000,4.58,88228258000,6711846000,0.17,705762000,0.01,0,1582308000,16293141000,3534907000,0,3833381000,339407000,-29274000,412293000,-2251073000,None,0,0,0,248894000,-0.09,0,0.06,260846000,0
2019-03-31,USD,5.28,5.08,4.89,0.39,0.20,0.05,0.01,0,0.08,2322488713.40,0.15,0,0.20,34502868.21,-0.15,None,None,None,0,0,0,24346122.33,-0.11,0,0.07,66291589.06,0
2018-12-31,CNY,97847060000,513587.95,91111001000,6736059000,1189.04,-114167000,3514.21,0,358198000,144022.44,3789268000,0,2620560000,8545.98,-698410000,251180000,-2262362000,None,0,0,0,126.44,-7953.79,0,-6891.18,-188901010,0
2018-09-30,USD,6356303192.65,5965413239.38,5747917861.67,608385330.98,390889953.27,94340578.55,17335963.55,0,177360858.36,2210383467.51,232322642.64,0,390889953.27,-29342835.10,-171295695.09,None,None,None,0,0,0,35125129.21,-213529094.91,0,142235729.16,102281879.19,0
2018-06-30,CNY,82394354000,0,75918415000,6475939000,5883420.99,821627000,457311.43,0,1906316000,57728066.11,2666842000,0,4194333000,2200580.01,-301049000,571339000,-2288017000,None,0,0,0,1208877.90,-1716338.74,0,2958204.35,767079010,0
2018-03-31,USD,5838736884.01,5591670726.85,5390780351.88,447956532.12,247066157.15,49143061.86,21587612.45,0,112128492.95,2647276968.39,191509274.74,None,247066157.15,9381100.23,-186282939.26,None,None,None,0,0,0,33977231.11,-134937664.20,0,78151261.84,49143061.86,None
2017-12-31,CNY,89599367000,4404869565.12,81074726000,8524641000,138851521.88,676151000,1694776.54,0,1470052000,516874.72,4055374000,0,4152203000,31256666.07,-50455000,295281000,-2682151000,None,0,56687.81,0,653043.56,-82924557.36,0,45878601.52,620699690,0
2017-09-30,CNY,296.23,646.63,-959.52,162.95,138.89,3.67,5.14,0,6.67,2.22,-32.67,0,40.19,10.67,-11.23,None,None,None,0,0,0,0.78,-66.31,0,46.72,3.67,0
2017-06-30,USD,1111171378.43,-10103194266.25,1781518529.99,-919223849.34,-563128935.69,7825362.42,628972.56,0,14771932.93,5014378.62,62052529.90,0,72000471.91,-87074134.70,57670515.71,None,None,None,0,0,0,1932191.89,254207553.57,0,-204805114.37,7825362.42,0
2017-03-31,USD,5950583000,39124631000,37751900000,3157560000,1784829000,55632000,0,0,132742000,38812000,1068230000,None,1784829000,304501000,-1022316000,None,None,None,0,0,0,38298000,-863305000,0,657910000,55632000,None
2016-12-31,USD,7016901000,98442133000,11906915000,8447761000,4036773000,34426000,12317000,0,109872000,62887000,441361000,None,452931000,863208000,386970000,None,None,None,0,8214000,0,12559000,-3539547000,0,1221373000,34426000,None
2016-09-30,USD,6239583000,12873691000,33045971000,-108904000,20319000,8416000,-12004000,0,46640000,15788000,-332664000,None,867500000,0,-1535029000,None,None,None,0,0,0,22436000,0,0,0,8416000,None
2016-06-30,USD,4263690000,27748000000,6395943000,2417000000,1108000000,7426000,12004000,0,48871000,41182000,332664000,None,260819000,0,404370000,None,None,None,0,0,0,263000,0,0,0,7426000,None
2016-03-31,USD,3253110000,0,0,0,0,2794000,0,0,28744000,2995000,0,None,0,0,0,None,None,None,0,0,0,22955000,0,0,0,2794000,None
2015-12-31,USD,4035491000,125171875000,8029876000,2452120000,-1696441000,176290000,12653000,0,183123000,1213000,285035000,None,-1696441000,380626000,449704000,None,None,None,0,1542000,0,5620000,1833307000,0,367013000,176290000,None
2015-09-30,USD,4357899000,0,-9572281000,0,0,-20891000,-13416000,0,-1255000,32252000,-330189000,None,-182557000,0,-536309000,None,None,None,0,0,0,0,0,0,0,-20891000,None
2015-06-30,USD,6248385000,0,9572281000,0,0,20891000,13416000,0,1255000,-4062000,330189000,None,182557000,0,536309000,None,None,None,0,0,0,-9938000,0,0,0,20891000,None
