fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,6833228000,89047000,None,73495000,4295951000,2503338000,99371000,30038000,879000,436288000,201768000,2425372000,71822000,211939000,527364000,48465000,48465000,-500879000,3160784000,610941000,None,22858000,None,325507000,3078445000,4712000,448861000,None,None,879000,None,436288000,None,None,543810000,None,3274000,539485000,3078445000,590771000,3768587000,None,33939000,None,2567050000,6833228000,211939000,None,87897964
2020-03-31,USD,6717995000,89052000,None,82443000,4220337000,2464167000,94420000,29671000,878000,395209000,177892000,2426700000,71524000,81004000,579584000,196072000,196072000,-493138000,3151739000,502952000,None,-18094000,None,339505000,2944820000,4882000,353841000,None,None,878000,None,395209000,None,None,544245000,3307000,6215043000,511054000,2944820000,601513000,3640753000,None,33491000,None,2561218000,6717995000,81004000,None,87842302
2019-12-31,USD,6879142000,90357000,None,78244000,4340610000,2505381000,140775000,29140000,877000,361746000,225700000,2449131000,71572000,124192000,463576000,43679000,43679000,-414884000,3224034000,542211000,None,-956000,None,339775000,3105420000,4759000,390757000,None,None,877000,None,361746000,None,None,570070000,3339000,6336931000,538211000,3105420000,630839000,3877034000,None,33151000,None,2557642000,6879142000,124192000,None,87715591
2019-09-30,USD,6728125000,89028000,None,93788000,4275070000,2420691000,79050000,28010000,877000,373000000,160559000,2424241000,66643000,92900000,458206000,41287000,41287000,-507994000,3131419000,536913000,None,-60214000,None,350225000,3133635000,4337000,388909000,None,None,877000,None,373000000,None,None,543153000,3371000,6191212000,513588000,3133635000,604179000,3816864000,None,32364000,None,2554808000,6728125000,92900000,None,87655556
2019-06-30,USD,6790418000,89613000,None,81464000,4335865000,2422346000,83096000,27578000,876000,330434000,163318000,2435025000,138659000,43541000,430688000,38895000,38895000,-459617000,3164076000,471494000,72965000,-70085000,None,346489000,3206868000,6076000,364215000,None,None,876000,None,330434000,None,None,553841000,3404000,6318924000,525576000,3206868000,615213000,3905177000,None,32207000,None,2550653000,6790418000,43541000,None,87645258
2019-03-31,USD,6785517000,89796000,None,76979000,4350243000,2403343000,76922000,27984000,876000,282294000,154665000,2441999000,121369000,43684000,424671000,36503000,36503000,-426586000,3173052000,452514000,46304000,-96521000,None,331851000,3221709000,6115000,360184000,None,None,876000,None,282294000,None,None,578416000,3436000,6333003000,532737000,3221709000,626941000,3925572000,None,31931000,None,2546759000,6785517000,43684000,None,87593730
2018-12-31,USD,6172504000,88990000,None,81820000,3810391000,2333307000,80372000,57271000,874000,252823000,234639000,2396412000,128919000,50510000,416377000,34112000,34112000,-462377000,3107766000,450417000,60524000,-123289000,None,318087000,3159375000,5055000,382265000,None,None,874000,None,252823000,None,None,64927000,3468000,5722087000,None,3159375000,154267000,3394014000,None,28806000,None,2541987000,6172504000,50510000,-485985000,87444473
2018-09-30,USD,6529584000,91259000,None,96146000,3820637000,2680249000,82269000,42893000,874000,584460000,247932000,2729941000,91009000,48928000,390743000,33264000,33264000,-440462000,3126642000,490733000,33084000,-112253000,0,345659000,3181962000,5021000,357479000,0,0,874000,0,584460000,0,None,54295000,3630000,6038851000,None,3181962000,165663000,3429894000,None,28698000,None,2535377000,6529584000,48928000,None,87363357
2018-06-30,USD,6503147000,91566000,None,80503000,3821055000,2653301000,78340000,41328000,873000,538228000,239149000,2739303000,79725000,79463000,394118000,33264000,33264000,-415883000,3103331000,489222000,24989000,-148777000,0,329256000,3187788000,4733000,360854000,0,0,873000,0,538228000,0,None,51072000,3664000,6013925000,None,3187788000,160809000,3426937000,None,28791000,None,2530083000,6503147000,79463000,None,87330276
2018-03-31,USD,6584729000,91036000,None,120937000,3858452000,2701619000,92090000,43395000,873000,479392000,260723000,2779401000,58870000,57808000,389641000,33830000,33830000,-301391000,3151529000,503893000,None,-144160000,0,325148000,3208088000,4772000,355811000,0,0,873000,0,479392000,0,None,55172000,3698000,6080836000,None,3208088000,168633000,3468811000,None,24658000,None,2522745000,6584729000,57808000,None,87287865
2017-12-31,USD,6424502000,87348000,None,107335000,3829214000,2572871000,80333000,239248000,871000,428573000,166434000,2751174000,2904822000,67290000,377389000,34830000,34830000,-374118000,3048130000,471550000,12997000,-243234000,0,296925000,3205058000,4787000,342559000,0,0,871000,0,428573000,0,None,49572000,3731000,5952952000,None,3205058000,166434000,3451825000,None,22417000,None,2517545000,6424502000,67290000,-347419000,87060114
