fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-65771000,85408000,-65771000,-3238000,-21216000,-22579000,-1176000,37542000,41714000,131048000,219398000,14812000,44777000,-187000,None,None,13894000,18793000,62533000,13894000,None,131048000
2020-03-31,USD,-74161000,-26354000,-74161000,-4614000,-10621000,-13430000,-2545000,-24826000,34067000,-42045000,45546000,-20227000,44730000,-264000,None,None,-2828000,16158000,69547000,-2828000,None,-42045000
2019-12-31,USD,-63949000,15407000,-63949000,18011000,-28246000,-29468000,-1068000,3116000,-10313000,25958000,119375000,1965000,44828000,-154000,-151000,None,13896000,53592000,81960000,13896000,None,25958000
2019-09-30,USD,105008000,-14243000,40790000,-5072000,-73246000,-74707000,-1461000,16855000,42723000,50926000,84843000,6548000,43659000,None,117000,None,-5287000,11443000,59146000,-5287000,None,51147000
2019-06-30,USD,-67881000,7924000,-67881000,5381000,-14819000,-15955000,-1136000,-1067000,48201000,1177000,85013000,-4350000,44076000,None,-288000,None,-15689000,4851000,73262000,-15689000,-1320000,-143000
2019-03-31,USD,-110101000,-19368000,-110101000,-39787000,63327000,58503000,-4824000,-9247000,29511000,-7925000,43673000,-5580000,43468000,None,-1327000,None,-11980000,7622000,70314000,-11980000,1099000,-6826000
2018-12-31,USD,None,16155000,-98470000,1995000,-30166000,-26593000,3573000,9068000,-331529000,2834000,127897000,31813000,42165000,None,-3407000,None,26431000,342862000,100465000,26431000,-1252000,1582000
2018-09-30,USD,None,-4209000,-88745000,223000,-8246000,-10185000,-1939000,1802000,46279000,-30061000,68869000,-5825000,42298000,0,0,0,-17148000,7474000,88968000,-17148000,-474000,-30535000
2018-06-30,USD,None,22694000,-95063000,729000,-23246000,-25818000,-2572000,25458000,58890000,24083000,144964000,27198000,42527000,0,0,0,-7311000,966000,95792000,-7311000,-2428000,21655000
2018-03-31,USD,None,1943000,-78686000,-4066000,-23246000,-4734000,-4734000,-9173000,50874000,-11070000,72350000,-14484000,42298000,0,0,0,-18793000,10512000,74620000,-18793000,1588000,-9482000
2017-12-31,USD,None,19334000,-103350000,-15230000,-31392000,-32532000,-1140000,20438000,69689000,-7656000,128226000,-7901000,40269000,0,0,0,-28570000,6724000,88120000,111000,-715000,-8371000
2017-09-30,USD,None,-17848000,-86867000,-124000,-8638000,-4319000,4319000,6907000,45489000,-7441000,83745000,3267000,38937000,0,0,0,28681000,20177000,86743000,-6277000,3668000,-3773000
2017-06-30,USD,None,9495000,-88214000,-887000,-8637000,-9486000,-849000,15485000,49638000,32892000,130592000,18090000,37650000,0,0,0,22404000,25664000,87327000,-9945000,3455000,36347000
2017-03-31,USD,None,-18288000,-58095000,-5051000,-8638000,-13737000,-5099000,4176000,34773000,-14818000,57014000,4176000,36009000,0,0,0,12459000,12803000,53044000,-12459000,842000,-13976000
2016-12-31,USD,523000,23551000,311440000,371761000,-376367000,-379312000,-2945000,-29090000,41426000,33949000,101821000,-10895000,36568000,0,0,0,-15718000,14310000,60321000,-3139000,-4637000,29312000
2016-09-30,USD,15000,-33929000,-81787000,-51000,4800000,3013000,-1550000,-8433000,-117808000,-1975000,76799000,-8433000,39176000,0,216882000,0,12579000,194343000,81751000,6403000,-990000,-2965000
2016-06-30,USD,-237000,27478000,-204571000,-103065000,82456000,81171000,-1285000,4803000,55591000,794000,124194000,4803000,39561000,0,216882000,0,18982000,11994000,101269000,-15233000,-6660000,-5866000
2016-03-31,USD,745000,1505000,-685447000,-581304000,-24225000,653969000,-6903000,None,25369000,27186000,58664000,-10477000,30122000,0,685097000,0,3749000,15894000,104888000,-3749000,-1819000,25367000
2015-12-31,USD,-1926000,12119000,-267625000,-187773000,139842000,131263000,-8527000,156000,33952000,-38044000,98318000,6342000,20322000,0,-52000,0,-24954000,21632000,79852000,3951000,-1503000,-39547000
2015-09-30,USD,-1018000,5562000,-203260000,-104888000,175922000,170575000,-5177000,None,29086000,18259000,50944000,-2814000,18689000,0,-170000,0,28905000,18884000,97354000,-18463000,-2069000,16190000
2015-06-30,USD,-908000,3249000,-308984000,-237214000,-101521000,229160000,-849000,None,33844000,-6905000,72919000,10128000,16676000,0,331530000,0,10442000,12507000,70862000,-3485000,3445000,-3460000
