fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,750311000,658384000,None,750311000,88656000,41079000,None,None,49930000,635000,611698000,-3271000,91927000,41445000,38726000,8216000,None,-38726000,None,5241000,None,8216000,14760000,None,41714000,41079000,None
2020-03-31,USD,782810000,742954000,None,782810000,39856000,33463000,None,None,39856000,604000,654940000,None,39856000,84465000,42785000,5789000,-42785000,-42785000,None,3549000,None,5789000,-2221000,None,34067000,33463000,None
2019-12-31,USD,780232000,790480000,460181000,780232000,-10248000,-11254000,None,None,-10248000,941000,638861000,None,-10248000,85477000,43710000,65000,-43710000,-43710000,None,66142000,None,65000,-62840000,None,-10313000,-11254000,None
2019-09-30,USD,777251000,727691000,459391000,777251000,49560000,42566000,None,None,49560000,157000,634652000,None,49560000,87264000,46644000,6837000,-46644000,-46644000,None,5775000,None,6837000,-5775000,None,42723000,42566000,None
2019-06-30,USD,789362000,729557000,461133000,789362000,59805000,48140000,None,None,59805000,61000,634658000,None,59805000,89687000,48610000,11604000,-48610000,-48610000,None,5212000,None,11604000,-5212000,None,48201000,48140000,None
2019-03-31,USD,760617000,723746000,459536000,760617000,36871000,29471000,None,None,36871000,40000,630715000,None,36871000,88710000,48130000,7360000,-48130000,-48130000,None,4321000,None,7360000,-4321000,None,29511000,29471000,None
2018-12-31,USD,743547000,1084883000,443518000,743547000,-341336000,-331637000,0,0,-341336000,108000,642607000,None,-341336000,57812000,-47704000,None,None,None,-10100000,384464000,0,-9807000,-433043000,0,-331529000,-331637000,None
2018-09-30,USD,760916000,705880000,447378000,760916000,55036000,46232000,0,0,55036000,47000,617217000,None,55036000,86310000,-46651000,None,None,None,0,2353000,0,8757000,-49004000,0,46279000,46232000,None
2018-06-30,USD,765738000,696480000,446874000,765738000,69258000,58836000,0,0,69258000,54000,607853000,None,69258000,85740000,-45812000,None,None,None,0,2887000,0,10368000,-48699000,0,58890000,58836000,None
2018-03-31,USD,742241000,694153000,440892000,742241000,48088000,50819000,0,0,48088000,55000,575005000,None,48088000,114380000,-45243000,None,None,None,0,4768000,0,-2786000,-50951000,0,50874000,50819000,None
2017-12-31,USD,724512000,1925293000,492792000,724512000,-1200781000,69629000,0,0,60639000,60000,1591043000,None,-1200781000,320581000,45230000,None,None,None,0,13669000,0,-9050000,-201084000,0,69689000,69629000,None
2017-09-30,USD,716714000,655255000,486305000,716714000,61459000,45618000,0,0,61459000,-129000,539981000,None,61459000,109609000,44515000,None,None,None,0,5665000,0,15970000,0,0,45489000,45618000,None
2017-06-30,USD,715896000,649680000,477990000,715896000,66216000,49630000,0,0,66216000,8000,533283000,None,66216000,107345000,43505000,None,None,None,0,9052000,0,16578000,0,0,49638000,49630000,None
2017-03-31,USD,679194000,-630710000,466510000,679194000,1309904000,34958000,0,0,48484000,-185000,-522512000,None,1309904000,-104079000,42757000,None,None,None,0,-4119000,0,13711000,0,0,34773000,34958000,None
2016-12-31,USD,702888000,-4895468000,479124000,702888000,5598356000,41818000,0,0,42438000,-392000,-3702398000,None,5598356000,-1111264000,46010000,None,None,None,0,-81806000,0,1012000,-412187000,0,41426000,41818000,None
2016-09-30,USD,734665000,850479000,506224000,734665000,-115814000,-117808000,0,0,-115814000,-402000,558828000,None,-115814000,290540000,48843000,None,None,None,0,1111000,0,2396000,0,0,-118210000,-117808000,None
2016-06-30,USD,756548000,682696000,510255000,756548000,73852000,56445000,0,0,73852000,-854000,560001000,None,73852000,116621000,48758000,None,None,None,0,6074000,0,18261000,0,0,55591000,56445000,None
2016-03-31,USD,616813000,584334000,422510000,616813000,32479000,25688000,0,0,32479000,-319000,466072000,None,32479000,91964000,37714000,None,None,None,0,26298000,0,7110000,0,0,25369000,25688000,None
2015-12-31,USD,495319000,442801000,331519000,495319000,52518000,34566000,0,0,52518000,-614000,367972000,None,52518000,69673000,28810000,None,None,None,0,5156000,0,18594000,-156057000,28000,33924000,34566000,None
2015-09-30,USD,479730000,438055000,319345000,479730000,41675000,29550000,0,0,41675000,-464000,364934000,None,41675000,67279000,27737000,None,None,None,0,5842000,0,12669000,0,80000,29006000,29550000,None
2015-06-30,USD,453660000,404305000,302084000,453660000,49355000,33844000,0,0,49355000,0,332670000,None,49355000,64478000,28049000,None,None,None,0,7157000,0,15512000,0,1000,33843000,33844000,None
