fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,16458000,1976000,None,545000,1920000,14538000,None,165000,51000,-51946000,110000,1034000,496000,12111000,1810000,None,None,4000,56000,12656000,None,11528000,None,0,None,None,1645000,None,None,51000,None,-51946000,None,None,736000,None,3802000,275000,None,110000,110000,None,None,None,66429000,16458000,12111000,None,1937703
2020-03-31,USD,16647000,2031000,None,746000,1662000,14985000,None,196000,43000,-49024000,None,1034000,343000,12156000,1544000,None,None,4000,52000,12902000,None,11920000,None,0,None,None,1348000,None,None,43000,None,-49024000,None,None,628000,None,3745000,314000,None,118000,118000,None,None,None,63962000,16647000,12156000,None,31352764
2019-12-31,USD,21078000,2087000,None,662000,3028000,18050000,None,203000,41000,-45704000,159000,1034000,237000,16664000,2869000,None,None,4000,57000,17334000,None,14929000,0,8000,None,None,2666000,None,None,41000,None,-45704000,None,None,566000,None,3744000,362000,None,159000,159000,None,None,None,63709000,21078000,16664000,None,29485178
2019-09-30,USD,11492000,2143000,None,264000,3351000,8141000,None,198000,19000,-42510000,212000,1034000,240000,7375000,3139000,None,None,4000,64000,7639000,None,4964000,0,None,None,None,2941000,None,None,19000,None,-42510000,None,None,612000,None,3853000,410000,None,212000,212000,None,None,None,50628000,11492000,7375000,None,8102764
2019-06-30,USD,14755000,2199000,None,356000,3251000,11504000,None,192000,19000,-38837000,20000,1034000,235000,10446000,2988000,None,None,4000,71000,10802000,None,8271000,0,None,None,None,2796000,None,None,19000,None,-38837000,None,None,649000,None,3953000,455000,None,263000,263000,None,None,None,50318000,14755000,10446000,None,8097763
2019-03-31,USD,14501000,2254000,None,866000,4312000,10189000,None,186000,18000,-31288000,24000,1034000,147000,7320000,3999000,170000,170000,4000,80000,10531000,None,6901000,2345000,None,289000,None,3813000,None,None,18000,None,-31288000,None,None,602000,None,3970000,499000,None,313000,313000,None,None,None,41455000,14501000,9665000,None,6721200
2018-12-31,USD,19084000,2310000,None,926000,3282000,15802000,None,11000,18000,-25381000,12000,1034000,168000,9515000,3270000,11000,None,4000,35000,15537000,None,12458000,5089000,7000,None,None,3259000,None,None,18000,None,-25381000,None,None,168000,None,3547000,12000,12000,None,12000,None,None,None,41161000,19084000,14604000,None,6721117
2018-09-30,USD,17141000,2365000,None,349000,2977000,14164000,0,11000,16000,-21744000,15000,1034000,191000,11755000,2962000,11000,None,5000,32000,13519000,None,10765000,1390000,25000,0,0,2951000,0,0,16000,0,-21744000,0,None,191000,None,3622000,15000,15000,None,15000,None,None,None,35887000,17141000,13145000,None,4901095
2018-06-30,USD,19220000,2421000,None,168000,2778000,16442000,0,11000,15000,-18504000,18000,1034000,151000,15280000,2760000,11000,None,5000,42000,15572000,None,12987000,0,124000,0,0,2749000,0,0,15000,0,-18504000,0,None,151000,None,3648000,18000,18000,None,18000,None,None,None,34926000,19220000,15280000,None,4238526
2018-03-31,USD,8460000,2477000,None,574000,2318000,6142000,0,1898000,13000,-15716000,None,1034000,185000,4165000,2318000,None,None,5000,18000,4746000,None,2631000,222000,7000,0,0,2318000,0,0,13000,0,-15716000,0,None,185000,None,3714000,None,None,None,None,None,None,None,21840000,8460000,4165000,None,12747932
2017-12-31,USD,9892000,2532000,None,393000,2013000,7879000,0,1800000,12000,-12694000,None,1034000,3925000,5506000,2013000,27000,27000,5000,59000,5908000,None,4313000,222000,9000,0,0,1986000,0,0,12000,0,-12694000,0,None,359000,None,3984000,None,None,None,None,None,None,None,20556000,9892000,5506000,None,11947932
2017-09-30,USD,13029000,2588000,None,535000,2347000,10682000,0,3000,11000,-8915000,16000,1034000,4309000,8021000,2331000,31000,31000,5000,94000,8626000,None,7060000,0,70000,0,0,2297000,0,0,11000,0,-8915000,0,None,687000,None,4403000,16000,16000,None,16000,None,None,None,19581000,13029000,8021000,None,11482845
2017-06-30,USD,14878000,0,None,307000,1775000,13103000,0,114000,30000,-203230000,None,0,13000,13916000,1753000,46000,46000,2641000,129000,14464000,None,13103000,0,241000,0,0,1593000,0,0,30000,0,-203230000,0,None,285000,None,414000,22000,22000,None,22000,None,None,None,213662000,14878000,13916000,None,30104495
2017-03-31,USD,17903000,0,None,765000,2012000,15891000,0,180000,30000,-200230000,None,0,13000,15690000,1980000,55000,850000,2641000,166000,17452000,None,15891000,760000,237000,0,0,1745000,0,0,30000,0,-200230000,0,None,285000,None,451000,32000,32000,None,32000,None,None,None,213450000,17903000,16450000,None,30087485
2016-12-31,USD,27470000,2755000,None,954000,8504000,18966000,0,232000,29000,-196942000,124000,1034000,0,15233000,8455000,57000,829000,2640000,258000,26927000,None,18966000,10230000,510000,0,0,8166000,0,0,29000,0,-196942000,0,None,285000,None,543000,49000,49000,None,49000,None,None,None,213239000,27470000,25463000,None,30025521
2016-09-30,USD,35074000,0,None,1805000,10655000,24419000,0,350000,30000,-191097000,None,0,13000,11800000,10588000,57000,None,2643000,493000,34296000,None,24419000,20655000,36000,0,0,10181000,0,0,30000,0,-191097000,0,None,285000,None,778000,67000,67000,None,67000,None,None,None,212843000,35074000,32455000,None,30020294
2016-06-30,USD,42198000,0,None,1605000,13949000,28249000,0,2346000,29000,-187407000,None,0,12000,10581000,13865000,1307000,None,2650000,534000,41380000,None,28249000,29147000,47000,0,0,10212000,0,0,29000,0,-187407000,0,None,284000,None,818000,84000,84000,None,84000,None,None,None,212977000,42198000,39728000,None,30009730
