fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-12000,801000,-12000,None,1579000,2167000,-1000,12000,-2922000,-43000,-2198000,-450000,65000,None,2167000,None,0,308000,12000,None,None,-43000
2020-03-31,USD,-2000,-1506000,-2000,None,1579000,-47000,-47000,-837000,-3320000,-4510000,-4461000,-6000,61000,None,-47000,None,8000,302000,2000,8000,None,-4510000
2019-12-31,USD,-1000,239000,-1000,5089000,1579000,12703000,12334000,-850000,-3194000,9288000,-3414000,-804000,62000,None,369000,None,-1000,284000,1000,-1000,None,9288000
2019-09-30,USD,0,604000,-1000,5089000,1579000,0,-47000,362000,-3673000,-3072000,-3072000,-375000,62000,None,4199000,None,-1000,310000,52000,None,None,-3072000
2019-06-30,USD,2345000,-1021000,2347000,5089000,None,4622000,-47000,-612000,-3624000,3128000,-3841000,422000,65000,None,4622000,None,-1000,317000,2000,None,None,3124000
2019-03-31,USD,2744000,575000,2690000,2744000,None,0,None,110000,-5904000,-2199000,-4889000,85000,65000,None,None,None,-1000,290000,54000,None,4000,-2195000
2018-12-31,USD,-3699000,305000,-3709000,-5079000,None,5010000,1000,64000,-3637000,-2240000,-3541000,-555000,62000,None,5009000,None,18000,266000,10000,18000,None,-2240000
2018-09-30,USD,-1390000,199000,-1390000,0,None,846000,None,-229000,-3240000,-3525000,-2981000,-221000,66000,0,846000,0,5000,210000,10000,5000,None,-3525000
2018-06-30,USD,-1390000,460000,-36000,10000,None,12796000,12193000,845000,-2788000,10892000,-1868000,216000,68000,0,603000,0,-21000,197000,36000,-21000,None,10893000
2018-03-31,USD,-1390000,305000,10000,10000,None,1105000,None,315000,-3022000,-1118000,-2233000,217000,86000,0,1105000,0,-21000,181000,36000,None,-1000,-1119000
2017-12-31,USD,-5089000,-534000,272000,272000,1942000,894000,17000,-3200000,-3740000,-2457000,-3623000,248000,91000,0,877000,0,-9000,157000,46000,155000,-8000,-2465000
2017-09-30,USD,-10230000,5305000,2147000,12376000,1942000,1129000,1129000,-4000,-577000,9318000,6042000,-2444000,61000,0,1129000,0,164000,4130000,0,-433000,5000,9323000
2017-06-30,USD,760000,-162000,760000,0,-20000,-3000,-3000,647000,-2997000,-1774000,-2531000,458000,37000,0,0,0,-237000,137000,1000,-4000,None,-1774000
2017-03-31,USD,9470000,-6342000,9469000,0,20000,-19000,-19000,113000,-3269000,455000,-8995000,189000,93000,0,0,0,-241000,61000,1000,273000,2000,457000
2016-12-31,USD,10421000,-2033000,10414000,0,150000,-2000,-2000,1291000,-5843000,3433000,-6979000,693000,40000,0,0,0,-9000,480000,7000,-316000,None,3433000
2016-09-30,USD,8486000,-48000,8482000,0,None,0,None,None,-3690000,1219000,-7263000,-2975000,45000,0,0,0,144000,-755000,4000,160000,None,1219000
2016-06-30,USD,-1943000,-2584000,-1978000,0,None,0,None,None,-6889000,-8332000,-6354000,1688000,47000,0,0,0,293000,1452000,35000,-68000,None,-8332000
2016-03-31,USD,-6310000,-5477000,-6310000,0,None,0,None,None,-3707000,-15397000,-9087000,401000,56000,0,0,0,219000,-199000,0,-161000,None,-15397000
2015-12-31,USD,2574000,-5183000,2504000,0,3616500,14000,-5000,1032000,-1724000,-8167000,-10685000,-2437000,66000,0,14000,0,-9000,-1343000,70000,-64000,None,-8167000
2015-09-30,USD,-11270000,-5569000,-11306000,0,None,14416000,None,None,-4550000,-5522000,-8632000,680000,62000,0,14416000,0,-5663000,581000,36000,164000,None,-5524000
2015-06-30,USD,2908000,18369000,2848000,0,None,3161000,None,None,-6010000,22721000,16660000,1684000,70000,0,3213000,0,-5527000,1142000,60000,1405000,2000,22723000
