fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,2918000,None,None,-2922000,-2922000,1103000,None,-2922000,None,1815000,-4000,-2918000,None,None,None,3000,3000,None,None,None,None,-7000,None,-2922000,-2922000,None
2020-03-31,USD,0,3357000,None,None,-3320000,-3320000,1541000,None,-3320000,None,1816000,37000,-3357000,None,None,None,42000,42000,None,None,None,None,-5000,None,-3320000,-3320000,None
2019-12-31,USD,0,3209000,None,None,-3194000,-3194000,1763000,None,-3194000,None,1446000,15000,-3209000,None,None,None,27000,27000,None,None,None,None,-12000,None,-3194000,-3194000,None
2019-09-30,USD,0,3717000,None,None,-3673000,-3673000,1824000,None,-3673000,None,1893000,44000,-3717000,None,None,None,40000,40000,None,None,None,None,4000,None,-3673000,-3673000,None
2019-06-30,USD,0,3662000,None,None,-3624000,-3624000,2032000,None,-3624000,None,1630000,38000,-3662000,None,None,None,41000,41000,None,None,None,None,-3000,None,-3624000,-3624000,None
2019-03-31,USD,0,5940000,None,None,-5904000,-5904000,4055000,None,-5904000,None,1885000,36000,-5940000,None,None,None,62000,62000,None,None,None,None,-26000,None,-5904000,-5904000,None
2018-12-31,USD,0,3709000,0,0,-3637000,-3637000,2081000,0,-3637000,0,1628000,72000,-3709000,0,0,None,None,None,0,0,0,0,72000,0,-3637000,-3637000,None
2018-09-30,USD,0,3294000,0,0,-3240000,-3240000,1541000,0,-3240000,0,1753000,54000,-3294000,0,0,None,None,None,0,0,0,0,54000,0,-3240000,-3240000,None
2018-06-30,USD,0,2796000,0,0,-2788000,-2788000,1045000,0,-2788000,0,1751000,8000,-2796000,0,0,None,None,None,0,0,0,0,8000,0,-2788000,-2788000,None
2018-03-31,USD,0,3014000,0,0,-3022000,-3022000,1201000,0,-3022000,0,1813000,-8000,-3014000,0,0,None,None,None,0,0,0,0,-8000,0,-3022000,-3022000,None
2017-12-31,USD,0,-2178000,0,0,2032000,2155000,587000,0,2032000,0,-2872000,-146000,2178000,0,0,None,None,None,0,53000,0,-123000,211000,0,2155000,2155000,None
2017-09-30,USD,0,2375000,0,0,-9400000,-6472000,825000,0,-9400000,0,1550000,-7025000,-2375000,0,0,None,None,None,0,-338000,0,-2928000,-7305000,0,-6472000,-6472000,None
2017-06-30,USD,0,3089000,0,0,-2997000,-2997000,777000,0,-2997000,0,2321000,92000,-3089000,-9000,0,None,None,None,0,383000,0,1000,15000,0,-2997000,-2997000,None
2017-03-31,USD,0,3346000,0,0,-3269000,-3269000,912000,0,-3269000,0,2532000,77000,-3346000,-98000,0,None,None,None,0,-98000,0,0,77000,0,-3269000,-3269000,None
2016-12-31,USD,0,6013000,0,0,-5843000,-5843000,1702000,0,-5843000,0,2295000,170000,-6013000,2245000,0,None,None,None,0,-229000,0,-504000,-699000,0,-5843000,-5843000,None
2016-09-30,USD,0,4365000,0,0,-3690000,-3690000,3782000,0,-3690000,0,1864000,675000,-4365000,-1281000,0,None,None,None,0,0,0,0,1182000,0,-3690000,-3690000,None
2016-06-30,USD,2122000,8504000,0,2122000,-6889000,-6889000,4662000,0,-6889000,0,2475000,-507000,-6382000,-8000,0,None,None,None,0,1375000,0,0,-1232000,0,-6889000,-6889000,None
2016-03-31,USD,2940000,7372000,0,2940000,-3707000,-3707000,4642000,0,-3707000,0,2299000,725000,-4432000,0,0,None,None,None,0,431000,0,0,725000,0,-3707000,-3707000,None
2015-12-31,USD,6024000,9502000,0,6024000,-1724000,-1724000,6587000,0,-1724000,0,2915000,1754000,-3478000,0,0,None,None,None,0,3783000,0,-610500,-582000,0,-1724000,-1724000,None
2015-09-30,USD,6737000,11428000,0,6737000,-4550000,-4550000,8303000,0,-4550000,0,3125000,141000,-4691000,0,0,None,None,None,0,0,0,0,1467000,0,-4550000,-4550000,None
2015-06-30,USD,4025000,9612000,0,4025000,-6010000,-6010000,6545000,0,-6010000,0,3067000,-423000,-5587000,0,0,None,None,None,0,0,0,0,-1383000,0,-6010000,-6010000,None
