fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,134022000,9637000,134022000,None,None,150000,None,3235000,16081000,159524000,25352000,None,2645000,None,None,3843000,-18283000,9031000,3447000,None,None,None
2020-03-31,USD,27015000,-4983000,27015000,-7000,None,323000,None,-6874000,15644000,49393000,22055000,None,2670000,None,323000,4520000,1122000,9956000,2742000,None,None,None
2019-12-31,USD,-42815000,-7192000,-42815000,-7000,None,2429000,None,-203000,12782000,-27851000,12535000,None,3285000,None,0,-3513000,1796000,5580000,2726000,None,None,None
2019-09-30,USD,-8485000,6786000,-8485000,-2000,None,560000,None,4735000,15105000,18293000,26218000,None,2944000,None,0,1244000,-10248000,5652000,3039000,None,None,None
2019-06-30,USD,-34639000,-3487000,-34639000,-2000,None,2544000,None,19441000,-2025000,-27357000,4738000,None,3087000,None,3944000,-11839000,-6105000,6478000,3348000,None,None,None
2019-03-31,USD,-17640000,2177000,-17640000,-14916000,None,1400000,None,4564000,6977000,13088000,29328000,None,3243000,None,1400000,-1201000,7440000,6990000,2724000,None,None,None
2018-12-31,USD,-17380000,18099000,-20805000,-52000,None,-24520000,None,-3900000,9088000,-9917000,35408000,None,3514000,None,-33899000,9188000,-9366000,19199000,3373000,None,None,None
2018-09-30,USD,-47032000,6248000,-48663000,-27000,None,-11495000,None,12609000,8151000,-30295000,29863000,None,3498000,0,0,15951000,-25066000,8472000,1604000,None,None,None
2018-06-30,USD,8598000,-5866000,5619000,-27000,None,1148000,None,-11287000,-3245000,15521000,8754000,None,3368000,0,0,6506000,18366000,912000,2979000,None,None,None
2018-03-31,USD,14296000,-8747000,7612000,20000,None,968000,None,5191000,-9078000,17640000,9060000,None,3266000,0,0,5076000,11837000,3344000,6704000,None,None,None
2017-12-31,USD,-193859000,4586000,-207907000,64000,None,5477000,-201000,-1758000,38508000,-138907000,63523000,None,12280000,0,0,-30551000,21525000,5404000,14112000,None,None,None
2017-09-30,USD,3972000,2239000,-139057000,0,None,3339000,None,7370000,18499000,9634000,45077000,None,0,0,0,18302000,12505000,-3109000,10031000,None,None,None
2017-06-30,USD,-55194000,-887000,-140982000,0,None,2881000,-13000,-2493000,4664000,-33514000,37826000,None,0,0,0,10005000,25216000,-6304000,8006000,None,None,None
2017-03-31,USD,-77752000,-11322000,-83360000,0,None,695000,-188000,-5811000,35709000,-66761000,15904000,None,0,0,0,2003000,6764000,3218000,5608000,None,None,None
2016-12-31,USD,-104151000,37653000,-121491000,-86000,-34000,199069000,-3490000,2290000,64494000,178792000,101214000,None,9168000,0,0,-3761000,-66867000,11917000,17254000,None,None,None
2016-09-30,USD,-52719000,39910000,-65028000,0,None,95963000,-14592000,-4049000,34888000,-36095000,64369000,None,0,0,0,1274000,60489000,2037000,12267000,None,None,None
2016-06-30,USD,-52719000,25755000,-8056000,0,-10000,96535000,-14592000,-176000,17597000,126119000,42920000,None,0,0,0,4656000,36629000,13128000,8033000,None,None,None
2016-03-31,USD,None,15742000,None,None,None,None,None,None,14598000,None,11899000,None,None,None,None,2238000,None,None,6221000,None,None,None
2015-12-31,USD,-104151000,18655000,-12116000,-6000,-2218000,-3847000,-1829000,5595000,22637000,6482000,22450000,None,4576000,None,200000,-12921000,-23205000,-8130000,12110000,None,None,None
2015-09-30,USD,None,None,None,None,None,None,None,None,8839000,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,4707000,None,None,None,None,None,None,None,None,None,0,None,None,None
