fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,CHF,9625000,-329000,9625000,None,-108000,-107000,1000,-289000,-15738000,-5352000,-14870000,None,473000,None,1000,None,None,1027000,375000,None,None,None
2020-03-31,CHF,-212000,-1385000,-212000,None,-370000,-374000,-4000,-2338000,-7689000,-10273000,-9687000,None,476000,None,-4000,None,None,1496000,212000,None,None,None
2019-12-31,CHF,-5578000,-1140000,-5578000,-65000000,-10000,-8000,-4000,3283000,-19446000,-18330000,-12744000,0,471000,0,69000,0,0,1422000,578000,0,0,0
2019-09-30,CHF,-10457000,-206000,-10457000,-60000000,-106000,-108000,-4000,-328000,18213000,6450000,17015000,0,432000,0,67000,0,-1938216.90,799000,457000,0,0,0
2019-06-30,CHF,-339000,-914000,-339000,-50000000,-2000,-516000,-510000,-78000,-16899000,-15890000,-15035000,0,396000,0,69000,0,-332664.24,2751000,339000,0,0,0
2019-03-31,CHF,-50511000,4541000,-50511000,-50000000,50175000,50248000,-510000,560000,63574000,65676000,65984000,0,395000,0,73000,0,-554674.76,-2538000,511000,0,0,0
2018-12-31,CHF,-32313429.70,1903261,-32665646.09,-101248.75,-311286.03,-537480.04,-207883.07,-299437.79,-15808806.93,-45949697.04,-12662555.99,0,286512.42,0,117924387.36,0,567639.25,688276.06,250967.63,0,0,0
2018-09-30,USD,-30996140.32,-2048844.88,-143615.45,-97121.24,-298596.15,113377682.06,-1860801.63,1745082.70,-13964794.42,99660856.76,-12234176.58,0,260367.57,0,113387883.72,0,-335791.52,2112903.57,143615.45,0,0,0
2018-06-30,USD,-30193236.71,1353663.45,-412640.90,-94605.48,148953.30,142914.65,-21135.27,-690418.68,-11214774.56,-7050120.77,-7179951.69,0,247584.54,0,0,0,2706320.45,415660.23,412640.9,0,0,0
2018-03-31,USD,-31400460.54,-296211.01,-1214151.14,-87921.29,154908.94,1046.68,-21980.32,-478333.68,-12156164.96,-15394599.12,-13970064.89,None,206196.36,0,1046.68,0,-2295373.67,1049822.06,1126229.85,None,None,None
2017-12-31,USD,-30000000,89000,-1842000,-40000,200000,278000,-2015000,1072000,4438000,-27833000,-22094000,None,580000,None,71000,None,-401000,6075000,1851000,None,None,None
2017-09-30,USD,None,148000,-271000,-84000,49000,147000,-21000,2388000,-8793000,-6970000,-7541000,None,159000,None,3000,None,-1270000,-173000,1853000,None,None,None
2017-06-30,USD,None,-981000,-923000,-84000,51000,95000,None,-260000,-12327000,-13904000,-9028000,None,142000,None,11000,None,100000,4298000,1590000,None,None,None
2017-03-31,USD,None,-2249000,-641000,-40000,51000,29000,-40000,-1126000,-9455000,-14126000,-11884000,None,99000,None,29000,None,-973000,1820000,602000,None,None,None
2016-12-31,USD,-30000000,4090000,-899000,-40000,200000,77549000,-4105000,228000,-7096000,75688000,-5646000,None,278000,None,69689000,None,-248000,-1876000,885000,None,None,None
2016-09-30,USD,None,None,-306000,None,None,68100000,-40000,1958000,-9102000,75215000,8474000,None,59000,None,None,None,14806000,None,306000,None,None,None
2016-06-30,USD,None,925000,-1000000,None,None,13439000,None,-1000000,13362000,15000000,8000000,None,None,None,None,None,-14000000,None,314000,None,None,None
2016-03-31,USD,None,None,None,None,None,14000000,None,-1000000,-6000000,-9000000,-8000000,None,None,None,None,None,-1000000,None,0,None,None,None
2015-12-31,USD,-30000000,-301000,-244000,-40000,200000,27731000,-1859000,-422000,14220000,73216000,44009000,None,287000,None,138000,None,25628000,-1416000,244000,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,6016000,None,None,None,None,None,None,None,None,None,0,None,None,None
2014-12-31,USD,None,343000,-131000,-3000,200000,9866000,-203000,90000,10815000,-7945000,-17624000,None,298000,None,10004000,None,-25744000,364000,129000,None,None,None
