fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,CHF,1278000,16965000,None,None,-15210000,-15738000,12809000,None,-15738000,None,4156000,None,-15687000,None,55000,0,17000,-51000,None,None,None,None,None,None,-15738000,-15738000,None
2020-03-31,CHF,12411000,19713000,None,None,-7159000,-7689000,15209000,None,-7689000,None,4504000,None,-7302000,None,54000,0,60000,-387000,None,None,None,None,None,None,-7689000,-7689000,None
2019-12-31,CHF,1062000,19885000,0,0,-18767000,-19446000,14662000,0,-19446000,0,5223000,0,-18823000,0,208000,0,67000,1390000,0,0,0,0,-2013000,0,-19446000,-19446000,0
2019-09-30,CHF,33411000,15434000,11733572.63,22421366.85,18731000,18213000,11478000,0,18213000,0,3956000,0,17977000,0,86000,0,73000,236000,0,0,0,0,241254.83,0,18213000,18213000,0
2019-06-30,CHF,1511000,16285000,14568398.99,-12835103.65,-15999000,-16899000,12700000,0,-16899000,0,3585000,0,-14774000,0,504000,0,75000,-2161000,0,0,0,0,36000,0,-16899000,-16899000,0
2019-03-31,CHF,75042000,14886000,11733193.36,64222836.36,65065000,63574000,11592000,0,63574000,0,1874000,0,60156000,0,1096000,0,-1007000,-1087000,0,0,0,0,4505000,0,63574000,63574000,0
2018-12-31,CHF,1511191.39,17116423.72,13062165.40,-11550973.99,-15605232.31,-15808806.93,13679351.91,0,-15808806.93,0,4054258.31,0,-15605232.31,0,-249890.53,None,None,None,0,0,0,0,-203574.61,0,-15808806.93,-15808806.93,0
2018-09-30,USD,2381536.79,14956670.91,11929381.21,-9547844.42,-12575134.12,-13964794.42,13121699.40,0,-13964794.42,0,3027289.70,0,-12575134.12,0,-32029.35,None,None,None,0,0,0,0,-1389660.29,0,-13964794.42,-13964794.42,0
2018-06-30,USD,2041062.80,14876914.85,10600845.41,-8559782.61,-11644524.96,-11214774.56,17595657.06,0,-11214774.56,0,3084742.35,0,-11644524.96,0,-22141.71,None,None,None,0,0,0,0,429750.40,0,-11214774.56,-11214774.56,0
2018-03-31,USD,1526062.38,13376596.19,10539041.24,-9012978.86,-11850533.81,-12156164.96,11056102.16,0,-12156164.96,0,2837554.95,None,-11850533.81,0,-12560.18,None,None,None,0,0,0,0,-305631.15,0,-12156164.96,-12156164.96,None
2017-12-31,USD,16843000,40252000,13250000,-12009000,-21571000,4438000,10309000,0,4438000,0,9562000,None,3410000,0,-250000,None,None,None,0,0,0,0,-11246000,0,-32817000,4438000,None
2017-09-30,USD,1080000,13216000,10690000,-5210000,-8383000,-177000,8302000,0,-177000,0,3173000,None,-8383000,0,109000,None,None,None,0,0,0,0,8206000,0,-177000,-177000,None
2017-06-30,USD,871000,-20514000,9667000,10259000,15249000,16038000,7475000,0,16038000,0,-4990000,None,15249000,0,28000,None,None,None,0,0,0,0,789000,0,16038000,16038000,None
2017-03-31,USD,2006000,9840000,9743000,-5448000,-7834000,-9455000,7456000,0,-9455000,0,2386000,None,-7834000,0,-34000,None,None,None,0,0,0,0,-1621000,0,-9455000,-9455000,None
2016-12-31,USD,377000,32261000,9160000,36803000,27620000,34006000,6063000,0,-7096000,0,7896000,None,27620000,0,37000,None,None,None,0,0,0,0,3360000,0,-7096000,-7096000,None
2016-09-30,USD,1587000,6409000,9788000,-63363000,-62076000,-54464000,8052000,0,-13362000,0,0,None,-50937000,0,97000,None,None,None,0,0,0,0,0,0,0,-13362000,None
2016-06-30,USD,20377000,-11000000,7440000,29000000,30000000,13362000,5647000,0,13362000,0,0,None,12861000,0,118000,None,None,None,0,0,0,0,0,0,0,13362000,None
2016-03-31,USD,508000,6000000,6478000,-5000000,-6000000,-6000000,5606000,0,0,0,0,None,-6000000,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,23615000,20466000,10737000,22041000,18624000,14220000,9326000,0,14220000,0,3417000,None,12742000,0,7000,None,None,None,0,0,0,0,1646000,0,20270000,14220000,None
2015-09-30,USD,15409000,0,-9407000,0,0,-6016000,-7694000,0,-6016000,0,0,None,-5851000,0,0,None,None,None,0,0,0,0,0,0,0,-6016000,None
2015-06-30,USD,15409000,0,9407000,0,0,6016000,7694000,0,6016000,0,0,None,5851000,0,0,None,None,None,0,0,0,0,0,0,0,6016000,None
