fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,3137577000,551984000,None,398525000,2046840000,1090737000,31140000,466741000,702000,920478000,133093000,1280226000,311033000,129223000,580459000,34206000,34206000,-98334000,69011000,852407000,199964000,-741473000,None,324659000,1282889000,None,79512000,None,None,702000,None,920478000,-399663000,None,124684000,None,59301000,59975000,1282889000,152352000,1466381000,None,None,None,667554000,3137577000,129223000,None,116366996
2020-03-31,USD,3109899000,569327000,None,381675000,2042101000,1067798000,31959000,454978000,702000,906403000,113440000,1280226000,314017000,119124000,556356000,34177000,34177000,-97752000,67893000,806446000,198554000,-781755000,None,305647000,1321452000,None,67201000,None,None,702000,None,906403000,-398278000,None,123658000,None,63795000,57639000,1321452000,132334000,1485745000,None,None,None,656723000,3109899000,119124000,None,115882242
2019-12-31,USD,3257534000,591486000,None,2582215000,2127566000,1129968000,32053000,511474000,702000,930830000,122043000,1280525000,337385000,121398000,611950000,34148000,34148000,-91583000,70380000,920376000,None,1129968000,None,431930000,1339007000,None,66328000,None,None,702000,None,930830000,-377639000,None,72733000,51611000,121991000,61815000,1339007000,144556000,1515616000,None,None,None,667658000,3257534000,121398000,None,115986352
2019-09-30,USD,3340756000,599282000,None,557976000,2281819000,1058937000,24407000,623474000,702000,875344000,117303000,1278265000,325292000,121581000,734880000,34119000,34119000,-94636000,72747000,1004890000,190326000,-818610000,None,325333000,1373555000,None,77287000,None,None,702000,None,875344000,-383126000,None,132276000,62970000,2335866000,63393000,1373555000,148977000,1546939000,None,None,None,660653000,3340756000,121581000,None,115566482
2019-06-30,USD,3450320000,621222000,None,696194000,2397743000,1052577000,23243000,750209000,702000,843530000,116648000,1279472000,294522000,139396000,870249000,34089000,34089000,-93026000,70805000,1121983000,177513000,-848117000,None,286393000,1352096000,None,85951000,None,None,702000,None,843530000,-349426000,None,115756000,63569000,2328337000,65743000,1352096000,152155000,1527494000,None,None,None,650797000,3450320000,139396000,None,116684869
2019-03-31,USD,2114142000,293657000,None,72294000,1081558000,1032584000,24705000,181973000,702000,837805000,117861000,909691000,87283000,176173000,260377000,20788000,20788000,-91296000,70909000,514217000,177407000,-170764000,None,265750000,645784000,None,57616000,None,None,702000,None,837805000,-351587000,None,109853000,38408000,1599925000,64970000,645784000,150692000,821181000,None,None,None,636960000,2114142000,176173000,None,116530435
2018-12-31,USD,2122455000,305355000,None,63107000,1074224000,1048231000,31715000,192897000,702000,863768000,119715000,909691000,268203000,148502000,296620000,20767000,20767000,-92617000,72729000,566477000,189010000,-166815000,None,354868000,650989000,None,82956000,None,None,702000,None,863768000,-355857000,None,52145000,27048000,1555978000,None,650989000,94900000,777604000,None,None,None,632235000,2122455000,148502000,None,116123361
2018-09-30,USD,1984324000,321373000,None,49119000,1021386000,962938000,75161000,153743000,702000,776078000,108696000,909691000,264488000,76342000,249631000,18765000,18765000,-88466000,75437000,413335000,181832000,-268126000,0,287874000,656159000,0,77123000,0,0,702000,0,776078000,-357923000,None,54477000,28179000,1570989000,None,656159000,40435000,771755000,None,None,None,632547000,1984324000,76342000,None,115981696
2018-06-30,USD,1965736000,324237000,None,49858000,1025021000,940715000,76075000,160948000,702000,760845000,109793000,909691000,263009000,59033000,260417000,22988000,22988000,-84604000,78813000,389986000,180197000,-293213000,0,281095000,654811000,0,76481000,0,0,702000,0,760845000,-361079000,None,57631000,25181000,1575750000,None,654811000,33718000,764604000,None,None,None,624851000,1965736000,59033000,None,115765255
2018-03-31,USD,2015169000,339341000,None,58971000,1036147000,979022000,71944000,175951000,702000,775420000,106949000,909691000,266068000,74281000,270337000,20379000,20379000,-71697000,80775000,419294000,187133000,-270010000,0,286042000,658861000,0,74007000,0,0,702000,0,775420000,-342316000,None,56826000,22109000,1595875000,None,658861000,35005000,765810000,None,None,None,616913000,2015169000,74281000,None,116394285
2017-12-31,USD,1861639000,346667000,None,81345000,1097042000,764597000,68877000,210447000,702000,550866000,90407000,909691000,1359590000,69710000,321782000,17786000,17786000,-77356000,80228000,421821000,None,-491761000,0,270766000,667943000,0,93549000,0,0,702000,0,550866000,-319960000,None,36483000,66749000,1439818000,None,667943000,38440000,775260000,None,None,None,610345000,1861639000,69710000,None,117096731
2017-09-30,USD,1814889000,359568000,None,50588000,1043580000,771309000,67457000,162195000,702000,517702000,84406000,909691000,1428284000,67930000,264992000,17772000,17772000,-79574000,79883000,306722000,None,-497950000,0,188204000,674394000,0,85025000,0,0,702000,0,517702000,-288495000,None,37186000,121839000,1508167000,None,674394000,36737000,778588000,None,None,None,620974000,1814889000,67930000,None,118293967
2017-06-30,USD,1858303000,369668000,None,47774000,1100403000,757900000,76676000,210014000,702000,514314000,87915000,915184000,1435032000,95357000,313193000,17774000,698112000,-78980000,77794000,345477000,None,-526952000,0,202346000,674803000,0,85405000,0,0,702000,0,514314000,-289927000,None,38337000,111843000,1512826000,None,674803000,35731000,787210000,None,None,None,611791000,1858303000,95357000,None,118165965
2017-03-31,USD,1830806000,376204000,None,50892000,1060533000,770273000,80493000,164143000,702000,544123000,91740000,913014000,1411960000,99744000,264569000,17701000,17701000,-88049000,77979000,340867000,None,-518945000,0,190231000,679133000,0,82725000,0,0,702000,0,544123000,-290865000,None,37302000,85440000,1489939000,None,679133000,36338000,795964000,None,None,None,604362000,1830806000,99744000,None,118039416
2016-12-31,USD,1902295000,389130000,None,59462000,1147378000,754917000,76212000,184032000,702000,545731000,91068000,909691000,1415354000,75753000,376366000,90323000,90323000,-94100000,78950000,407991000,None,-543904000,0,272776000,653595000,0,102011000,0,0,702000,0,545731000,-297760000,None,39054000,77479000,1494304000,None,653595000,41205000,771012000,None,None,None,600344000,1902295000,75753000,None,117336797
2016-09-30,USD,1802186000,401136000,None,44282000,1107424000,694762000,64775000,172069000,702000,479040000,78759000,915857000,1460524000,50912000,352223000,90270000,90270000,-76463000,78894000,262768000,None,-622231000,0,164727000,652387000,0,89884000,0,0,702000,0,479040000,-298526000,None,44166000,99365000,1539418000,None,652387000,38039000,755201000,None,None,None,590009000,1802186000,50912000,None,116000000
2016-06-30,USD,1799925000,415514000,None,43947000,1104287000,695638000,65130000,184292000,702000,489477000,70034000,915657000,1459727000,52463000,376520000,90198000,90198000,-74235000,71719000,268479000,None,-635533000,0,172069000,633155000,0,102030000,0,0,702000,0,489477000,-298350000,None,37439000,91117000,1531446000,None,633155000,29482000,727767000,None,None,None,578044000,1799925000,52463000,None,117249990
2016-03-31,USD,1834342000,435122000,None,45733000,1130170000,704172000,67832000,188869000,702000,506335000,71064000,917470000,1461454000,94369000,363810000,90055000,90055000,-65461000,59974000,312914000,None,-648420000,0,172812000,668859000,0,84886000,0,0,702000,0,506335000,-303344000,None,36973000,71889000,1521428000,None,668859000,29669000,766360000,None,None,None,565940000,1834342000,94369000,None,120000000
2015-12-31,USD,1990212000,494866000,None,54681000,1335812000,654400000,70148000,203784000,702000,416851000,74011000,913261000,1541498000,102239000,390444000,95293000,89710000,-71576000,60630000,388084000,None,-753727000,0,231164000,843290000,0,91367000,0,0,702000,0,416851000,-252956000,None,42499000,90872000,1602128000,None,843290000,31930000,945368000,None,None,None,561379000,1990212000,102239000,None,119033770
2015-09-30,USD,1744664000,441769000,None,50597000,1145760000,598904000,61499000,186589000,698000,373084000,77000000,773260000,1305242000,80857000,365078000,95293000,None,-68220000,58796000,380626000,None,-616125000,0,249172000,689113000,0,83196000,0,0,698000,0,373084000,-253735000,None,44520000,45693000,1364038000,None,689113000,30070000,780682000,None,None,None,547077000,1744664000,80857000,None,119000000
2015-06-30,USD,1772458000,459976000,None,49986000,1173898000,598560000,62179000,193985000,698000,358304000,76763000,775279000,1332692000,50397000,368310000,95293000,None,-51398000,58309000,381457000,None,-636695000,0,281074000,712937000,0,79032000,0,0,698000,0,358304000,-258910000,None,43132000,54305000,1391001000,None,712937000,30472000,805588000,None,None,None,549866000,1772458000,50397000,None,119000000
