fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,588564000,None,None,16272000,143540000,445024000,None,38028000,33000,-117428000,6959000,None,113635000,190340000,86759000,None,None,-420000,27997000,420699000,None,445024000,None,64909000,None,149178000,48731000,None,None,33000,None,-117428000,None,None,75253000,None,64615000,48441000,None,56781000,56781000,None,None,None,562839000,588564000,190340000,None,33433000
2020-03-31,USD,562573000,None,None,16621000,135401000,427172000,None,36272000,33000,-130730000,9726000,None,117427000,174745000,75373000,None,None,-1313000,26363000,391672000,None,427172000,None,64238000,None,136068000,39101000,None,None,33000,None,-130730000,None,None,77931000,None,66607000,48549000,47976000,60028000,60028000,None,None,None,559182000,562573000,174745000,None,32837000
2019-12-31,USD,548094000,None,None,11681000,128667000,419427000,42758000,32639000,33000,-140226000,9301000,None,119358000,139881000,68664000,399000,399000,-258000,25328000,375679000,None,419427000,None,83753000,None,140364000,36025000,None,None,33000,None,-140226000,None,None,79027000,None,68060000,48548000,48149000,60003000,60003000,None,None,None,559878000,548094000,139881000,None,32585000
2019-09-30,USD,530477000,None,None,11050000,122630000,407847000,None,31226000,32000,-149938000,8407000,None,123026000,155466000,63027000,252000,252000,-1310000,25130000,353915000,None,407847000,None,49046000,None,138353000,31801000,None,None,32000,None,-149938000,None,None,80311000,None,71121000,48549000,48297000,59603000,59603000,None,None,None,559063000,530477000,155466000,None,32397000
2019-06-30,USD,517082000,None,None,11448000,111616000,405466000,None,18244000,32000,-150642000,8071000,None,118405000,136489000,52084000,108000,108000,-207000,24326000,345357000,None,405466000,None,62279000,None,135141000,33840000,None,None,32000,None,-150642000,None,None,76801000,None,70598000,48549000,48441000,59532000,59532000,None,None,None,556283000,517082000,136489000,None,32297000
2019-03-31,USD,543455000,None,None,12161000,126302000,417153000,None,25454000,33000,-151198000,7890000,None,113057000,163253000,66058000,3646000,3646000,-17000,19638000,380412000,None,417153000,None,70947000,3805000,134051000,40604000,None,None,33000,None,-151198000,None,None,72048000,None,71357000,48549000,48549000,60244000,60244000,None,None,None,568335000,543455000,163253000,None,32881000
2018-12-31,USD,548441000,None,None,11051000,140104000,408337000,29833000,24543000,33000,-157260000,7350000,None,110521000,177993000,84997000,None,None,448000,41149000,396771000,None,408337000,None,78727000,None,129000000,60454000,None,None,33000,None,-157260000,None,None,38582000,71939000,151670000,None,47757000,55107000,55107000,None,None,None,565116000,548441000,177993000,None,32558000
2018-09-30,USD,519232000,0,None,9582000,122158000,397074000,0,19331000,32000,-165723000,8140000,0,114290000,148716000,66272000,None,None,682000,37659000,367283000,None,397074000,0,84977000,47746000,124008000,46941000,0,0,32000,0,-165723000,0,None,37908000,76382000,151949000,None,None,55886000,55886000,None,None,None,562083000,519232000,148716000,None,32398000
2018-06-30,USD,508431000,0,None,10925000,122817000,385614000,0,16469000,32000,-174561000,8392000,0,109184000,148027000,66690000,47735000,47735000,936000,36312000,362935000,None,385614000,730000,74429000,47735000,129554000,50221000,0,0,32000,0,-174561000,0,None,32179000,77005000,145496000,None,None,56127000,56127000,None,None,None,559207000,508431000,148027000,None,32331000
2018-03-31,USD,505144000,0,None,9277000,133617000,371527000,0,20989000,32000,-189230000,8809000,0,107344000,141727000,77084000,47724000,47724000,3227000,36203000,361597000,None,371527000,770000,75588000,47724000,135005000,56095000,0,0,32000,0,-189230000,0,None,26647000,80697000,143547000,None,None,56533000,56533000,None,None,None,557498000,505144000,141727000,None,32142000
