fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1685000,10071000,-1685000,None,-108000,467000,-2806000,145000,13302000,15680000,16898000,-3547000,2466000,None,3273000,-11047000,-471000,6124000,1685000,-471000,None,15680000
2020-03-31,USD,-1290000,1742000,-1290000,None,-108000,-4145000,-1162000,-5080000,11221000,34242000,39677000,-221000,2363000,None,-2983000,1924000,19223000,3425000,1290000,19223000,None,34242000
2019-12-31,USD,-905000,3760000,-905000,None,-108000,-1217000,-30000,-411000,9712000,-15371000,-13249000,1397000,2297000,None,-1187000,-1351000,-35234000,6170000,905000,-35234000,603000,-14768000
2019-09-30,USD,-2307000,-1384000,-2307000,None,-108000,632000,-11000,-4389000,704000,18306000,19981000,8973000,1983000,None,643000,-5441000,12886000,2260000,2307000,12886000,None,18306000
2019-06-30,USD,-4502000,-4809000,-4502000,None,None,-14370000,-1310000,-6821000,556000,-26849000,-7977000,-13221000,1985000,None,-13060000,-4990000,8704000,3798000,4502000,8704000,None,-26849000
2019-03-31,USD,-4255000,-16879000,-4255000,None,None,1547000,-281000,-5381000,6062000,-15057000,-12349000,-7479000,1615000,None,1828000,-6171000,7642000,2861000,4255000,7642000,None,-15057000
2018-12-31,USD,None,16481000,-863000,None,-26000,853000,-26000,-3389000,8463000,29735000,29745000,-4634000,1564000,None,879000,-5645000,6345000,7171000,863000,6345000,-426000,29309000
2018-09-30,USD,None,-2797000,-2177000,0,-6000,461000,-6000,-5432000,8838000,164000,1880000,-2829000,1432000,0,467000,4463000,-10752000,3525000,2177000,-10752000,487000,651000
2018-06-30,USD,None,-6413000,-952000,0,-1161000,-348000,-1161000,-8503000,14669000,5540000,6840000,-11824000,1328000,0,813000,2132000,514000,6434000,952000,514000,931000,6471000
2018-03-31,USD,None,-1723000,-723000,0,-226000,220000,-226000,275000,13915000,7997000,8500000,2238000,1448000,0,446000,-11462000,16000,4068000,723000,16000,-406000,7591000
2017-12-31,USD,None,5361000,-375000,0,-50000,4743000,-1184000,-5352000,91680000,20330000,15962000,-2726000,1250000,0,4793000,13940000,-23573000,-88344000,375000,-5199000,-138000,20192000
2017-09-30,USD,None,12078000,-5061000,0,None,1822000,-50000,2357000,11841000,5686000,8925000,2357000,1320000,0,1822000,-710000,18374000,3112000,5061000,-21073000,-349000,5337000
2017-06-30,USD,None,9518000,-733000,0,-1134000,6260000,-848000,-1887000,23438000,39592000,34065000,-11393000,1255000,0,7108000,-6683000,2699000,-947000,733000,18877000,-462000,39130000
2017-03-31,USD,None,5136000,-1116000,0,None,2245000,-286000,-3096000,9506000,-1539000,-2668000,6410000,1177000,0,2531000,-844000,16178000,1631000,1116000,-16178000,105000,-1434000
2016-12-31,USD,None,8109000,-137000,108000,1000,768000,-157000,-13326000,3965000,4847000,4216000,-809000,1065000,0,767000,962000,-14135000,1126000,245000,-6237000,321000,5168000
2016-09-30,USD,None,-14387000,-240000,162000,-32000,1149000,-286000,129000,2151000,4599000,3690000,2282000,1132000,0,1181000,-5994000,7898000,2107000,402000,18550000,43000,4642000
2016-06-30,USD,None,8308000,-584000,0,-116000,246000,-286000,-2105000,2937000,-6860000,-6522000,834000,1143000,0,362000,-2683000,26448000,2037000,584000,-16161000,270000,-6590000
2016-03-31,USD,None,1338000,-1275000,0,73000,267000,73000,None,1948000,-11191000,-10183000,-4632000,918000,0,194000,1143000,10287000,1337000,1275000,-10287000,-127000,-11318000
2015-12-31,USD,None,-5578000,-501000,0,-6875000,-6263000,-855000,-5907000,826000,-928000,5836000,2676000,1261000,0,612000,3158000,5171000,2689000,501000,1630000,-54000,-982000
2015-09-30,USD,None,-10099000,-657000,0,4000,1876000,None,None,6101000,1874000,655000,4437000,1310000,0,1872000,285000,3541000,1697000,657000,3025000,-88000,1786000
2015-06-30,USD,None,9935000,-352000,0,2000,943000,None,None,5883000,3619000,3028000,1297000,1156000,0,941000,-12418000,516000,2187000,352000,871000,-82000,3537000
