fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,2145481000,-131761000,83092000,-2025279000,-120764000,-112303000,6660000,-58037000,94122000,157020000,186231000,104449000,55749000,None,1801000,None,172702000,63672000,37110000,None,None,157020000
2020-03-31,USD,5405000,76671000,2059179000,2068336000,-1338511000,-1372585000,-29056000,-58037000,-76966000,387563000,-299031000,-311537000,67816000,None,-5018000,None,-359684000,-55015000,14562000,None,None,387563000
2019-12-31,USD,4016000,-294425000,-68125000,-40547000,115776000,79352000,32126000,-231669000,53094000,-195703000,-206930000,-81800000,57875000,None,-68550000,None,-129001000,58326000,31594000,None,None,-195703000
2019-09-30,USD,-135225000,678541000,-23154000,135370000,1304271000,-479689000,-41740000,275248000,-447983000,290860000,793703000,598749000,67701000,None,6079000,None,23958000,529669000,23299000,None,None,290860000
2019-06-30,USD,8943000,-137000,-18263000,342000,1892288000,-92226000,22385000,-26300000,105388000,-33632000,76857000,-100461000,64768000,None,24265000,None,-107564000,7299000,27548000,None,None,-33632000
2019-03-31,USD,6550000,16703000,-45646000,-25955000,2213763000,-74598000,10113000,150676000,93519000,-12806000,107438000,-87265000,65556000,None,-5381000,None,-146610000,18925000,26241000,None,None,-12806000
2018-12-31,USD,9855000,-232524000,-59697000,-45976000,2290452000,213234000,-2439000,-224818000,65086000,-46845000,-200382000,-103553000,63160000,None,5485000,None,-86271000,7449000,23576000,None,None,-46845000
2018-09-30,USD,94253000,354951000,57967000,-11761000,8555415000,-501087000,-9869000,132052000,105327000,88766000,531886000,-43605000,67429000,0,106811000,0,-16179000,63963000,24525000,-16179000,None,88766000
2018-06-30,USD,-15405000,116865000,-29254000,19204000,-92893000,-99516000,32424000,-42775000,75142000,-56926000,71844000,22033000,66658000,0,-39047000,0,-205736000,-3118000,33053000,-205736000,None,-63031000
2018-03-31,USD,5412000,-70863000,-60298000,-39519000,-1209959000,-7261000,-32264000,-18804000,-107755000,50836000,118395000,-7387000,70648000,-7263000,-42061000,0,26226000,207526000,26191000,26226000,3223000,54059000
2017-12-31,USD,5191000,55313000,-27502000,-3183000,1276451000,-17004000,-25962000,-169492000,124413000,7922000,52428000,-12517000,62835000,-16795000,9530000,0,-186098000,8482000,29510000,-186098000,2882000,10804000
2017-09-30,USD,1520000,304827000,-134584000,-114427000,1314587000,-129731000,2676000,-143620000,103784000,-13018000,251297000,86434000,72653000,-59036000,34971000,0,-432769000,-30544000,21677000,-285857000,2921000,-10097000
2017-06-30,USD,34187000,350127000,-10196000,-23732000,1515554000,-320836000,-19343000,-94902000,136074000,82905000,413937000,-121927000,67112000,0,550000,0,0,32868000,20651000,-50317000,3582000,86487000
2017-03-31,USD,300000,-130303000,-19071000,1071000,1488327000,90446000,16202000,28441000,115840000,25288000,-46087000,28441000,71950000,0,2616000,0,0,11644000,20442000,-143659000,2967000,28255000
2016-12-31,USD,300000,-93295000,-38860000,-15576000,1634781000,-26369000,-26280000,-14728000,65778000,12278000,77507000,-14728000,66916000,-21938000,9875000,0,47064000,5772000,23584000,47064000,-6706000,5572000
2016-09-30,USD,94000,78413000,-50697000,-1030000,1260022000,-247196000,-46708000,-116942000,12887000,65006000,362899000,158544000,83270000,0,0,0,337291000,-91386000,49761000,121171000,-858000,64148000
2016-06-30,USD,250000,-98699000,-85204000,-11242000,1123468000,-213572000,500000,-63230000,0,-41781000,0,-63230000,0,0,0,0,0,59521000,74212000,180803000,-3055000,-41781000
2016-03-31,USD,200000,-7016000,-66701000,-331000,2404954000,-38967000,12961000,-105496000,66594000,7483000,113151000,-105496000,107181000,0,47898000,0,0,45690000,66570000,6198000,4251000,11734000
2015-12-31,USD,10987000,-69702000,39987000,29843000,-82219000,-138244000,-9626000,None,-403000,-20202000,78055000,-6075000,111018000,0,-46399000,0,29119000,14098000,843000,29119000,-5647000,-25849000
2015-09-30,USD,47329000,-62685000,29317000,-7842000,-170694000,-220763000,-19915000,None,26477000,86583000,278029000,87815000,148121000,None,-30154000,None,None,-45323000,10170000,123624000,-8590000,77993000
2015-06-30,USD,-13343000,175954000,-26034000,-9022000,-77107000,-133323000,-10376000,None,-247000,-5555000,153802000,-4969000,134700000,0,-45840000,0,245976000,47130000,3669000,-198766000,-1142000,-6697000
