fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,257402000,329000,None,None,106417000,89907000,None,15147000,2000,17131000,6584000,None,22229000,86397000,96516000,None,25772000,-3415000,8604000,205880000,20360000,89578000,None,58903000,None,49772000,27986000,None,None,None,None,None,None,None,16466000,None,51522000,4648000,None,6584000,9901000,None,None,None,None,None,None,None,None
2020-03-31,USD,217208000,307000,None,58726000,118266000,98942000,None,None,2000,17212000,5830000,None,5367000,52283000,50767000,3892000,3892000,-2623000,7042000,198477000,6015000,98635000,None,37260000,None,44987000,18616000,None,None,None,None,None,None,None,155000,None,18731000,3547000,None,5830000,67499000,None,None,None,84351000,None,52283000,None,21000000
2019-12-31,USD,217703000,344000,None,59598000,120382000,97321000,None,17337000,2000,15507000,4186000,None,5523000,58261000,53502000,13753000,13753000,-1675000,7506000,198396000,5934000,96977000,None,31091000,None,44796000,13262000,None,None,None,None,None,None,None,192000,None,19307000,3887000,None,4186000,66880000,None,None,None,83487000,None,58261000,None,19000000
2019-09-30,USD,180216000,285000,None,26582000,88871000,91345000,None,17206000,2000,11563000,2980000,None,2531000,47264000,56148000,15665000,15665000,-3077000,7778000,163654000,5968000,91060000,None,43144000,None,43506000,15440000,None,None,None,None,None,None,None,222000,None,16562000,4205000,None,2980000,32723000,None,None,None,82857000,None,47264000,None,19000000
2019-06-30,USD,120269000,307000,None,None,60554000,59715000,None,11701000,1000,2781000,3963000,None,1898000,27578000,53401000,15110000,15110000,-1168000,7926000,108400000,1738000,59408000,None,31393000,None,45494000,18238000,None,None,None,None,None,None,None,263000,None,11869000,4550000,None,3963000,7153000,None,None,None,58101000,None,27578000,None,19000000
2019-03-31,USD,111419000,263000,None,None,55777000,55642000,None,1326000,1000,-1530000,3296000,None,1669000,27367000,49019000,12829000,12829000,-200000,8506000,99505000,1476000,55379000,None,25070000,3462000,42253000,13333000,None,None,None,None,None,None,None,4787000,None,11914000,4788000,None,3296000,6758000,None,None,None,57371000,None,27367000,None,18000000
2018-12-31,USD,103047000,274000,None,None,50723000,52324000,None,13270000,1000,-3387000,4583000,None,1677000,27124000,46140000,None,None,-857000,3708000,96028000,1360000,52050000,None,28155000,None,38764000,16673000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56567000,None,27124000,None,18000000
2018-09-30,USD,89413000,300000,None,32000,40081000,49332000,0,7881000,1000,-5673000,5230000,0,1271000,18238000,34851000,None,None,-955000,3593000,82777000,1472000,49032000,0,32556000,0,29809000,11991000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000
2018-06-30,USD,87833000,231000,None,2316000,42236000,45597000,0,4964000,1000,-9526000,5869000,0,1318000,17435000,36367000,9932000,9932000,-209000,3050000,81879000,1355000,45366000,0,34597000,0,27531000,17755000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000
2018-03-31,USD,71934000,126000,None,45000,28932000,43002000,0,2213000,1000,-12741000,6181000,0,1345000,15186000,22751000,10376000,10376000,827000,2731000,66494000,1238000,42876000,0,29015000,0,19865000,5525000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000
