fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-31034000,9811000,-31034000,None,20158000,20856000,None,-2599000,-81000,-24612000,-14480000,None,229000,None,None,-4699000,-21572000,6113000,16904000,None,None,None
2020-03-31,USD,-118000,5617000,-118000,None,-9734000,-9559000,None,3031000,1705000,-6850000,3829000,None,212000,None,None,-931000,-6902000,834000,118000,None,None,None
2019-12-31,USD,-237000,-2641000,-237000,-4406000,-2079000,28270000,32415000,918000,3944000,44013000,14155000,None,202000,None,-2042000,-769000,12673000,-1962000,179000,None,None,None
2019-09-30,USD,-4789000,-2017000,-4789000,-4348000,820000,53326000,24401000,2508000,8782000,46268000,-145000,None,198000,None,25414000,894000,-12797000,1114000,550000,None,None,None
2019-06-30,USD,-389000,5357000,-389000,-109000,2476000,2588000,24401000,-67000,4311000,211000,-1425000,None,197000,None,172000,-4024000,-6936000,763000,280000,None,None,None
2019-03-31,USD,-116000,-3757000,-116000,None,3201000,3261000,24401000,544000,1857000,243000,-3182000,None,191000,None,60000,-2759000,99000,628000,116000,None,None,None
2018-12-31,USD,-109000,4660000,-123000,None,-508000,-491000,24401000,4373000,2286000,8886000,9642000,None,37000,None,528000,-8926000,6409000,299000,232000,None,None,None
2018-09-30,USD,-109000,-5321000,-909000,0,202000,418000,None,3391000,3853000,803000,1385000,None,207000,0,0,-2829000,1332000,294000,716000,None,None,None
2018-06-30,USD,None,12850000,-644000,0,-180000,53000,None,2166000,3215000,2249000,3275000,None,93000,0,0,-8432000,-6872000,68000,487000,None,None,None
2018-03-31,USD,None,-2364000,-395000,0,5081000,5143000,None,-621000,-2780000,-2495000,-7393000,None,80000,0,0,-3896000,14000,2174000,395000,None,None,None
2017-12-31,USD,-1200000,1905000,-23720000,-946000,44000,38720000,13763000,1180000,3384000,7562000,-8101000,None,243000,0,0,-3073000,-9757000,1691000,651000,None,None,None
2017-09-30,USD,-1200000,321000,-8486000,0,-1213000,20006000,13763000,57000,-955000,3868000,-4661000,None,0,0,15300000,5933000,796000,-259000,149000,None,None,None
2017-06-30,USD,-1200000,1460500,-31000,-946000,-138500,101000,13763000,-551000,-1373500,1543500,2983000,None,53500,None,189000,-1094500,3682000,943500,26000,None,None,None
2017-03-31,USD,-1200000,533000,-36000,-946000,1283000,1661000,13763000,-664000,-2089000,1964000,352000,None,52000,None,378000,-1784000,3068000,1231000,12000,None,None,None
2016-12-31,USD,-1200000,3177000,-810000,-946000,-1798000,10554000,2902000,-4104000,1222000,5718000,-3702000,None,180000,None,410000,-3055000,-4724000,3786000,795000,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,362000,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
