fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,39049000,31713000,19693000,19356000,2812000,-81000,5221000,None,2355000,61078000,6799000,None,7336000,None,228000,1859000,320000,92000,None,None,None,1859000,-5073000,None,496000,-81000,None
2020-03-31,USD,24348000,23130000,14120000,10228000,2590000,1705000,3677000,None,2267000,59467000,5333000,None,1218000,None,111000,304000,335000,224000,None,None,None,304000,825000,None,1963000,1705000,None
2019-12-31,USD,24608000,20759000,12165000,12443000,3425000,3944000,3302000,None,3016000,60162000,5292000,None,3849000,None,207000,-1185000,205000,-2000,None,None,None,-1185000,-831000,None,4201000,3944000,None
2019-09-30,USD,33427000,26397000,17173000,16254000,9164000,8782000,3492000,None,8761000,26888000,5732000,None,7030000,None,205000,-328000,95000,-110000,None,None,None,-328000,1841000,None,9089000,8782000,None
2019-06-30,USD,29010000,24349000,15879000,13131000,5578000,4311000,3341000,None,5187000,26888000,5129000,None,4661000,None,194000,876000,24000,-170000,None,None,None,876000,696000,None,4311000,4311000,None
2019-03-31,USD,20479000,18228000,11653000,8826000,2306000,1857000,2765000,None,1976000,26888000,3810000,None,2251000,None,139000,119000,-14000,-130000,None,None,None,119000,-145000,None,1857000,1857000,None
2018-12-31,USD,20848000,18208000,10532000,10316000,2640000,2286000,4156000,0,2445000,26888000,3520000,None,2640000,0,-134000,None,None,None,0,0,0,159000,-195000,0,2286000,2286000,None
2018-09-30,USD,23179000,19775000,12892000,10287000,3404000,3853000,2264000,0,4314000,0,4619000,None,3404000,0,-112000,None,None,None,0,0,0,461000,910000,0,3853000,3853000,None
2018-06-30,USD,20873000,18542000,12149000,8724000,2331000,3215000,2419000,0,3379000,0,3974000,None,2331000,0,-149000,None,None,None,0,0,0,164000,1048000,0,3215000,3215000,None
2018-03-31,USD,9743000,11647000,4621000,5122000,-1904000,-2780000,1541000,0,-2758000,0,5485000,None,-1904000,0,-103000,None,None,None,0,0,0,22000,-854000,0,-2780000,-2780000,None
2017-12-31,USD,17192000,38570000,7931000,15550500,1808000,3384000,2062000,0,3441000,1256000,5408000,None,3765000,0,80000,None,None,None,0,0,0,76000,-1110500,0,-71000,3384000,None
2017-09-30,USD,4891000,3573000,2627000,3552000,-3336500,-4475000,1209000,0,-4433000,-1433000,3509000,None,-4214000,0,33000,None,None,None,0,0,0,1316000,31000,0,-4271500,-3101500,None
2017-06-30,USD,8763000,-13550000,5251000,-4279500,3781500,4893500,939000,0,3976000,177000,3653000,None,3781500,0,86000,None,None,None,0,0,0,-1968500,194500,0,5944500,4893500,None
2017-03-31,USD,5660000,7213000,3201000,2402000,-1553000,-2089000,928000,0,-1693000,4181000,3955000,None,-1553000,0,78000,None,None,None,0,0,0,781000,-140000,0,-2474000,-2089000,None
2016-12-31,USD,14345000,23881000,6708000,13329000,3490000,1222000,960000,0,3391000,1633000,3319000,None,4265000,0,63000,None,None,None,0,0,0,536000,-508000,0,2387000,1222000,None
2016-09-30,USD,4904000,0,1943000,0,0,362000,813000,0,693000,199000,2127000,None,788000,0,67000,None,None,None,0,0,0,132000,0,0,0,362000,None
2016-06-30,USD,8122000,0,5204000,0,0,0,1486000,0,0,0,4393000,None,0,0,51000,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
