fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-05-31,USD,10991305000,1815955000,7462617000,3528688000,1685734000,1228202000,None,None,1680773000,24437000,1815955000,-26999000,1712733000,None,4961000,428134000,12671000,7710000,None,None,None,428134000,-39670000,None,1252639000,1228202000,None
2020-02-29,USD,11141505000,1870226000,7782334000,3359171000,1518123000,1234740000,None,None,1509556000,17342000,1870226000,29178000,1488945000,None,8567000,257474000,21386000,12819000,None,None,None,257474000,7792000,None,1252082000,1234740000,None
2019-11-30,USD,11358958000,1880496000,7711199000,3647759000,1806121000,1356968000,None,None,1800647000,18200000,1880496000,38858000,1767263000,None,5474000,425479000,27419000,21945000,None,None,None,425479000,11439000,None,1375168000,1356968000,None
2019-08-31,USD,11055650000,1863123000,7621034000,3434616000,1568243000,1130427000,None,None,1560752000,15121000,1863123000,-3250000,1571493000,None,7491000,415204000,27394000,19903000,None,None,None,415204000,-30644000,None,1145548000,1130427000,None
2019-05-31,USD,11099688000,1810355000,7571390000,3528298000,1709655000,1249516000,None,None,1704307000,19133000,1810355000,-8288000,1717943000,None,5348000,435658000,21402000,16054000,None,None,None,435658000,-29690000,None,1268649000,1249516000,None
2019-02-28,USD,10454129000,1667723000,7399780000,3054349000,1381873000,1124449000,0,None,1376254000,16271000,1667723000,-4753000,1386626000,None,5619000,235534000,19081000,13462000,None,None,None,235534000,-23834000,None,1140720000,1124449000,None
2018-11-30,USD,10605546000,1668413000,7308121000,3297425000,1614989000,1274720000,0,None,1610484000,16604000,1668413000,-14023000,1629012000,None,4505000,None,None,None,None,None,None,319160000,-18528000,None,1291324000,1274720000,None
2018-08-31,USD,10642249000,1770460000,7419118000,3223131000,1461767000,1029524000,790779000,0,1456614000,18847000,1770460000,9096000,1452671000,0,5153000,None,None,None,0,0,0,408243000,3943000,0,1048371000,1029524000,None
2018-05-31,USD,10838854000,1699402000,7519726000,3319128000,1618397000,1043020000,0,0,1612558000,15121000,1699402000,-1329000,1619726000,0,5839000,None,None,None,0,0,0,554417000,-7168000,0,1058141000,1043020000,None
2018-02-28,USD,10067832000,1565630000,7219438000,2848394000,1248637000,863703000,0,0,1244797000,55837000,1565630000,-34127000,1282764000,0,3840000,None,None,None,0,0,0,325257000,-37967000,0,919540000,863703000,None
2017-11-30,USD,10054493000,1566380000,7002233000,3052260000,1498831000,1123660000,0,0,1494124000,64882000,1566380000,12951000,1485880000,0,4707000,None,None,None,0,0,0,305582000,0,0,1188542000,1123660000,None
2017-08-31,USD,9640906000,1080318000,6754233000,2886673000,1296909000,932453000,704317000,0,1292001000,50721000,1080318000,347000,1296562000,0,4908000,None,None,None,0,0,0,308827000,-526370000,0,983174000,932453000,None
2017-05-31,USD,9356787000,2044196000,6447156000,2909631000,878013000,669468000,0,0,874400000,35333000,2044196000,12578000,865435000,0,3613000,None,None,None,0,0,0,169599000,0,0,704801000,669468000,None
2017-02-28,USD,8762182000,1365503000,6258026000,2504156000,1122486000,838752000,0,0,1118510000,48456000,1365503000,-16167000,1138653000,0,3976000,None,None,None,0,0,0,231302000,0,0,887208000,838752000,None
2016-11-30,USD,9005603000,1398073000,6275571000,2730032000,1334169000,1004476000,0,0,1331121000,55273000,1398073000,2210000,1331959000,0,3048000,None,None,None,0,0,0,271372000,0,0,1059749000,1004476000,None
2016-08-31,USD,8965580000,1460342000,6310040000,2655540000,1462865000,1069226000,643407000,0,1458913000,61555000,1460342000,267667000,1195198000,0,3952000,None,None,None,0,0,0,328132000,793127000,0,1130781000,1069226000,None
2016-05-31,USD,8969044000,1383609000,6279492000,2689552000,1297415000,897247000,0,0,1293704000,53036000,1383609000,-8528000,1305943000,0,3711000,None,None,None,0,0,0,343421000,0,0,950283000,897247000,None
2016-02-29,USD,8397053000,1281772000,6027237000,2369816000,1627135000,1326520000,0,0,1622592000,73338000,1281772000,539091000,1088044000,0,4543000,None,None,None,0,0,0,222734000,0,0,1399858000,1326520000,None
2015-11-30,USD,8465984000,1341259000,5903465000,2562519000,1232415000,818899000,0,0,1228363000,49782000,1341259000,11155000,1221260000,0,4052000,None,None,None,0,0,0,359682000,0,0,868681000,818899000,None
2015-08-31,USD,8364511000,1410797000,5860106000,2504405000,1085293000,737628000,625541000,0,1081461000,50497000,1410797000,-8315000,1093608000,0,3832000,None,None,None,0,0,0,293336000,-89721000,0,788125000,737628000,None
2015-05-31,USD,8275066000,1391386000,5750161000,2524905000,1136121000,793697000,0,0,1132091000,56533000,1391386000,2602000,1133519000,0,4030000,None,None,None,0,0,0,281861000,0,0,850230000,793697000,None
