fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2412303000,7891000,None,None,2160113000,252190000,None,2032801000,21884000,138902000,21448000,42108000,1809983000,232231000,2066764000,33963000,3150000,-1620000,34831000,232231000,1995033000,202191000,257603000,None,68448000,None,None,None,None,21884000,None,138902000,-728000,None,100209000,None,2180072000,3453000,68448000,24901000,93349000,None,None,None,93752000,2412303000,232231000,None,8695839
2020-03-31,USD,2180065000,7684000,385287000,None,1933071000,246994000,None,1811357000,21819000,135273000,23887000,41700000,1907039000,129170000,1837461000,26104000,3300000,-2520000,35304000,129170000,1867585000,197610000,253048000,None,71723000,None,None,None,None,21819000,None,135273000,-728000,None,98622000,None,2050895000,6047000,71723000,23887000,95610000,None,None,None,93150000,2180065000,129170000,None,8669906
2019-12-31,USD,1720253000,4427000,313567000,4682000,1530737000,189516000,None,None,17855000,138663000,15244000,19580000,1336211000,114356000,1466451000,750000,750000,-5853000,29226000,117126000,213683000,165509000,190837000,None,65546000,364000,1412260000,None,None,None,None,None,-728000,None,None,None,None,3502000,None,None,None,None,None,None,39579000,None,None,None,7000000
2019-09-30,USD,1735849000,4580000,308476000,3010000,1549775000,186074000,None,1417610000,17843000,135351000,14926000,19580000,1351141000,117715000,1459119000,41509000,900000,-5810000,25411000,117715000,1486089000,161914000,184678000,None,72068000,None,1417610000,None,None,17843000,None,135351000,-728000,None,82474000,None,1618134000,3662000,72068000,18926000,90994000,None,None,None,39418000,1735849000,117715000,None,7074539
2019-06-30,USD,1679305000,4735000,265523000,3009000,1498421000,180884000,None,1377277000,17831000,130809000,15008000,19580000,1341913000,76606000,1401414000,24137000,1000000,-6292000,25627000,76606000,1470339000,156569000,175712000,None,78288000,None,1377277000,None,None,17831000,None,130809000,-728000,None,82418000,None,1602699000,3711000,78288000,18719000,97007000,None,None,None,39264000,1679305000,76606000,None,7069859
2019-03-31,USD,1671159000,4303000,234259000,300000,1497366000,173793000,None,1367058000,17781000,126105000,14338000,19580000,1365051000,61353000,1396817000,29759000,2191000,-7943000,26094000,61353000,1476417000,149910000,160949000,None,82407000,48000,1367058000,None,None,17781000,None,126105000,-728000,None,83608000,None,1610002000,3804000,82407000,18338000,100745000,None,None,None,38578000,1671159000,61353000,None,7049682
2018-12-31,USD,1647724000,4407000,None,2288000,1479587000,168137000,None,1348092000,17772000,121862000,13331000,19580000,1363154000,40905000,1382740000,34648000,23500000,-9217000,26564000,40905000,1479776000,144150000,None,None,83516000,155000,1348092000,None,None,17772000,None,121862000,-728000,None,76492000,None,1606819000,None,83516000,13331000,96847000,None,None,None,38448000,1647724000,40905000,None,7046020
2018-09-30,USD,1647799000,2628000,None,1112000,1483287000,164512000,0,1347243000,17762000,118192000,12794000,19580000,1334310000,63696000,1385768000,38525000,None,-9035000,26160000,63696000,1458714000,142304000,0,None,84725000,63000,1347243000,0,0,17762000,0,118192000,-728000,None,77021000,None,1584103000,None,84725000,12794000,97519000,None,None,None,38321000,1647799000,63696000,None,7042224
2018-06-30,USD,1623342000,2801000,None,1265000,1463035000,160307000,0,1333975000,17753000,113772000,12826000,19580000,1313679000,63053000,1360393000,26418000,116234000,-8683000,26666000,63053000,1429451000,137926000,0,None,89816000,287000,1333975000,0,0,17753000,0,113772000,-728000,None,81791000,None,1560289000,None,89816000,12826000,102642000,None,None,None,38193000,1623342000,63053000,None,7038768
2018-03-31,USD,1611015000,2985000,None,474000,1454410000,156605000,0,1313414000,17743000,109801000,12245000,19580000,1299452000,60197000,1346849000,33435000,128751000,-8281000,27239000,60197000,1424139000,134040000,0,None,95316000,630000,1313414000,0,0,17743000,0,109801000,-728000,None,76875000,None,1550818000,None,95316000,12245000,107561000,None,None,None,38070000,1611015000,60197000,None,7034540
