fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-128695000,2004000,-129408000,-533000,4584000,224354000,221444000,3400000,5797000,103061000,8115000,1322000,1198000,-2168000,494000,None,-1992000,-214000,180000,-1992000,None,103061000
2020-03-31,USD,-39711000,1851000,-5120000,34997000,-11354000,11518000,25039000,2794000,-1223000,14814000,8416000,1418000,1084000,-2167000,None,None,-91000,5377000,406000,-91000,None,14814000
2019-12-31,USD,11457000,2292000,11457000,261000,-13846000,-20792000,-5350000,-2702000,5081000,-3359000,5976000,None,659000,-1769000,892000,None,144000,502000,819000,None,None,None
2019-09-30,USD,-15360000,131000,-15657000,33000,11152000,49883000,40333000,61000,6310000,41109000,6883000,-101000,744000,-1768000,166000,None,328000,-529000,330000,328000,None,41109000
2019-06-30,USD,10590000,883000,9955000,-521000,-9741000,-744000,10219000,3343000,6466000,15253000,6042000,2331000,773000,-1762000,540000,None,207000,-4618000,114000,207000,None,15253000
2019-03-31,USD,4256000,1218000,2266000,-1829000,-5998000,11360000,18966000,558000,5864000,20448000,6822000,-693000,771000,-1621000,13000,None,-502000,164000,161000,-502000,None,20448000
2018-12-31,USD,-20807000,-1698000,-25129000,-3483000,-5086000,-5719000,849000,80000,5289000,-22791000,8057000,1983000,839000,-1619000,137000,None,None,1452000,839000,192000,None,-22791000
2018-09-30,USD,-25085000,96000,-25066000,268000,7016000,18802000,13268000,380000,6039000,643000,6907000,276000,823000,-1619000,137000,1028000,0,42000,249000,-369000,None,643000
2018-06-30,USD,-10653000,710000,-10662000,289000,-12517000,6559000,20561000,1248000,5507000,2856000,6959000,519000,830000,-1618000,133000,743000,0,-497000,298000,-110000,None,2856000
2018-03-31,USD,8648000,908000,7241000,-1050000,-2757000,10894000,14922000,810000,4913000,25756000,7621000,-65000,826000,-1405000,134000,1400000,0,1627000,357000,-588000,None,25756000
2017-12-31,USD,-7688000,55000,-8262000,96000,852000,-13840000,-13392000,4147000,2517000,-15050000,7052000,1963000,792000,-1404000,104000,539000,0,1600000,670000,125000,None,-15050000
2017-09-30,USD,-1791000,-713000,4368000,6443000,-1031000,16084000,18398000,1440000,1912000,23211000,2759000,2153000,812000,-1403000,120000,295000,0,-871000,284000,-534000,None,23211000
2017-06-30,USD,-9898000,249000,-10273000,61000,8469000,17143000,9660000,618000,2722000,9764000,2894000,369000,597000,-1213000,227000,698000,0,-1060000,436000,17000,None,9764000
2017-03-31,USD,-37593000,1542000,-37786000,174000,9378000,31069000,22873000,-1471000,2637000,-2415000,4302000,-1471000,609000,-1213000,31000,1437000,0,1105000,367000,-120000,None,-2415000
2016-12-31,USD,-37654000,-321000,-37562000,411000,-3163000,-2203000,2074000,425000,2572000,-36460000,3305000,677000,639000,-1213000,99000,726000,0,-91000,319000,-171000,None,-36460000
2016-09-30,USD,-30166000,94000,-30067000,425000,-4687000,37537000,43320000,-420000,2768000,9173000,1703000,-420000,579000,-1210000,114000,435000,29000,-1203000,326000,-115000,None,9173000
2016-06-30,USD,13474000,-386000,14587000,2037000,3698000,12139000,9412000,825000,2982000,30042000,3316000,825000,537000,-1209000,238000,1176000,144000,-784000,924000,142000,None,30042000
2016-03-31,USD,-5729000,1248000,-6400000,104000,1290000,22000,-165000,None,2547000,-2581000,3797000,-1292000,599000,-1208000,105000,1074000,2000,693000,775000,2000,None,-2581000
2015-12-31,USD,-44442000,-2161000,-44757000,140000,-1522000,14992000,17611000,2253000,2852000,-27332000,2433000,2194000,605000,-1207000,110000,279000,0,-915000,455000,-142000,None,-27332000
2015-09-30,USD,-7547000,1552000,-8149000,35000,23000,22109000,23200000,None,2812000,18092000,4132000,-255000,605000,-1206000,92000,731000,76000,-771000,637000,189000,None,18092000
2015-06-30,USD,-55000,-742000,890000,1302000,-413000,-4158000,-2746000,None,2810000,552000,3820000,937000,607000,-1204000,205000,930000,0,251000,357000,-43000,None,552000
