fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,20688000,13455000,None,20688000,7233000,5797000,None,None,7233000,None,13455000,None,7233000,1588000,3240000,1436000,21530000,18290000,None,None,None,1436000,None,None,5797000,5797000,None
2020-03-31,USD,17621000,19457000,None,17621000,-1836000,-1223000,None,None,-1836000,None,19457000,None,-1836000,13492000,3454000,-613000,20819000,17365000,None,None,None,-613000,None,None,-1223000,-1223000,None
2019-12-31,USD,19206000,11710000,None,19031000,None,5081000,None,None,6330000,None,7675000,None,7321000,1612000,2783000,1249000,17446000,14663000,None,None,None,1249000,-991000,None,5081000,5081000,None
2019-09-30,USD,19836000,11974000,None,19836000,7862000,6310000,None,None,7862000,None,11974000,None,7862000,1366000,2652000,1552000,17619000,14967000,None,None,None,1552000,-806000,None,6310000,6310000,None
2019-06-30,USD,19665000,11685000,None,19665000,7980000,6466000,None,None,7980000,None,11685000,None,7980000,1575000,2485000,1514000,17374000,14889000,None,None,None,1514000,-336000,None,6466000,6466000,None
2019-03-31,USD,18455000,11261000,None,18455000,7194000,5864000,None,None,7194000,None,11261000,None,7194000,1514000,2220000,1330000,16791000,14665000,None,None,None,1330000,-271000,None,5864000,5864000,None
2018-12-31,USD,17973000,11610000,2914000,17973000,6363000,5289000,0,0,6363000,0,11610000,None,6363000,1695000,2064000,None,None,None,0,0,0,1074000,-305000,0,5289000,5289000,None
2018-09-30,USD,18338000,10856000,2069000,18338000,7482000,6039000,0,0,7482000,0,10856000,None,7482000,1328000,1869000,None,None,None,0,0,0,1443000,-340000,0,6039000,6039000,None
2018-06-30,USD,18088000,11251000,2093000,18088000,6837000,5507000,0,0,6837000,0,11251000,None,6837000,1396000,1773000,None,None,None,0,0,0,1330000,-445000,0,5507000,5507000,None
2018-03-31,USD,17024000,10986000,1943000,17024000,6038000,4913000,0,0,6038000,0,10986000,None,6038000,1315000,1693000,None,None,None,0,0,0,1125000,-364000,0,4913000,4913000,None
2017-12-31,USD,17102000,10578000,1688000,17102000,6524000,2517000,0,0,6524000,0,10578000,None,6524000,6244000,3886000,None,None,None,0,677000,0,4007000,-6002000,0,2517000,2517000,None
2017-09-30,USD,17492000,14867000,1547000,17492000,2625000,1912000,0,0,2625000,0,14867000,None,2625000,-2400000,416000,None,None,None,0,4167000,0,713000,0,0,1912000,1912000,None
2017-06-30,USD,13359000,9634000,1131000,13359000,3725000,2722000,0,0,3725000,0,9634000,None,3725000,1041000,64000,None,None,None,0,-278000,0,1003000,0,0,2722000,2722000,None
2017-03-31,USD,12548000,9000000,1067000,12548000,3548000,2637000,0,0,3548000,0,9000000,None,3548000,80000,1067000,None,None,None,0,162000,0,911000,0,0,2637000,2637000,None
2016-12-31,USD,12568000,9036000,1001000,12568000,3532000,2572000,0,0,3532000,0,9036000,None,3532000,4357000,2938000,None,None,None,0,944000,0,960000,-1034000,0,2572000,2572000,None
2016-09-30,USD,12486000,8780000,996000,12486000,3706000,2768000,0,0,3706000,0,8780000,None,3706000,-173000,16000,None,None,None,0,-944000,0,938000,0,0,2768000,2768000,None
2016-06-30,USD,12841000,8812000,980000,12841000,4029000,2982000,0,0,4029000,0,8812000,None,4029000,86000,23000,None,None,None,0,472000,0,1047000,0,0,2982000,2982000,None
2016-03-31,USD,11879000,8509000,957000,11879000,3370000,2547000,0,0,3370000,0,8509000,None,3370000,0,957000,None,None,None,0,0,0,823000,0,0,2547000,2547000,None
2015-12-31,USD,12035000,8209000,940000,12035000,3826000,2852000,0,0,3826000,0,8209000,None,3826000,4070000,2899000,None,None,None,0,472000,0,974000,-1120000,0,2852000,2852000,None
2015-09-30,USD,12048000,8260000,959000,12048000,3788000,2812000,0,0,3788000,0,8260000,None,3788000,0,-30000,None,None,None,0,0,0,976000,0,0,2812000,2812000,None
2015-06-30,USD,12295000,8541000,989000,12295000,3754000,2810000,0,0,3754000,0,8541000,None,3754000,0,19000,None,None,None,0,0,0,944000,0,0,2810000,2810000,None
