fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,728208000,382505000,None,44322000,405257000,290905000,41028000,18642000,48000,-690702000,121510000,None,24830000,40577000,138228000,67478000,67478000,-1223000,141685000,158022000,None,-59554000,25410000,14773000,157288000,32940000,52108000,None,None,48000,None,-690702000,-638000,None,45996000,None,570186000,28173000,157288000,68713000,267029000,None,None,None,983420000,728208000,65987000,None,None
2020-03-31,USD,753827000,390311000,None,44856000,414432000,306674000,49272000,20995000,48000,-673281000,134706000,None,30281000,32417000,70628000,592000,592000,-819000,142500000,168285000,None,-50916000,50477000,14969000,220062000,25566000,49041000,None,None,48000,None,-673281000,-638000,None,52731000,None,585542000,29603000,220062000,74470000,343804000,None,None,None,981364000,753827000,82894000,None,48000000
2019-12-31,USD,799718000,402329000,None,27970000,452337000,310820000,68990000,20448000,48000,-666809000,161248000,0,30299000,62085000,86385000,603000,3814000,-1169000,142527000,201113000,None,-54948000,63754000,22083000,218269000,25221000,65334000,None,None,48000,None,-666809000,-638000,None,53749000,None,598605000,30742000,218269000,78693000,365952000,None,None,None,979388000,799718000,125839000,None,48000000
2019-09-30,USD,879913000,410023000,None,15844000,557741000,281342000,2804000,21394000,48000,-732469000,131286000,0,293000,119908000,91993000,587000,587000,-636000,130585000,314337000,None,-87851000,133636000,17553000,350899000,27396000,70012000,None,None,48000,None,-732469000,-638000,None,24968000,None,565576000,32089000,350899000,112045000,465748000,None,None,None,1015037000,879913000,253544000,None,48000000
2019-06-30,USD,1197462000,418000000,None,12192000,608368000,544837000,3069000,22021000,48000,-468934000,183891000,281467000,294000,147840000,93951000,612000,612000,2617000,113455000,358370000,None,-110373000,149242000,21010000,349017000,28086000,71318000,None,None,48000,None,-468934000,-638000,None,26170000,None,839092000,33410000,349017000,162331000,514417000,None,None,None,1011744000,1197462000,297082000,None,47000000
2019-03-31,USD,1233938000,425777000,None,21970000,620723000,566586000,5401000,24810000,48000,-441448000,197757000,280128000,295000,197660000,97287000,604000,604000,1375000,83032000,417904000,None,-92690000,146157000,20652000,345853000,31465000,71873000,None,None,48000,None,-441448000,-2185000,None,27097000,None,816034000,33913000,345853000,172182000,523436000,None,None,None,1008796000,1233938000,343817000,None,47000000
2018-12-31,USD,1299666000,428570000,None,29578000,665952000,611983000,7483000,13899000,48000,-393843000,204287000,282059000,411000,294096000,140256000,616000,616000,2806000,60519000,528107000,None,-76915000,151989000,23430000,343140000,29014000,125741000,None,None,48000,None,-393843000,-2133000,None,411000,None,771559000,None,343140000,175073000,525696000,None,None,None,1005105000,1299666000,446085000,None,47000000
2018-09-30,USD,1311085000,428575000,None,23023000,688209000,598625000,70656000,7714000,47000,-403439000,235919000,283435000,419000,321376000,135708000,624000,624000,4113000,52061000,546595000,None,-89134000,139935000,51461000,340833000,10800000,127370000,598625000,0,47000,0,-403439000,-1976000,None,419000,None,764490000,None,340833000,141012000,552501000,None,None,None,999880000,1311085000,461311000,None,47000000
2018-06-30,USD,1250616000,428762000,None,17108000,617879000,606635000,37586000,7081000,47000,-389527000,184733000,284100000,678000,243566000,120871000,629000,629000,4799000,42524000,494552000,None,-80125000,148371000,64360000,338377000,21147000,113161000,606635000,0,47000,0,-389527000,-1976000,None,678000,None,756064000,None,338377000,121045000,497008000,None,None,None,993292000,1250616000,391937000,None,47000000
2018-03-31,USD,1187073000,429791000,None,16236000,609289000,549925000,24936000,6536000,47000,-435725000,182662000,289577000,494000,226736000,117358000,663000,663000,9313000,39023000,428188000,None,-141584000,106767000,50787000,337128000,27662000,110159000,549925000,0,47000,0,-435725000,-1591000,None,494000,None,758885000,None,337128000,129867000,491931000,None,None,None,977881000,1187073000,333503000,None,47000000
2017-12-31,USD,1197969000,430603000,None,15316000,648957000,519987000,45857000,15820000,46000,-455108000,177088000,286611000,719602000,307478000,143960000,645000,645000,6858000,36669000,441698000,None,-168202000,410000,81403000,334475000,37501000,127495000,0,968580000,46000,0,-455108000,-389000,None,750000,1638000,756271000,None,334475000,124665000,504997000,None,None,None,968580000,1197969000,307478000,None,46000000
