fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,25127000,3744000,23150000,None,None,0,None,1207000,-17421000,2380000,-20770000,-8276000,14651000,None,0,-7374000,196000,-6289000,1977000,196000,None,2380000
2020-03-31,USD,13288000,-16307000,11043000,13288000,-1578000,-1578000,-981000,-16918000,-6472000,-29314000,-38779000,-23229000,14084000,None,0,-345000,7114000,-13625000,2245000,7114000,None,-29314000
2019-12-31,USD,70010000,-4598000,55998000,89921000,-59869000,-59869000,-4670000,550000,65660000,-15300000,-11429000,-32583000,13076000,None,0,2174000,-4530000,-50628000,14012000,-4530000,None,-15300000
2019-09-30,USD,15868000,-1730000,-3276000,19911000,-55199000,0,-4670000,-3830000,-263535000,-27627000,-24351000,-57171000,13200000,None,0,690000,3457000,280738000,19144000,3457000,None,-27627000
2019-06-30,USD,-2491000,-294000,-35106000,4043000,-55199000,-39000,-4670000,10028000,-27486000,-50036000,-14891000,-5537000,13328000,None,-39000,3380000,-357000,2075000,32615000,-357000,None,-50036000
2019-03-31,USD,6534000,-54373000,-18121000,6534000,-614000,-642000,-4670000,7271000,-47605000,-96259000,-77496000,12535000,9046000,None,-28000,-2451000,2777000,2575000,24655000,2777000,None,-96259000
2018-12-31,USD,-11721000,1982000,-14829000,7672000,-1000,62000,None,-10112000,9595000,-27105000,-12338000,20561000,5656000,None,63000,-18261000,28030000,-59901000,10780000,28030000,None,-27105000
2018-09-30,USD,9258000,11557000,-2710000,-213000,-1000,2251000,None,-3642000,-13911000,77713000,78172000,16529000,5685000,0,2251000,10346000,12900000,35066000,11755000,12900000,None,77713000
2018-06-30,USD,-41604000,1266000,-47747000,-157000,-1000,8975000,None,-65000,46197000,17486000,56258000,-9640000,7322000,0,8975000,6516000,-13574000,18171000,5986000,-13574000,None,17486000
2018-03-31,USD,-106767000,-18241000,-111579000,-5000,-656000,1509000,None,-1497000,-8199000,-81369000,28701000,1891000,7221000,0,2165000,9839000,30616000,5574000,4807000,30616000,None,-81369000
2017-12-31,USD,None,29253000,-49000,3269000,-2409000,54265000,48065000,9072000,-171064000,114407000,60191000,45048000,8985000,0,6200000,2239000,-29112000,173337000,3318000,-27607000,165000,114572000
2017-09-30,USD,-106767000,3111000,-1710000,-87000,-656000,1527000,2722000,-2058000,-25196000,51207000,51390000,-4355000,8314000,0,1527000,4044000,1505000,63652000,1623000,1820000,154000,51361000
2017-06-30,USD,-106767000,-11386000,-3105000,-131000,-184000,-244000,2722000,3052000,-8195000,6971000,10320000,753000,9861000,0,-60000,2140000,3325000,22483000,2974000,-5336000,545000,7516000
2017-03-31,USD,None,-23058000,-5849000,-76000,-2225000,5971000,2722000,-2741000,-18904000,-25279000,-25401000,-5005000,8227000,0,5474000,-2918000,2011000,14246000,5773000,2011000,361000,-24918000
2016-12-31,USD,-1000,28029000,-316000,1242000,-28000,804000,-15000,13286000,-3094000,32963000,32475000,-13232000,8366000,0,-27099000,-2201000,-19965000,17554000,1559000,-2947000,-2366000,30597000
2016-09-30,USD,-6993000,-17605000,-2223000,6899000,-80000,-12915000,None,3991000,-13031000,-9413000,5725000,862000,13017000,-13457000,-12835000,14618000,17018000,10554000,2129000,-2690000,-47000,-9460000
2016-06-30,USD,6993000,15244000,-269556000,-275082000,-1495000,-15162000,None,-1947000,-19478000,-294268000,-9550000,669000,5939000,-14489000,-13667000,-15886000,14328000,8134000,1467000,-4172000,254000,-294014000
2016-03-31,USD,199752000,11973000,198309000,-406000,-25000,73204000,None,10309000,-520000,278210000,6697000,15929000,4444000,0,73229000,-3191000,10156000,-12302000,1037000,-10156000,None,278210000
2015-12-31,USD,32298000,885000,31038000,-364000,-286000,10004000,194000,-5354000,9205000,63367000,22325000,10297000,4853000,0,10096000,10362000,744000,-4361000,896000,289000,None,63367000
2015-09-30,USD,-8981000,-21782000,-10158000,-209000,-90000,1642000,None,None,3941000,13640000,22156000,12793000,4608000,0,1732000,1811000,455000,26684000,968000,-1958000,None,13640000
2015-06-30,USD,11826000,-9744000,9920000,-420000,-15000,1512000,None,None,997000,14682000,3250000,1115000,4668000,0,1527000,-3380000,2413000,9837000,1486000,754000,None,14682000
