fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2021233000,None,None,None,1556107000,465126000,None,None,329000,-32257000,9198000,None,5384000,72987000,None,None,None,None,37693000,None,None,465126000,None,996000,655407000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-03-31,USD,2101355000,None,None,None,1635290000,466065000,None,None,329000,-30953000,12159000,None,5082000,74498000,None,None,50000000,None,37907000,None,None,466065000,None,1010000,654263000,None,691000,None,None,None,None,None,None,None,None,None,None,None,1608547000,None,None,None,None,None,496689000,None,74498000,None,32000000
2019-12-31,USD,1784134000,None,None,379000,1357795000,426339000,None,9546000,283000,2437000,9147000,None,15687000,5256000,363806000,30500000,30500000,None,37901000,1730546000,None,426339000,None,1309000,643314000,None,718000,None,None,None,None,None,None,None,None,None,None,None,1335623000,None,None,None,None,None,423619000,None,5256000,None,29000000
2019-09-30,USD,1674697000,None,None,379000,1248953000,425744000,None,9526000,283000,2324000,9147000,None,55173000,5952000,243543000,58980000,58980000,None,38020000,1581504000,None,425744000,None,1269000,606870000,None,753000,None,None,None,None,None,None,None,None,None,None,None,1226900000,None,None,None,None,None,423137000,None,5952000,None,29000000
2019-06-30,USD,1671447000,None,None,379000,1245690000,425757000,None,9527000,283000,2816000,8246000,None,17001000,5215000,630214000,617524000,None,None,36891000,5594000,1487735000,425757000,None,1413000,606410000,None,820000,None,None,283000,None,2816000,None,None,141227000,None,1665853000,None,1223934000,9066000,615476000,None,None,None,422658000,1671447000,5215000,None,29000000
2019-03-31,USD,1618440000,None,None,379000,1193338000,425102000,None,9520000,283000,2588000,8389000,None,379000,12814000,633328000,621549000,0,None,36814000,13193000,1548158000,425102000,None,1708000,1172288000,None,882000,None,None,283000,None,2588000,None,None,20275000,None,1605247000,None,1172288000,9271000,560010000,None,None,None,422231000,1618440000,12814000,None,29000000
2018-12-31,USD,1603324000,None,None,379000,1177737000,425587000,None,8914000,283000,3565000,8063000,None,14558000,11089000,48898000,777974000,None,None,None,1588766000,1524873000,425587000,None,1577298000,1120776000,None,12077000,None,None,283000,None,3565000,None,None,66983000,None,1591856000,None,379082000,8604000,387686000,None,None,None,421739000,1603324000,11468000,None,29000000
2018-09-30,USD,1731512000,0,None,379000,1307354000,424158000,0,8323000,283000,2460000,4143000,0,11594000,5034000,650622000,912410000,573396000,None,0,1719918000,1658862000,424158000,379000,1714505000,652589000,0,10835000,424158000,421415000,283000,0,2460000,0,None,67237000,None,1726099000,None,379486000,4623000,384109000,None,None,None,421415000,1731512000,5413000,None,29000000
2018-06-30,USD,1817516000,0,None,379000,1395320000,422196000,0,8036000,283000,827000,3736000,0,13751000,5045000,1011747000,1000622000,634143000,None,0,5424000,1746017000,422196000,379000,1798341000,379372000,0,11125000,422196000,421086000,283000,0,827000,0,None,66075000,None,1812092000,None,379372000,4201000,383573000,None,None,None,421086000,1817516000,5424000,None,29000000
2018-03-31,USD,1744155000,0,None,379000,1323441000,420714000,0,8008000,283000,-440000,3805000,0,13313000,5201000,939993000,929454000,592507000,None,0,5580000,1658375000,420714000,379000,1725262000,379190000,0,10539000,0,420871000,283000,0,-440000,0,None,80200000,None,1738575000,None,379190000,4258000,383448000,None,None,None,420871000,1744155000,5580000,None,29000000
2017-12-31,USD,1770219000,0,None,379000,1351049000,419170000,0,8136000,283000,-1750000,6147000,0,14269000,28343000,968310000,957960000,617504000,None,0,28722000,1726283000,419170000,379000,1727228000,378806000,0,10350000,419170000,420637000,283000,0,-1750000,0,None,15214000,None,1741497000,None,378806000,3933000,382739000,None,None,None,420637000,1770219000,28722000,None,29000000
2017-09-30,USD,1587468000,0,None,379000,1166968000,420500000,0,8091000,283000,-211000,5927000,0,14710000,28245000,740512000,730228000,1152950000,None,0,28624000,1543261000,420500000,379000,1544134000,422722000,0,10284000,420500000,420428000,283000,0,-211000,0,None,15583000,None,1558844000,None,422722000,3734000,426456000,None,None,None,420428000,1587468000,28624000,None,29000000
2017-06-30,USD,1662570000,0,None,379000,1245588000,416982000,0,8070000,283000,-3552000,5910000,0,14176000,5723000,820080000,809737000,1231608000,None,0,6102000,1641435000,416982000,379000,1642292000,421871000,0,10343000,416982000,420251000,283000,0,-3552000,0,None,15033000,None,1656468000,None,421871000,3637000,425508000,None,None,None,420251000,1662570000,6102000,None,29000000
2017-03-31,USD,1429000000,0,None,380000,1011110000,417890000,0,8029000,283000,-2547000,5847000,0,11277000,44400000,587051000,576506000,576506000,None,0,44780000,1372078000,417890000,380000,1372943000,420728000,0,10545000,417890000,420154000,283000,0,-2547000,0,None,12142000,None,1384220000,None,420728000,3331000,424059000,None,None,None,420154000,1429000000,44780000,None,28000000
2016-12-31,USD,1373703000,0,None,375000,944030000,419029000,0,7406000,283000,-1310000,6033000,0,11918000,47270000,790818000,780713000,271194000,None,0,47645000,1313937000,419029000,375000,1314140000,149878000,0,10105000,429673000,420056000,283000,0,-1310000,0,None,12121000,None,1326058000,None,149878000,3334000,153212000,None,None,None,420056000,1373703000,47645000,None,29000000
2016-09-30,USD,1565139000,0,None,None,1099871000,418260000,0,7496000,283000,-1969000,6216000,0,10781000,41768000,889111000,879102000,879102000,None,0,42147000,1473920000,418260000,379000,None,207057000,0,10009000,465268000,419946000,283000,0,-1969000,0,None,49072000,None,1522992000,None,207057000,3703000,210760000,None,None,None,419946000,1565139000,42147000,None,29000000
2016-06-30,USD,1332071000,0,None,None,877774000,407291000,0,7542000,283000,-13005000,93577000,0,170545000,17041000,611280000,601794000,601794000,None,0,17041000,1100000000,407291000,11732000,None,174861000,0,9486000,454297000,420013000,283000,0,-13005000,0,None,172063000,None,1272063000,None,174861000,91633000,266494000,None,None,None,420013000,1332071000,17041000,None,28000000
2016-03-31,USD,1422115000,60978000,None,None,968114000,406982000,0,7661000,284000,-14285000,40135000,0,94681000,31796000,625497000,615397000,None,None,0,92774000,1267971000,406982000,25632000,60978000,304921000,0,10100000,0,0,284000,0,-14285000,0,None,61370000,None,1329341000,None,304921000,37696000,342617000,None,None,None,420983000,1422115000,31796000,None,29000000
2015-12-31,USD,1378982000,67800000,None,146334000,922494000,409471000,0,7451000,284000,-11992000,43357000,0,96302000,39375000,532585000,522775000,271543000,None,0,101175000,1205003000,409471000,30380000,61800000,348911000,0,9810000,0,0,284000,0,-11992000,0,None,72804000,None,1277807000,None,348911000,40998000,389909000,None,None,None,421179000,1378982000,39375000,None,29000000
2015-09-30,USD,1502186000,60148000,None,None,1010562000,407573000,0,7152000,284000,-13717000,45317000,0,97377000,37608000,531517000,521676000,None,None,0,97756000,1364004000,407573000,27209000,60148000,436417000,0,9841000,0,0,284000,0,-13717000,0,None,40426000,None,1404430000,None,436417000,42628000,479045000,None,None,None,421006000,1502186000,37608000,None,29000000
2015-06-30,USD,1544838000,60077000,None,None,1055688000,405099000,0,7152000,284000,-15943000,36903000,0,77364000,35040000,570673000,560845000,None,None,0,95117000,1410698000,405099000,26935000,60077000,450788000,0,9828000,0,0,284000,0,-15943000,0,None,39023000,None,1449721000,None,450788000,34227000,485015000,None,None,None,420758000,1544838000,35040000,None,29000000
