fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,80916000,0,80916000,350000,-76222000,-88702000,-1423000,-4412000,9768000,-1890000,5896000,None,224000,-11057000,None,None,None,-1319000,10000,None,None,None
2020-03-31,USD,-273951000,0,-273951000,3538000,272530000,334926000,-1271000,-1688000,-17263000,69242000,8267000,None,221000,-9565000,73232000,None,None,25375000,227000,None,None,None
2019-12-31,USD,-106614000,0,-106614000,2554000,108559000,98342000,-691000,-2409000,9660000,-696000,7576000,None,219000,-9526000,None,None,None,-1509000,100000,None,None,None
2019-09-30,USD,-536000,0,-536000,1824000,2506000,-7268000,-247000,-1026000,9034000,737000,8541000,None,206000,-9527000,None,None,None,-1311000,1334000,None,None,None
2019-06-30,USD,-58291000,0,-58291000,1732000,52130000,41146000,-1464000,-508000,9755000,-7599000,9546000,-1409000,188000,-9520000,None,None,None,-1539000,252000,None,None,-7599000
2019-03-31,USD,-8985000,0,-8985000,-8985000,16248000,3921000,-3413000,-2699000,8543000,1725000,6789000,-1694000,54000,-8914000,None,None,None,-774000,0,None,None,1725000
2018-12-31,USD,139282000,0,139282000,1814000,-134436000,-144157000,-1398000,591000,10019000,6055000,10930000,395000,54000,-8323000,None,None,None,-1083000,0,None,None,6055000
2018-09-30,USD,86283000,0,86283000,1073000,-88212000,-96457000,-209000,654000,9957000,-11000,10163000,906000,54000,-8036000,0,0,0,-1858000,0,None,None,-11000
2018-06-30,USD,-71354000,291000,-71354000,1891000,71168000,62768000,-393000,-1006000,9303000,-156000,8430000,-1297000,-82000,-8007000,0,0,0,215000,0,None,None,-156000
2018-03-31,USD,3713000,316000,3713000,1040000,-28506000,-36550000,-322000,510000,9318000,-23142000,9695000,194000,-367000,-7722000,0,0,0,234000,0,None,None,-23142000
2017-12-31,USD,-255237000,435000,-181337000,73900000,-98600000,174055000,280372000,-1539000,6183000,98000,7380000,-542000,327000,-7717000,0,0,0,977000,0,None,None,98000
2017-09-30,USD,100427000,483000,100427000,0,-79509000,-88757000,-1531000,197000,11058000,22522000,10852000,-286000,-580000,-7717000,0,0,0,177000,0,None,None,22522000
2017-06-30,USD,-268171000,142000,-268171000,0,233231000,222657000,-2883000,-977000,6713000,-38677000,6837000,-1119000,1004000,-7691000,0,0,0,97000,0,None,None,-38677000
2017-03-31,USD,-56687000,-65000,-56687000,0,65689000,47614000,-3031000,-587000,6453000,-2870000,6203000,-587000,279000,-18087000,12000,0,0,98000,0,None,None,-2870000
2016-12-31,USD,199136000,-242000,199136000,96440000,-161782000,-201987000,4221000,43278000,8065000,5502000,8353000,460000,-550000,-44426000,0,0,0,-36000,0,None,None,5502000
2016-09-30,USD,-366032000,4342000,-276053000,89979000,310144000,344745000,43310000,86000,18442000,35457000,-33235000,-1151000,-17000,-8716000,7000,0,0,-59091000,0,None,None,35457000
2016-06-30,USD,93473000,3193000,93460000,-13000,-99116000,-108925000,-4444000,1648000,9981000,147000,15612000,-3087000,613000,-8733000,-1076000,0,0,4912000,0,None,None,147000
2016-03-31,USD,-59524000,-5446000,-59863000,-339000,23410000,39224000,24611000,None,6425000,-2831000,17808000,41280000,636000,-8441000,-356000,0,0,-25087000,0,None,None,-2831000
2015-12-31,USD,61594000,1213000,61080000,-604000,-28362000,-133427000,-58705000,62739000,11052000,-1404000,70943000,-1040000,1580000,-46360000,0,0,0,58138000,0,None,None,-1404000
2015-09-30,USD,10067000,3626000,84664000,74625000,-86130000,-63955000,31659000,None,11710000,2294000,-18415000,-2219000,866000,-9484000,0,0,0,-32398000,28000,None,None,2294000
2015-06-30,USD,-47166000,-2947000,-47172000,112657000,46149000,-51165000,-87837000,None,11263000,-900000,97437000,-663000,902000,-9477000,0,0,0,88882000,6000,None,None,-900000
