fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,84999000,7161000,None,None,35633000,49366000,None,2289000,None,-480710000,4062000,None,229000,32587000,17745000,None,None,15000,6654000,70955000,None,42205000,35528000,775000,10573000,None,5502000,None,None,None,None,None,None,None,4653000,None,14044000,610000,None,6766000,17888000,None,None,None,None,None,None,None,None
2020-03-31,USD,96812000,7180000,None,None,38637000,58175000,None,2659000,None,-469113000,4057000,None,151000,53992000,20603000,None,None,47000,6767000,82714000,None,50995000,25013000,933000,10573000,None,6946000,None,None,None,None,None,None,None,4731000,None,14098000,624000,10573000,6912000,18034000,None,None,None,527241000,None,79005000,None,42000000
2019-12-31,USD,98297000,7199000,None,4966000,28385000,69912000,None,4157000,None,-453527000,2384000,0,92000,35937000,22432000,None,None,-66000,7203000,83803000,None,62713000,39078000,704000,None,None,9917000,None,None,None,None,None,None,None,4825000,None,14494000,637000,21000,5404000,5953000,None,None,None,523505000,None,75015000,None,41000000
2019-09-30,USD,160416000,7217000,None,51180000,75141000,85275000,None,14501000,None,-434933000,2377000,0,93000,29898000,38989000,None,None,-1000,7736000,145370000,None,78058000,61530000,673000,29930000,0,17780000,None,None,None,None,None,None,None,4975000,None,15046000,642000,30089000,5673000,36152000,None,None,None,520209000,None,91428000,None,41000000
2019-06-30,USD,217239000,69781000,None,None,80009000,137230000,None,None,None,-379614000,2370000,0,293000,31654000,42748000,None,None,8000,9271000,137894000,None,67449000,83863000,19370000,29924000,185000,14160000,None,None,None,None,None,None,None,5323000,None,79345000,991000,29924000,6788000,37261000,None,None,None,516836000,None,115517000,None,41000000
2019-03-31,USD,253183000,71459000,None,None,70930000,182253000,None,868000,None,-329738000,1632000,18504000,2381000,34197000,36228000,373000,373000,-49000,4026000,156813000,None,92290000,102558000,15817000,29918000,856000,14574000,None,None,None,None,None,None,None,2381000,None,96370000,868000,29918000,4235000,34702000,None,None,None,512040000,None,136755000,None,41000000
2018-12-31,USD,275566000,72951000,None,6162000,60442000,215124000,None,None,None,-292173000,3186000,18504000,332000,57019000,27342000,None,None,-69000,4280000,179499000,None,123669000,110953000,4861000,29914000,791000,14755000,None,None,None,None,None,None,None,None,None,None,None,29914000,None,None,None,None,None,507366000,None,167972000,None,39000000
2018-09-30,USD,176176000,7292000,None,9171000,29848000,146328000,0,7954000,0,-253622000,7568000,18504000,452000,26590000,22280000,None,None,-116000,4409000,145519000,None,120532000,107681000,1033000,0,1044000,13735000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31000000
2018-06-30,USD,201819000,7311000,None,3360000,27616000,174203000,0,7013000,0,-220882000,7547000,18504000,457000,46035000,20069000,552000,552000,-188000,4375000,171172000,None,148388000,118569000,2182000,0,1026000,12504000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31000000
2018-03-31,USD,220622000,7330000,None,4750000,20150000,200472000,0,100000,0,-189664000,6327000,18504000,341000,54881000,13823000,142000,142000,-328000,2191000,192256000,None,174638000,132096000,529000,0,0,8155000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31000000
2017-12-31,USD,243509000,25853000,None,5883000,18247000,225262000,62000,4798000,0,-159435000,4675000,18504000,41129000,20202000,12762000,142000,142000,-246000,2159000,200221000,14997000,199409000,173655000,481000,261000,0,7822000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28000000
2017-09-30,USD,261391000,25871000,None,5616000,17132000,244259000,0,3510000,0,0,4753000,18504000,26066000,60055000,9993000,None,None,-113000,1203000,0,None,218388000,167793000,658000,0,0,6483000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29000000
2017-06-30,USD,176808000,0,None,5254000,8664000,168144000,0,2521000,0,0,295000,0,119000,32708000,8369000,None,None,-166000,938000,0,None,168144000,137789000,None,0,0,5848000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27000000
2017-03-31,USD,166210000,0,None,3931000,5921000,160289000,0,2033000,0,0,284000,0,8155000,23677000,5637000,None,None,-249000,706000,0,None,160289000,129741000,None,0,0,3604000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000
2016-12-31,USD,176085000,0,None,1334000,6595000,169490000,0,3378000,0,-90912000,372000,0,37048000,30171000,6223000,None,None,-269000,481000,138556000,36912000,169490000,107051000,None,0,0,2845000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000
2016-09-30,USD,86071000,0,None,1548000,4949000,81122000,0,2817000,0,0,358000,0,20000,17796000,4591000,None,None,-54000,461000,0,None,81122000,66246000,None,0,0,1774000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000
2016-06-30,USD,96092000,0,None,1628000,5852000,90240000,0,2198000,0,0,345000,0,20000,31815000,5507000,None,None,1000,434000,0,None,90240000,62195000,None,0,0,3309000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000
2016-03-31,USD,87270000,0,None,1587000,4059000,83211000,0,921000,0,0,330000,0,20000,13131000,3729000,None,None,None,417000,0,None,None,72115000,None,0,0,2808000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000000
2015-12-31,USD,94076000,0,None,1656000,1555000,92521000,0,745000,0,-42833000,372000,0,7192000,9851000,1555000,None,None,-149000,360000,86524000,7170000,92521000,75017000,None,0,0,810000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000
2015-09-30,USD,42087000,None,None,955000,1900000,40187000,None,939000,None,None,3000,None,1966000,25419000,1897000,None,None,None,761000,None,None,None,12986000,None,None,None,958000,None,None,None,78305000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000
2015-06-30,USD,12223000,None,None,591000,1427000,10796000,None,467000,None,None,3000,None,1138000,9853000,1424000,None,None,None,641000,None,None,None,None,None,None,None,957000,None,None,None,38010000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000
