fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-10487000,-1709000,-10487000,None,-72000,-97000,None,-1588000,-11597000,-21405000,-10821000,None,606000,None,None,None,158000,3309000,17000,None,None,None
2020-03-31,USD,13942000,-4317000,13942000,14066000,10893000,10918000,None,2565000,-15586000,18055000,-6805000,None,576000,None,25000,None,4737000,5220000,124000,None,None,None
2019-12-31,USD,56438000,-6210000,56438000,34186000,-30131000,-30009000,None,-9434000,-18594000,6039000,-20390000,None,320000,None,207000,3000,12194000,1029000,266000,None,None,None
2019-09-30,USD,21673000,0,56438000,34186000,-30131000,-70000,None,-9434000,-55319000,-1756000,-23359000,None,1632000,None,85000,-4000,1506000,1029000,822000,None,None,None
2019-06-30,USD,18952000,-386000,18952000,34186000,-120000,-117000,None,5483000,-49876000,-2543000,-21378000,None,2231000,None,3000,671000,-3553000,24052000,241000,None,None,None
2019-03-31,USD,8616000,-197000,8616000,8900000,-120000,-120000,None,10377000,-37565000,-22822000,-31318000,None,2226000,None,None,-65000,-10956000,4862000,284000,None,None,None
2018-12-31,USD,-3238000,1032000,-70506000,10723000,29761000,128183000,-8452000,7350000,-38551000,30429000,-27248000,None,958000,None,100782000,1146000,-3828000,4645000,146000,None,None,None
2018-09-30,USD,10954000,1239000,10394000,0,-164000,19000,-8452000,-4579000,-32740000,-19445000,-29858000,None,384000,0,0,-18000,1149000,4707000,560000,None,None,None
2018-06-30,USD,13638000,4377000,13286000,0,-299000,-299000,-8452000,2171000,-31218000,-8846000,-21833000,None,315000,0,0,-1026000,-1701000,5249000,352000,None,None,None
2018-03-31,USD,56491000,316000,56193000,0,-36000,358000,-8452000,1810000,-30229000,34679000,-21872000,None,222000,0,0,-1026000,-1701000,6009000,298000,None,None,None
2017-12-31,USD,-44810000,5171000,-55692000,0,-78000,100386000,-6043000,-3699000,-68523000,-9969000,-54663000,None,402000,0,0,0,0,12593000,1235000,None,None,None
2017-09-30,USD,-29940000,3116000,-34127000,0,-78000,100464000,-6043000,720000,-45589000,27347000,-36453000,None,0,0,0,0,0,3673000,658000,None,None,None
2017-06-30,USD,-33000,1993000,5730000,0,-78000,19546000,-6043000,-931000,-27397000,9031000,-22739000,None,0,0,0,0,0,3304000,388000,None,None,None
2017-03-31,USD,6151000,-706000,5956000,0,-78000,209000,None,-2597000,-12559000,-6494000,-12659000,None,0,0,0,0,0,3153000,195000,None,None,None
2016-12-31,USD,-61671000,4260000,-61903000,0,-78000,116826000,-7945000,2442000,-48079000,20320000,-34603000,None,120000,0,98158000,0,0,9104000,232000,None,None,None
2016-09-30,USD,-4063000,2905000,15915000,0,None,18561000,None,80000,-36604000,-14019000,-26531000,None,0,0,0,0,0,1618000,170000,None,None,None
2016-06-30,USD,9934000,3846000,20042000,0,None,18548000,None,-41000,-25910000,18684000,-16626000,None,0,0,0,0,0,1354000,106000,None,None,None
2016-03-31,USD,None,2047000,10174000,0,None,0,None,None,-13039000,None,-6894000,None,0,0,0,0,0,None,40000,None,None,None
2015-12-31,USD,-76444000,198000,-76951000,0,-78000,96414000,-6700000,-717000,-20563000,-906000,-20369000,None,90000,0,0,0,0,1180000,507000,None,None,None
2015-09-30,USD,None,82000,None,None,None,38357000,None,None,None,None,None,None,None,None,None,None,None,None,375000,None,None,None
2015-06-30,USD,None,None,5655000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,242000,None,None,None
