fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,2046000,13427000,1389000,657000,-10775000,-11597000,6466000,None,-11570000,None,5572000,None,-11381000,None,None,None,None,None,None,None,None,None,-189000,-27000,-11570000,-11597000,None
2020-03-31,USD,1407000,16913000,1269000,138000,-14930000,-15586000,9444000,None,-15328000,None,6200000,None,-15506000,None,None,None,None,None,-258000,None,None,None,178000,-258000,-15328000,-15586000,None
2019-12-31,USD,1095000,19200000,1027000,68000,-17785000,-18594000,11565000,None,-19448000,None,6608000,None,-18105000,None,None,None,None,None,854000,None,None,None,-1343000,854000,-19448000,-18594000,None
2019-09-30,USD,983000,23295000,826000,157000,-20680000,-55319000,16183000,None,-23138000,None,6286000,None,-22312000,None,None,None,None,None,-32181000,None,None,None,-826000,-32181000,-23138000,-55319000,None
2019-06-30,USD,5865000,37152000,2703000,3162000,-29056000,-49876000,17622000,None,-49876000,None,15167000,None,-31287000,None,None,None,None,None,-16485000,None,None,None,-18589000,-32181000,-49876000,-49876000,None
2019-03-31,USD,1263000,42376000,1207000,56000,-35109000,-37565000,19919000,None,-27281000,None,7464000,None,-27051000,None,None,None,None,None,-10284000,None,None,None,-230000,-32181000,-37565000,-37565000,None
2018-12-31,USD,3669000,42301000,3509000,160000,-38632000,-38551000,19131000,0,-38551000,0,19661000,None,-38632000,0,0,None,None,None,-14994000,0,0,0,81000,-32181000,-38551000,-38551000,None
2018-09-30,USD,1628000,35078000,1193000,435000,-33450000,-32740000,15931000,0,-32740000,0,17954000,None,-33450000,0,0,None,None,None,0,0,0,0,710000,0,-32740000,-32740000,None
2018-06-30,USD,3676000,35654000,1181000,2495000,-31978000,-31218000,13984000,0,-31218000,0,20489000,None,-31978000,0,0,None,None,None,0,0,0,0,760000,0,-31218000,-31218000,None
2018-03-31,USD,1118000,32066000,967000,151000,-30948000,-30229000,13606000,0,-30229000,0,17493000,None,-30948000,0,0,None,None,None,0,0,0,0,719000,0,-30229000,-30229000,None
2017-12-31,USD,999000,111740000,25760000,245000,-35387000,-50331000,13189000,0,-70353000,0,32603000,None,-53161000,0,0,None,None,None,0,0,0,-1830000,1564000,0,-34329000,-34329000,None
2017-09-30,USD,684000,-52435000,18924000,231000,-72471000,-3354000,10864000,0,0,0,0,None,-3461000,0,0,None,None,None,0,0,0,0,0,0,-69592000,-69592000,None
2017-06-30,USD,0,14295000,15040000,0,48500000,-2279000,7965000,0,0,0,0,None,-2365000,0,0,None,None,None,0,0,0,0,0,0,47957000,47957000,None
2017-03-31,USD,0,0,12880000,0,-12559000,-12559000,7772000,0,0,0,0,None,-12930000,0,0,None,None,None,0,0,0,0,0,0,-12559000,-12559000,None
2016-12-31,USD,0,44916000,0,0,-85706000,-37385000,6943000,0,-48079000,0,11587000,None,-34104000,0,0,None,None,None,0,0,0,0,-3281000,0,-88869000,-88869000,None
2016-09-30,USD,0,0,0,0,53661000,2177000,7162000,0,0,0,10780000,None,2177000,0,0,None,None,None,0,0,0,0,0,0,53661000,53661000,None
2016-06-30,USD,0,0,0,0,-12871000,168000,9836000,0,0,0,12962000,None,150000,0,0,None,None,None,0,0,0,0,18000,0,-12871000,-12871000,None
2016-03-31,USD,0,0,0,0,0,-13039000,9535000,0,0,0,9318000,None,-13139000,0,0,None,None,None,0,0,0,0,100000,0,0,0,None
2015-12-31,USD,0,20378000,0,0,-20378000,-20563000,2402000,0,-20563000,0,4769000,None,-20378000,0,0,None,None,None,0,0,0,0,-185000,0,-20563000,-23129000,None
2015-09-30,USD,0,0,0,0,0,0,9407000,0,0,0,10608000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,0,0,0,0,0,0,1793000,0,0,0,2574000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
