fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,67400000,None,None,5608000,127532000,-60132000,None,108945000,80000,-420637000,90686000,None,784000,21789000,16430000,8707000,8707000,None,14488000,48619000,None,-60132000,21897000,195000,17324000,2639000,6788000,None,None,80000,None,-420637000,None,None,784000,None,15272000,4168000,None,3092000,3092000,None,None,None,360425000,67400000,43686000,None,80890185
2020-03-31,USD,77339000,None,None,1654000,132620000,-55281000,None,7915000,80000,-414031000,94345000,None,902000,23886000,15721000,6611000,6611000,None,14670000,58045000,None,-55281000,28839000,1469000,19133000,3099000,7370000,None,None,80000,None,-414031000,None,None,3722000,None,18392000,4429000,19133000,91591000,110724000,None,None,None,358670000,77339000,52725000,None,80415751
2019-12-31,USD,91356000,None,None,1999000,132774000,-41418000,None,22250000,79000,-398106000,95006000,None,1188000,14684000,13611000,4630000,4630000,None,14552000,71688000,None,-41418000,51453000,1445000,20517000,3295000,7248000,None,None,79000,None,-398106000,None,None,3928000,None,18480000,4610000,20517000,98646000,98646000,None,None,None,356609000,91356000,66137000,None,79573101
2019-09-30,USD,104978000,None,None,1693000,133252000,-28274000,None,8749000,79000,-383683000,95854000,None,1335000,21949000,11431000,2083000,2083000,None,13844000,85669000,351000,-28274000,58451000,596000,21924000,2980000,7554000,None,None,79000,None,-383683000,None,None,5114000,None,19309000,4834000,21924000,92942000,114866000,None,None,None,355330000,104978000,80400000,None,79573001
2019-06-30,USD,115112000,None,None,6532000,133531000,-18419000,None,1675000,79000,-370952000,97237000,None,1370000,65071000,8285000,None,None,None,16924000,96818000,None,-18419000,26475000,221000,23770000,2844000,2334000,None,None,79000,None,-370952000,None,None,1019000,None,18294000,4998000,23770000,710000,125246000,None,None,None,352454000,115112000,91546000,None,79000000
2019-03-31,USD,113444000,None,None,7265000,121335000,-7891000,None,1643000,79000,-358540000,97961000,None,1078000,73312000,18945000,10026000,10026000,None,12153000,95345000,None,-7891000,16838000,1473000,4429000,2403000,7276000,None,None,79000,None,-358540000,None,None,1078000,None,12153000,5158000,None,102390000,102390000,None,None,None,350570000,113444000,90150000,None,78856648
2018-12-31,USD,120533000,None,None,1553000,116280000,4253000,3564000,707000,78000,-345019000,96972000,None,1056000,87975000,15928000,8611000,8611000,None,11483000,107994000,None,4253000,17740000,928000,3380000,854000,6610000,None,None,78000,None,-345019000,None,None,None,None,11483000,None,3380000,93408000,100352000,None,None,None,349194000,120533000,105715000,None,78757930
2018-09-30,USD,77744000,0,None,1048000,115531000,-37787000,3669000,92592000,61000,-332461000,95558000,0,736000,57566000,14471000,8372000,8372000,None,11004000,66004000,None,-37787000,5995000,539000,5502000,856000,5396000,0,0,61000,0,-332461000,0,None,385000,351000,11740000,None,5502000,None,9171000,None,None,None,294613000,77744000,63561000,None,61790346
2018-06-30,USD,64620000,0,None,1051000,113586000,-48966000,468000,93088000,53000,-320003000,92834000,0,736000,33273000,13213000,8139000,8139000,None,10923000,52961000,None,-48966000,16849000,1125000,7539000,663000,4352000,0,0,53000,0,-320003000,0,None,385000,351000,11659000,None,7539000,None,8007000,None,None,None,270984000,64620000,50122000,None,53327187
2018-03-31,USD,65813000,0,None,1044000,112693000,-46880000,494000,99766000,51000,-309462000,89946000,0,1088000,43603000,13253000,7920000,7920000,None,11067000,53658000,None,-46880000,7573000,772000,9494000,666000,4513000,0,0,51000,0,-309462000,0,None,385000,703000,12155000,None,None,None,494000,None,None,None,262531000,65813000,51176000,None,50991444
2017-12-31,USD,75552000,0,None,633000,112061000,-36509000,3463000,1344000,51000,-297870000,4048000,0,1088000,52902000,13660000,7727000,7727000,None,11051000,63413000,None,-36509000,7567000,2443000,11369000,956000,4967000,0,0,51000,0,-297870000,0,None,None,None,11051000,None,11369000,83191000,98023000,None,None,None,261310000,75552000,60469000,None,50899154
2017-09-30,USD,82743000,0,None,823000,113052000,-30309000,3820000,833000,49000,-287985000,4667000,0,385000,67936000,14872000,9254000,9254000,None,11287000,71071000,None,-30309000,0,1550000,13151000,969000,4785000,0,0,49000,0,-287985000,0,None,178000,None,11465000,None,13151000,81209000,98180000,None,None,None,257627000,82743000,67936000,None,49641205
2017-06-30,USD,78190000,0,None,1149000,109814000,-31624000,3643000,1039000,45000,-274972000,3931000,0,228000,62148000,13561000,7129000,22020000,None,11193000,66769000,None,-31624000,0,2120000,14891000,1580000,5393000,0,0,45000,0,-274972000,0,None,None,None,11193000,None,14891000,77719000,96253000,None,None,None,243303000,78190000,62148000,None,45380473
2017-03-31,USD,88444000,0,None,1079000,108100000,-19656000,3734000,1466000,45000,-261913000,4343000,0,228000,72510000,12753000,5056000,5056000,-2000,10245000,77971000,None,-19656000,0,2758000,16584000,1852000,6231000,0,0,45000,0,-261913000,0,None,None,None,10245000,None,16584000,75029000,95347000,None,None,None,242214000,88444000,72510000,None,45371351
2016-12-31,USD,99993000,0,None,756000,105330000,-5337000,43000,96222000,45000,-246362000,4279000,0,228000,80488000,10191000,2912000,2912000,3000,10712000,89053000,None,-5337000,0,5833000,90860000,2154000,6153000,0,0,45000,0,-246362000,0,None,50000,None,10762000,None,None,None,43000,None,None,None,240977000,99993000,80488000,None,45333790
2016-09-30,USD,105998000,0,None,1067000,102726000,3272000,4011000,859000,45000,-236680000,5018000,0,228000,92462000,15530000,9180000,9180000,1000,8848000,96922000,None,3272000,0,2059000,12145000,1384000,5491000,0,0,45000,0,-236680000,0,None,178000,None,9026000,None,12145000,71040000,87196000,None,None,None,239906000,105998000,92462000,None,45333790
2016-06-30,USD,113572000,0,None,1237000,100074000,13498000,148000,11833000,45000,-225278000,3866000,0,228000,97978000,21027000,13942000,13942000,6000,7794000,105550000,None,13498000,1000000,4235000,75181000,1328000,5771000,0,0,45000,0,-225278000,0,None,None,None,7794000,None,None,68380000,68528000,None,None,None,238725000,113572000,98978000,None,45312242
2016-03-31,USD,121225000,0,None,1521000,97782000,23443000,2637000,2155000,45000,-214186000,3441000,0,228000,105607000,16804000,9190000,9190000,4000,8203000,112794000,None,23443000,1728000,3256000,11942000,910000,6041000,0,0,45000,0,-214186000,0,None,None,None,8203000,None,11942000,65817000,80396000,None,None,None,237580000,121225000,107335000,None,45312242
2015-12-31,USD,127785000,0,None,1731000,94672000,33113000,838000,2722000,45000,-203205000,2017000,0,228000,107922000,12780000,4541000,4541000,-1000,8610000,118947000,None,33113000,5542000,3286000,16381000,466000,5517000,0,0,45000,0,-203205000,0,None,228000,None,8838000,None,16381000,64673000,81892000,None,None,None,236274000,127785000,113464000,None,45273772
2015-09-30,USD,131560000,0,None,883000,91594000,39966000,634000,3071000,44000,-192659000,1586000,0,228000,95042000,7885000,None,None,2000,8740000,122592000,None,39966000,9291000,17376000,20716000,0,4814000,0,0,44000,0,-192659000,0,None,228000,None,8968000,None,20716000,62359000,83709000,None,None,None,232579000,131560000,104333000,None,45000000
2015-06-30,USD,63560000,0,None,2324000,30169000,33391000,2073000,152000,44000,-197728000,3240000,0,326000,35842000,13306000,9509000,None,1000,9715000,53519000,None,33391000,15353000,None,13623000,0,3645000,0,0,44000,0,-197728000,0,None,326000,None,10041000,None,13623000,1167000,16863000,None,None,None,231074000,63560000,51195000,None,44374509
