fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,7025000,-1423000,6928000,None,None,665000,None,-1198000,-6606000,-2097000,-9690000,-4321000,779000,None,665000,189000,372000,1320000,97000,372000,None,-2097000
2020-03-31,USD,22723000,319000,22650000,22723000,None,916000,-86000,-929000,-15925000,9202000,-14364000,-726000,758000,None,1002000,88000,-135000,1257000,73000,-135000,None,9202000
2019-12-31,USD,7131000,-186000,6889000,-33093000,None,1000,-9054000,476000,-14423000,-7265000,-14155000,-1219000,756000,None,1000,-411000,-188000,1516000,242000,-188000,None,-7265000
2019-09-30,USD,-33206000,197000,-33206000,-40224000,None,1550000,-9054000,702000,-12731000,-43122000,-11466000,-1120000,419000,None,1975000,-991000,-23000,961000,1438000,-23000,None,-43122000
2019-06-30,USD,-10617000,-1110000,-10617000,-8456000,14730000,14695000,-190000,854000,-12412000,-8241000,-12319000,-1018000,406000,None,425000,-441000,0,384000,1132000,None,None,-8241000
2019-03-31,USD,1029000,668000,371000,1029000,-2064000,-1794000,-190000,-2277000,-13674000,-14663000,-13240000,103000,427000,None,270000,-1549000,1305000,957000,658000,-172000,None,-14663000
2018-12-31,USD,-11714000,1013000,-11960000,-10058000,-2007000,51359000,-190000,473000,-12558000,30409000,-8990000,973000,264000,None,53366000,2000,138000,1178000,246000,138000,None,30409000
2018-09-30,USD,10900000,917000,10714000,0,-1949000,19880000,-190000,1045000,-12458000,24293000,-6301000,2820000,287000,0,21829000,-193000,586000,1740000,186000,586000,None,24293000
2018-06-30,USD,-9249000,20000,-9428000,0,-1899000,5508000,None,298000,-10541000,-10330000,-6410000,2801000,307000,0,7407000,3000,-1000,1001000,179000,-1000,None,-10330000
2018-03-31,USD,5000,-570000,-203000,0,-1863000,-1722000,None,-1631000,-11592000,-9299000,-7374000,2359000,330000,0,141000,290000,761000,1048000,208000,761000,None,-9299000
2017-12-31,USD,-7565000,-2000,-7475000,0,-3514000,-883000,-204000,-766000,-9885000,-15034000,-6676000,3259000,561000,0,2631000,-140000,4300000,-279000,90000,-190000,None,-15034000
2017-09-30,USD,-7565000,-634000,-534000,0,-204000,13106000,-204000,-443000,-13013000,5788000,-6784000,3044000,1029000,0,13310000,486000,4490000,1577000,534000,727000,None,5788000
2017-06-30,USD,-7565000,-1228000,-1425000,0,-3514000,11000,-204000,-440000,-13059000,-10184000,-8770000,2631000,939000,0,11000,272000,3763000,1037000,1425000,638000,None,-10184000
2017-03-31,USD,-7565000,511000,-536000,91000,-3514000,93000,-204000,-366000,-15551000,-7978000,-7535000,2171000,480000,0,93000,302000,3125000,1427000,536000,3125000,None,-7978000
2016-12-31,USD,2000,39000,-1837000,877000,-3514000,-26000,-205000,1412000,-9682000,-12152000,-10315000,2715000,507000,0,0,-770000,-2547000,700000,1839000,-3824000,None,-12152000
2016-09-30,USD,995000,-70000,-578000,653000,-205000,-147000,None,118000,-11402000,-5338000,-4613000,2516000,516000,0,58000,-56000,1277000,1707000,1573000,2176000,None,-5338000
2016-06-30,USD,727000,10000,609000,426000,None,121000,None,235000,-11092000,-7629000,-8238000,2559000,520000,0,0,-418000,899000,1162000,118000,-979000,None,-7629000
2016-03-31,USD,3805000,1212000,3615000,0,None,121000,None,162000,-10981000,-2493000,-6229000,2358000,526000,0,121000,-444000,80000,1020000,190000,80000,None,-2493000
2015-12-31,USD,3713000,613000,3379000,0,-4534000,2506000,60969000,-670000,-10546000,12880000,6995000,1102000,515000,0,2506000,-466000,-3286000,1687000,334000,14090000,None,12880000
2015-09-30,USD,6029000,2061000,5801000,0,-2509000,57128000,61184000,None,5069000,59200000,-5510000,1757000,539000,0,234000,0,0,2440000,228000,-17376000,None,59200000
2015-06-30,USD,-85000,-2302000,-463000,0,-2240000,-2150000,None,None,-8896000,-13302000,-10689000,-1382000,536000,0,90000,0,0,1355000,378000,None,None,-13302000
