fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,20142000,None,None,499000,9106000,11036000,None,None,139189000,-131006000,3071000,None,192000,12122000,5979000,None,None,-7579000,2061000,13964000,None,7111000,None,495000,None,None,5900000,None,None,None,None,None,None,None,192000,None,6178000,135000,None,None,3127000,None,None,None,None,None,None,None,None
2020-03-31,USD,22853000,4244000,None,195000,9859000,12994000,None,None,137424000,-126340000,2393000,None,473000,14240000,7395000,None,None,-7887000,2057000,16079000,0,8750000,0,546000,None,None,1713000,None,None,None,None,None,None,None,473000,None,6774000,147000,None,None,2464000,None,None,None,9797000,None,14240000,None,None
2019-12-31,CAD,29763372.04,4441895,None,138562.47,34494400.09,-4731028.04,0,0,163218000,-137622390.47,30758000,0,427000,19657498.07,10947966.35,1449297,1498924.42,265000,2841000,22667595.52,0,-12181000,19904,1191177.93,0,13251.22,9449041.93,0,0,0,0,0,0,0,326884.95,0,7095776.52,0,0,0,23546433.74,0,0,0,7482605,0,19025907,0,87000000
2019-09-30,CAD,28584378.30,4871207,None,49101.07,29845898.17,-1261519.87,0,0,152432000,-123919021,24137000,0,557000,19498413.66,11612781.39,1420429,1449614.75,309000,2934000,20975978.24,0,-8251000,19640.43,960870.22,0,3923.78,10163166.64,0,0,0,0,0,0,0,420758.42,0,7608400.06,0,0,0,18233116.79,0,0,0,7130274,0,19125093,0,83000000
2019-06-30,CAD,29358622.79,5301258,None,49512.49,26641529.56,2717093.24,0,0,130354000,-103367611.21,17484000,0,557000,15936166.97,13323430.83,1381939,1422151.13,309000,2720000,21406916.51,0,-3595000,3415600.24,1406154.78,0,4252.19,11901279.71,0,0,0,0,0,0,0,424283.97,0,7951706.28,0,0,0,13318098.72,0,0,0,6369356,0,18804589,0,79000000
2019-03-31,USD,36896000,6386000,None,183000,25851000,11045000,0,56820.78,110857000,-100827000,16263000,0,417000,16871000,13668000,0,1817000,-7135000,2107000,27966000,27000,6219000,11865000,1189000,0,3730.66,4064000,0,0,0,0,0,0,0,557000,0,11140000,0,0,0,16263000,0,0,0,8150000,0,25759000,0,54000000
2018-12-31,CAD,23518879.75,3281163.24,None,0.01,11446028.27,12072851.47,0,0,50974524.60,-42237239.88,5288574.40,0,233777.46,11390442.06,5461246.46,0,0,121816.59,1185839.12,18818099.93,0,8791688.24,6601749.31,741937.91,696207.41,10249.94,5461246.46,0,0,0,0,0,0,0,0,0,0,0,949487.67,0,0,0,0,0,4382912.48,0,24537750.59,0,71000000
2018-09-30,USD,15547923.82,6949734.62,None,0.02,27118326.57,-11570402.75,0,0.02,62113643.46,-80025757.10,15497970.65,0,462066.81,4658913.52,10282547.61,0,0,241180.14,2370433.97,5745394.94,20293.47,-18520137.37,0,914767.41,1337808.30,20293.47,10282547.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000000
2018-06-30,USD,20411800.39,7193235.25,None,0.02,14694372.82,5717427.57,0,0,60321553.16,-60518731.99,5661307.45,0,448202.64,9752768.09,7771879.27,0,0.02,234339.45,2253905.66,10496738.97,19717.88,-1475807.67,0,468678.90,1261186.11,64462.31,7771879.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000000
2018-03-31,USD,17779756.83,7794470.69,None,244.75,11410981.18,6368775.65,0,1975.55,56793928.60,-56051266.17,4976380.39,0,449934.17,6368001.24,5186246.42,971.80,971.80,239293.73,2184620.15,7350731.82,0,-1425695.04,0,587779.76,1248354.37,80538.99,2648493.77,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17000000
2017-12-31,USD,21861299.32,8486249.50,None,177760.06,9718612.99,12142686.33,0,59784.77,57772020.73,-51206855.32,4491032.28,0,8888800.32,9944200.88,3983260.26,1244320.45,1244320.45,246313.27,2217616.58,10754882.42,0,3656436.83,0,301315.27,1244320.45,331606.22,3983260.26,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000
2017-09-30,USD,15794228.16,8975137.90,None,223838.84,3957950.28,11836277.88,0,54360.86,53268047.01,-46494523.94,40770.65,0,8975137.90,4260132.70,2710848.19,1206331.44,1206331.44,247022.14,2140858.58,4678231.67,0,2861139.98,0,194260.13,1206331.44,0,2656487.33,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000
