fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-36000,-1544000,-36000,None,None,1775000,None,275000,-4666000,-2118000,-4309000,None,548000,None,None,None,None,1007000,36000,None,None,None
2020-03-31,USD,-930569.29,-1204781,-219317,-257506,-1556000,-689433.64,78310,204433,17224718.85,-5047805.10,-2520963.41,None,713134.65,None,14732000,None,None,-18394181,24267.67,None,None,None
2019-12-31,CAD,-205164.32,-832000,-268000,62000,-1556000,7235870.07,-30000,-1562000,-12040389.81,-102582.16,-7040657.75,0,555780.96,0,13488527,0,-20791.96,8483000,252627.71,0,0,0
2019-09-30,CAD,3458226.32,-2460000,4578000,138000,-1556000,6551593.90,-40000,194000,-21410333.89,3694666.87,-6251699.65,0,509895.75,0,6470022,0,36219.58,21058000,13597.22,0,0,0
2019-06-30,CAD,5728214.50,185000,7520000,138000,-1556000,-30469.23,-40000,507000,-8954905.55,-1218769.04,-6976691.04,0,532449.73,0,0,0,-15111.63,1437000,19805,0,0,0
2019-03-31,USD,5148000,2661000,-9442000,-8908000,0,45690000,5480000,-1110000,-39366000,10448000,-24787000,0,384000,0,45690000,0,22096.98,3809000,534000,0,0,0
2018-12-31,CAD,-6591499.37,266892.65,-6630922.21,33115.19,0,19330596.89,-1706220.65,2365.37,-1817393.07,9037292.55,-3928880.55,0,285027.15,0,34876735.75,0,-279902.19,-2385870.46,72538.03,0,0,0
2018-09-30,USD,-13050265.38,2427411.80,-151420.54,49172.65,0,-98345.30,-98345.30,111614.11,-17740399.63,-5378551.36,-5112394.63,0,537777.08,0,0,0,-432407.12,9983609.12,200593.19,0,0,0
2018-06-30,USD,-12680115.27,2449567.72,-204762.63,12892.46,0,7915213.10,-811466.71,84180.19,-5627938.72,3516608.52,-4269679.96,0,518731.99,0,0,0,106931.59,-1801152.74,217655.09,0,0,0
2018-03-31,USD,-12948191.74,1972430.88,-95252.85,3872.07,0,-27878.88,294277.09,48013.63,-6303724.93,-3292805.70,-3377991.17,None,516533.73,0,6902.08,0,-295051.50,683807.02,99124.91,None,None,None
2017-12-31,USD,0,130729.37,-104424.07,31088.08,0,9120765.25,-797.13,-345954.56,-4845755.28,5696293.34,-3548027.10,None,534874.45,0,9457951.38,0,-107612.59,1085691.51,260661.62,None,None,None
2017-09-30,USD,0,1155168.28,-60756.26,23982.73,0,-799.42,-799.42,14389.64,-3603005.84,-1789111.84,-1646814.29,None,533216.08,0,9485170.68,0,-106323.45,359740.99,149492.37,None,None,None
2017-06-30,USD,0,211338.22,-62475.90,12340.92,0,-324720.40,-324720.40,47049.75,-2142691.86,-1700732.74,-1269571.92,None,514462.01,0,9151561.90,0,74045.51,26224.45,74816.81,None,None,None
2017-03-31,USD,6424027.64,244064.45,4775898.75,104005.11,0,4759258.62,-12480.28,171261.17,-7798277.62,4676747.54,-4824434.76,None,1898433.86,0,4771738.90,0,133819.57,526263.80,1752134,None,None,None
2016-12-31,USD,5341703.63,0,5193594.47,109766.18,0,5193594.47,-10525.52,636042.40,-5947673.11,4283136.61,-3526050.67,None,1426208.56,0,3931283.36,0,0,359371.48,1881813.4,None,None,None
2016-09-30,USD,958689.99,69966.51,2665426.13,85597.32,0,-744.32,-744.32,-107927.06,-1784145.89,-803126.16,-1342017.12,None,462225.53,0,8831410.49,0,186825.46,1488.65,1316710.09,None,None,None
2016-06-30,USD,2236380.28,-92324.13,2224935.14,16786.20,0,-2289.03,-2289.03,573783,-1777048.68,1146039.98,-695864.49,None,469250.72,0,0,0,175492.14,87746.07,803448.8,None,None,None
2016-03-31,USD,0,0,394073.62,9164.50,0,0,0,0,0,0,0,None,0,0,0,0,133649,0,391018.79,None,None,None
2015-12-31,USD,6265140.32,-330132.94,6077548.01,16248.15,0,-2215.66,-2215.66,-64992.61,-4665435.75,1267355.98,-4855243.72,None,1768833.09,0,4691740.03,64254.06,336779.91,-1928360.41,203840.47,None,None,None
2015-09-30,USD,0,0,6165531.69,6735.01,0,0,0,0,0,0,0,None,0,0,0,8980.02,333757.39,0,166878.69,None,None,None
2015-06-30,USD,0,0,3412499.05,41866.48,0,0,0,0,0,0,0,None,0,0,0,6089.67,338737.92,0,109614.07,None,None,None
