fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,4121000,None,None,-4118000,-4666000,1756000,None,-4666000,None,2365000,None,-4121000,None,0,None,25000,-96000,None,None,None,None,-449000,None,-4666000,-4666000,None
2020-03-31,USD,0,3661284.62,None,None,17991937.79,17224718.85,1786274.64,None,17224718.85,None,1875009.97,None,-3661284.62,None,54084.29,None,56578.44,-43505.85,None,None,None,None,20929509.32,None,17224718.85,13872781,None
2019-12-31,CAD,0,6013305.06,0,0,-11431786.69,-12040389.81,3879749.21,0,-12040389.81,0,2133555.85,0,-6013305.06,0,52822.16,None,47463.39,-5358.77,0,0,0,0,-6021725.98,0,-12040389.81,-15728000,0
2019-09-30,CAD,0,6530442.67,0,0,-20830941.23,-21410333.89,3962834.26,0,-21410333.89,0,2567608.40,0,-6530442.67,0,69496.90,None,124641.18,55144.28,0,0,0,0,-14935035.50,0,-21410333.89,-28343000,0
2019-06-30,CAD,0,8104052.41,0,0,-8353900.06,-8954905.55,6260664.23,0,-8954905.55,0,1843388.18,0,-8104052.41,0,68555.76,None,105118.83,36563.07,0,0,0,0,-887416.21,0,-8954905.55,-11756000,0
2019-03-31,USD,0,12954000,0,0,-15985000,-39366000,10795000,0,-39366000,0,5033000,0,-34406000,0,90000,None,-4297000,105000,0,0,0,0,-3957000,0,-16806000,-39366000,0
2018-12-31,CAD,0,4222186.49,0,0,-4222186.49,-1817393.07,3767246.89,0,-1817393.07,0,454939.61,0,-4222186.49,0,-36269.01,None,None,None,0,0,0,0,2404793.43,0,-1817393.07,-1817393.07,0
2018-09-30,USD,0,8147049.64,0,0,-8147049.64,-17740399.63,7124570.71,0,-17740399.63,0,1022478.93,0,-8147049.64,0,-71807.68,None,None,None,0,0,0,0,-9593349.98,0,-17740399.63,-17740399.63,0
2018-06-30,USD,0,68329.42,0,0,-7525405.73,-5627938.72,6739723.95,0,-5627938.72,0,785681.78,0,-7525405.73,0,-69012.59,None,None,None,0,0,0,0,1897467.01,0,-5627938.72,-5627938.72,0
2018-03-31,USD,0,5701231.32,0,0,-5701231.32,-6303724.93,4687524.20,0,-6303724.93,0,1013707.12,None,-5701231.32,0,-69697.20,None,None,None,0,0,0,0,-602493.61,0,-6303724.93,-6303724.93,None
2017-12-31,USD,0,5072140.29,0,0,-5072140.29,-5681945,3434834.60,0,-5681945,0,3570346.75,None,-5072140.29,0,74930.25,None,None,None,0,0,0,0,-609804.70,0,-5681945,-5681945,None
2017-09-30,USD,0,-3207290.75,0,0,3207290.75,3059397.23,2707650.49,0,3059397.23,0,2972259.97,None,3207290.75,0,73547.05,None,None,None,0,0,0,0,-147893.52,0,3059397.23,3059397.23,None
2017-06-30,USD,0,2158889.32,0,0,-2158889.32,-2142691.86,1544928.65,0,-2142691.86,0,1644427.30,None,-2158889.32,0,71731.59,None,None,None,0,0,0,0,16197.45,0,-2142691.86,-2142691.86,None
2017-03-31,USD,0,9659500.49,0,0,-3643576.20,-3656461.35,2488776.38,0,-3672293.25,0,2035142.34,None,-3708925.86,0,-26290.09,None,None,None,0,0,0,-16583.04,-11439.95,0,-3656461.35,-3656461.35,None
2016-12-31,USD,0,-1935192.84,0,0,-4086158.94,-4094428.99,1189384.26,0,-4168107.66,0,1430719.49,None,-4020750.32,0,7518.23,None,None,None,0,0,0,-72926.85,-99240.66,0,-4094428.99,-4094428.99,None
2016-09-30,USD,0,-1777446.97,0,0,1777446.97,1682917.75,1269817.64,0,1682917.75,0,1407517.68,None,1777446.97,0,744.32,None,None,None,0,0,0,0,-94529.21,0,1682917.75,1682917.75,None
2016-06-30,USD,0,1869372.81,0,0,-1869372.81,-1777048.68,1233786.05,0,-1777048.68,0,1400885.09,None,-1869372.81,0,1526.02,None,None,None,0,0,0,0,92324.13,0,-1777048.68,-1777048.68,None
2016-03-31,USD,0,0,0,0,0,0,1845883.61,0,0,0,1794715.14,None,0,0,9928.21,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,15509.60,6848596.75,54652.88,0,-6848596.75,-4665435.75,2689069.42,0,-4665435.75,0,889955.69,None,-6848596.75,0,-26587.89,None,None,None,0,0,0,0,2183161,0,-4665435.75,-4665435.75,None
2015-09-30,USD,3741.67,0,1496.67,0,0,0,1623886.85,0,0,0,1522861.63,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,5328.46,0,1522.42,0,0,0,1277308.37,0,0,0,1195859.02,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
