fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,123536000,16376000,None,2438000,64529000,59007000,None,933000,12094000,55247000,49000,4696000,41000,5239000,20613000,267000,None,-2116000,14277000,85708000,None,37935000,None,33720000,35742000,44311000,19413000,None,None,12094000,None,55247000,-14522000,None,2479000,None,37828000,2506000,35742000,4666000,40408000,None,None,None,8304000,123536000,5239000,-17681000,None
2020-03-31,USD,108122000,16668000,None,1926000,52298000,55824000,None,1003000,12094000,52448000,158000,4696000,89000,4272000,13411000,267000,None,-2317000,14097000,69861000,None,34460000,None,27413000,33853000,36250000,12141000,None,None,12094000,None,52448000,-14449000,None,2800000,None,38261000,2768000,33853000,5034000,38887000,None,None,None,8048000,108122000,4272000,-17078000,4000000
2019-12-31,USD,110748853,15792738,None,1578248,55043872,55704981,49284,1047498,12094413,51571420,81586,4696370,88828,6821883,16583105,266667,266667,-1987870,14035544,73146101,None,35215873,None,25484865,33240407,39261105,15268940,None,None,12094413,None,51571420,-14235190,None,3078100,None,37602752,3008494,33240407,5171076,38460767,None,None,None,8262208,110748853,6821883,-16591890,3000000
2019-09-30,USD,114224000,16107000,None,1787000,59200000,55024000,None,920000,12094000,50996000,15000,4696000,202000,5698000,16606000,267000,267000,-2304000,14006000,77090000,None,34221000,None,30635000,41369000,38970000,15419000,None,None,12094000,None,50996000,-14235000,None,2325000,None,37134000,2130000,41369000,1225000,42594000,None,None,None,8473000,114224000,5698000,-16843000,4838071
2019-06-30,USD,117030000,16422000,None,2085000,62228000,54802000,None,987000,12094000,50341000,38000,4696000,202000,1924000,18050000,267000,267000,-2099000,14200000,79086000,None,33684000,None,35462000,42699000,39615000,16796000,None,None,12094000,None,50341000,-14235000,None,2626000,None,37944000,2428000,42699000,1479000,44178000,None,None,None,8701000,117030000,1924000,-16384000,4838071
2019-03-31,USD,110615000,16736000,None,2281000,57747000,52868000,None,1030000,12094000,48074000,36000,4696000,209000,3798000,11343000,267000,267000,-2179000,14423000,71877000,None,31436000,None,25228000,44718000,40570000,10046000,None,None,12094000,None,48074000,-14235000,None,2883000,None,38738000,2680000,44718000,1686000,46404000,None,None,None,9114000,110615000,3798000,-15814000,4838071
2018-12-31,USD,109477786,17044400,None,2149295,57145375,52332411,None,5382000,12094413,47549650,53128,4696370,202255,4409042,13364687,266667,266667,-2057985,14542624,72992137,None,30591641,None,25101663,43727560,41332137,13098020,None,None,12094413,None,47549650,-14235190,None,88902,113353,36485649,None,43727560,53128,43780688,None,None,None,8981523,109477786,4409042,-15267877,4000000
2018-09-30,USD,115183000,16959000,None,2270000,62692000,52491000,0,4684000,12094000,47360000,815000,4696000,606000,4021000,11338000,50539000,50539000,-1861000,14488000,78434000,None,30836000,0,30869000,50539000,41274000,11338000,0,0,12094000,0,47360000,-13870000,None,606000,None,36749000,None,50539000,815000,51354000,None,None,None,8768000,115183000,4021000,-14879000,4838071
2018-06-30,USD,118578000,17268000,None,2525000,66354000,52224000,0,4640000,12094000,46924000,846000,4696000,598000,1894000,17612000,47896000,47896000,-1869000,14576000,81440000,None,30260000,0,34511000,47896000,42510000,17612000,0,0,12094000,0,46924000,-13870000,None,598000,None,37138000,None,47896000,846000,48742000,None,None,None,8945000,118578000,1894000,-14371000,4000000
2018-03-31,USD,107246000,17576000,None,2766000,56754000,50492000,0,3670000,12094000,44860000,857000,4696000,22871000,1065000,11153000,44744000,44744000,-1616000,14158000,70217000,None,28220000,0,24486000,44744000,41900000,11153000,0,0,12094000,0,44860000,-13870000,None,599000,None,37029000,None,44744000,857000,45601000,None,None,None,9024000,107246000,1065000,-14008000,4000000
