fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,123191500,None,None,None,122857700,333800,None,None,1800,-12814000,4897300,None,99654700,1531300,1804500,None,None,-599500,16300,23044000,None,333800,None,3379100,112693400,None,799100,None,None,None,None,None,None,None,None,None,100147500,0,None,None,121053200,None,None,None,None,None,None,None,None
2020-03-31,USD,135922900,None,None,None,122259000,13663900,None,2395400,1800,703700,5520900,None,106830700,3998100,3959100,None,None,-787100,18000,6467800,None,13663900,None,2469700,112062900,None,1563700,None,None,1800,None,703700,-3037300,None,22606400,None,630700,36200,112062900,6237000,118299900,None,None,None,16782800,135922900,3998100,None,1545884
2019-12-31,USD,149595800,None,None,None,126337200,23258600,2529800,4413100,1800,10882100,11016400,None,108886300,3427100,5934600,111638000,111638000,-1370800,62900,4566800,0,23258600,0,1139700,113462900,None,1521500,None,None,1800,None,10882100,-3037300,None,36079800,None,517700,336400,113462900,4409900,120402600,None,None,None,16782800,149595800,3427100,None,1545884
2019-09-30,USD,167020400,None,None,18361100,136903800,30116600,4393100,6034200,1800,17923400,15175400,None,131402800,2058500,7249100,2334600,2334600,-1554100,64700,3495700,0,30116600,0,1437200,120017300,None,1214900,None,None,1800,None,17923400,-3037300,None,32057200,None,454800,496200,120017300,5244300,129654700,None,None,None,16782800,167020400,2058500,None,1545884
2019-06-30,USD,205662100,None,None,9682700,167199100,38463000,6686000,26301900,1800,26154800,40147900,None,168775600,3356700,27171100,2229100,2229100,-1439100,66600,8990100,0,38463000,0,5633400,125645900,None,869200,None,None,1800,None,26154800,-3037300,None,27829800,None,393700,536100,125645900,7696100,140028000,None,None,None,16782800,205662100,3356700,None,1545884
2019-03-31,USD,214113700,None,None,10134800,174561800,39551900,7020400,25796900,1800,26232400,40464700,None,11699900,8045200,27148400,941000,941000,-427800,174379400,13176300,121000,39551900,121000,5131100,132171700,None,1351500,None,None,1800,None,26232400,-3037300,None,26242900,None,315100,573900,132171700,8221300,147413400,None,None,None,16782800,214113700,8045200,None,1545884
2018-12-31,USD,217152200,863300,None,10223300,175864300,41287900,7537100,28527500,1800,27540600,42707200,None,184274800,1542500,30592400,None,None,None,69100,5509700,121000,41287900,None,3967200,131092200,None,2064900,None,None,1800,None,27540600,-3037300,None,27298600,None,254900,None,131092200,6642600,145271900,None,None,None,16782800,217152200,1542500,None,1545884
2018-09-30,USD,227951000,0,None,14511600,184831900,43119100,7159000,27030800,1600,31374200,41718000,0,187092900,6769500,170144700,140247200,129925900,None,187092900,24449100,None,43119100,0,3168000,10321300,0,2866700,0,0,1600,0,31374200,-3036800,None,16409000,None,203501900,None,141104700,7528200,14687200,None,None,None,14780100,227951000,6769500,None,1416699
2018-06-30,USD,245236500,None,None,4736100,197633600,47602900,8503000,30342000,1600,35858000,47044000,None,210592000,4378000,180931600,147642500,136239500,None,210592000,12265700,None,47602900,None,3151600,11403000,None,2947100,None,None,1600,None,35858000,-3036800,None,22378800,None,232970800,None,None,8199000,16702000,None,None,None,14780100,245236500,4378000,None,1416699
2018-03-31,USD,226187900,0,None,4821800,178503900,47684000,12982500,30082400,1600,35939100,43064900,0,188858000,4793100,165521400,133768100,133768100,None,188858000,12773900,None,47684000,0,3159000,133768100,0,1670900,0,0,1600,0,35939100,-3036800,None,24556000,None,213414000,None,None,None,12982500,None,None,None,14780100,226187900,4793100,None,1416699
