fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,512201000,2134000,None,39099000,104616000,407585000,None,5957000,1324000,-513711000,45243000,None,6068000,122359000,38559000,None,None,-8805000,27020000,458087000,None,405451000,296629000,None,None,1521000,32602000,None,None,1324000,None,-513711000,None,None,24960000,None,54114000,23307000,None,66057000,66057000,None,None,None,928777000,512201000,418988000,None,927668946
2020-03-31,USD,285241000,2366000,None,908000,99204000,186037000,None,None,1139000,-483831000,47559000,None,6942000,86429000,29816000,None,None,-9590000,48172000,227761000,None,183671000,110000000,None,None,952000,7066000,None,None,None,None,None,None,None,6942000,None,57480000,24419000,None,585000,69388000,None,None,None,678319000,None,196429000,None,123000000
2019-12-31,USD,181543000,2198000,None,30947000,57905000,123638000,None,4621000,943000,-455664000,598000,None,6999000,50412000,34341000,None,None,-7264000,31068000,120489000,None,121440000,39130000,0,None,1459000,29720000,None,None,943000,None,-455664000,None,None,27788000,None,61054000,25459000,None,23564000,23564000,None,None,None,585623000,181543000,89542000,None,631003568
2019-09-30,USD,208251000,2274000,None,44110000,60568000,147683000,None,5020000,943000,-426300000,568000,None,6803000,39409000,37401000,None,None,-10025000,31641000,146970000,None,145409000,63451000,0,None,1522000,32381000,None,None,943000,None,-426300000,None,None,27366000,None,61281000,24936000,None,23167000,23167000,None,None,None,583065000,208251000,102860000,None,630952736
2019-06-30,USD,239521000,2066000,None,37918000,52530000,186991000,None,5354000,943000,-386998000,571000,None,7093000,34574000,28293000,None,None,-8199000,33722000,175133000,None,184925000,98832000,3809000,None,1755000,22939000,None,None,943000,None,-386998000,None,None,28600000,None,64388000,26004000,None,24237000,24237000,None,None,None,581245000,239521000,133406000,None,630672578
2019-03-31,USD,270440000,1529000,None,32143000,50785000,219655000,None,2217000,940000,-345911000,571000,None,8445000,49917000,23435000,2217000,2217000,-13096000,35703000,200301000,None,218126000,118241000,0,26779000,862000,21218000,None,None,940000,None,-345911000,None,None,32907000,None,70139000,28996000,None,27350000,27350000,None,None,None,577722000,270440000,168158000,None,628294702
2018-12-31,USD,276736000,1473000,None,25769000,29851000,246885000,None,316000,939000,-318499000,5414000,None,8050000,68379000,24437000,None,None,-9763000,36118000,231095000,None,245412000,136755000,192000,None,1087000,24437000,None,None,939000,None,-318499000,None,None,8050000,None,45641000,None,None,5414000,5414000,None,None,None,574208000,276736000,205134000,None,627454270
2018-09-30,USD,309625000,1515000,None,21841000,33470000,276155000,0,1345000,939000,-282326000,3904000,0,8368000,153081000,29566000,None,None,-12813000,38137000,261605000,None,274640000,84652000,2031000,0,1190000,28221000,0,570355000,939000,0,-282326000,0,None,8368000,None,48020000,None,None,3904000,3904000,None,None,None,570355000,309625000,237733000,None,627222076
2018-06-30,USD,211299000,1196000,None,32626000,46197000,165102000,0,16722000,860000,-287568000,3887000,0,8977000,42312000,42310000,None,None,-14419000,39472000,161654000,None,163906000,86716000,18605000,0,2993000,25588000,0,466229000,860000,0,-287568000,0,None,8977000,None,49645000,None,None,3887000,3887000,None,None,None,466229000,211299000,129028000,None,566496400
2018-03-31,USD,247068000,1238000,None,28777000,55806000,191262000,0,27221000,858000,-244063000,3884000,0,8932000,53375000,51922000,None,None,-27136000,41235000,195663000,None,190024000,108459000,5052000,0,3843000,24701000,0,461603000,858000,0,-244063000,0,None,8932000,None,51405000,None,None,3884000,3884000,None,None,None,461603000,247068000,161834000,None,564859960
2017-12-31,USD,281147000,1337000,None,21716000,78163000,202984000,0,38735000,854000,-231630000,3849000,0,10285000,84043000,74314000,None,None,-21641000,40679000,230183000,None,201647000,124218000,206000,0,3760000,35579000,0,0,854000,0,-231630000,0,None,8948000,None,50964000,None,None,3849000,3849000,None,None,None,455401000,281147000,208261000,None,562119334
2017-09-30,USD,301377000,1374000,None,17983000,72392000,228985000,0,42592000,854000,-204367000,3820000,0,7702000,145326000,68572000,None,None,-20055000,39771000,253904000,None,227611000,86532000,4063000,0,0,25980000,0,0,854000,0,-204367000,0,None,6328000,None,47473000,None,None,3820000,3820000,None,None,None,452553000,301377000,231858000,None,562119334
2017-06-30,USD,284279000,1431000,None,34317000,54784000,229495000,20754000,12304000,853000,-203489000,24531000,0,7613000,121998000,30253000,None,None,-16854000,38922000,237744000,None,228064000,80023000,1406000,0,0,17949000,0,0,853000,0,-203489000,0,None,6182000,None,46535000,None,None,3777000,24531000,None,None,None,448985000,284279000,202021000,None,561103126
2017-03-31,USD,265980000,1310000,None,52266000,57654000,208326000,22394000,11625000,801000,-183274000,25742000,0,7956000,170559000,31912000,None,None,-14366000,35092000,222932000,None,207016000,33114000,107000,0,0,20287000,0,0,801000,0,-183274000,0,None,6646000,None,43048000,None,None,3348000,25742000,None,None,None,405165000,265980000,170559000,None,518976430
2016-12-31,USD,234515000,1268000,None,38492000,68373000,166142000,24962000,11392000,683000,-161492000,28103000,0,7865000,158779000,40270000,None,None,-14249000,27899000,198751000,None,164874000,22694000,1480000,0,1192000,28878000,0,0,683000,0,-161492000,0,None,6597000,None,35764000,None,None,3141000,28103000,None,None,None,341200000,234515000,158779000,None,424775092
2016-09-30,USD,222644000,1127000,None,59104000,42640000,180004000,19335000,9514000,682000,-146078000,19335000,0,8014000,140440000,22661000,None,None,-13788000,15086000,199544000,None,178877000,47064000,1000000,0,0,13147000,0,0,682000,0,-146078000,0,None,6887000,None,23100000,None,None,644000,19979000,None,None,None,339188000,222644000,140440000,None,424711900
2016-06-30,USD,239560000,1010000,None,67288000,42569000,196991000,22432000,9940000,682000,-127584000,22432000,0,7934000,150894000,20137000,None,None,-13011000,13444000,218182000,None,195981000,55031000,1000000,0,0,10197000,0,0,682000,0,-127584000,0,None,6924000,None,21378000,None,None,None,22432000,None,None,None,336904000,239560000,150894000,None,424711900
2016-03-31,USD,261560000,1140000,None,74794000,42614000,218946000,22776000,12077000,682000,-105489000,22776000,0,9154000,163766000,19838000,None,None,-10684000,13845000,238561000,None,217806000,62337000,1000,0,0,7761000,0,0,682000,0,-105489000,0,None,8014000,None,22999000,None,None,None,22776000,None,None,None,334437000,261560000,163766000,None,424711900
2015-12-31,USD,290427000,2755000,None,9042000,54240000,236187000,24962000,19897000,627000,-89913000,26503000,None,11949000,193229000,27737000,None,None,-8139000,13155000,263047000,None,234688000,54328000,744000,26490000,None,7840000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2015-09-30,USD,296564000,178000,None,135000,46515000,250049000,None,28437000,642000,None,13422000,None,3171000,216531000,33093000,None,None,None,11546000,None,None,None,54700000,None,None,None,4656000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,71000000
2015-06-30,USD,300716000,178000,None,6782000,41074000,259642000,14885000,24744000,668000,-66913000,14311000,None,178000,229089000,26763000,None,None,-3561000,5393000,295082000,None,258825000,55302000,4000,26490000,None,1980000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53000000
