fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-186482000,6279000,-187005000,-255000,None,248019000,979000,874000,-29880000,36099000,-24915000,-6408000,2156000,None,248019000,None,None,2938000,268000,None,None,36099000
2020-03-31,USD,-71947000,46737000,-71947000,-71603000,None,91444000,-979000,-259000,-28167000,35852000,16857000,None,1891000,None,91444000,None,None,-152000,344000,None,None,None
2019-12-31,USD,24296000,-4100000,23683000,-446000,None,0,-979000,-2918000,-29364000,11155000,-12528000,11621000,2093000,None,366000,None,18639000,3122000,167000,None,None,11155000
2019-09-30,USD,35382000,9519000,35045000,-114000,None,0,-979000,205000,-39302000,5437000,-29608000,6500000,1942000,None,366000,None,-3224000,1252000,223000,None,None,5437000
2019-06-30,USD,19576000,4637000,18561000,-717000,None,330000,-979000,1282000,-41087000,-15277000,-34168000,-4286000,1980000,None,330000,None,-10192000,9225000,298000,None,None,-15277000
2019-03-31,USD,18765000,-2453000,17656000,-205000,None,36000,None,-19000,-27412000,-18511000,-36203000,-9131000,1995000,None,36000,None,-6659000,-1655000,904000,None,None,-18511000
2018-12-31,USD,-52192000,-5390000,-52411000,-132000,None,104000,347000,252000,-36173000,-83992000,-31685000,-6160000,2098000,None,104000,None,-1022000,8550000,87000,None,3335000,-80657000
2018-09-30,USD,2282000,-11371000,942000,-656000,None,100162000,-347000,403000,5242000,111043000,9939000,-3506000,1909000,0,100162000,0,7462000,6294000,684000,None,None,111043000
2018-06-30,USD,21608000,-8283000,20373000,0,None,890000,-347000,210000,-43505000,-14100000,-35363000,-8186000,1920000,0,890000,0,-1423000,14408000,1235000,None,None,-14100000
2018-03-31,USD,15553000,-15879000,13639000,-10000,None,1534000,-347000,-123000,-21078000,-32106000,-47279000,-25018000,1883000,0,1534000,0,-10179000,-3066000,1904000,None,None,-32106000
2017-12-31,USD,-38058000,12439000,-40011000,-101000,None,103568000,-4774000,2115000,-27263000,-61367000,-21356000,2653000,1738000,0,103167000,0,-7346000,1516000,1852000,None,105000,-61262000
2017-09-30,USD,-6412000,10984000,9751000,17766000,None,370000,11354000,70000,-878000,23610000,13489000,12933000,1503000,0,370000,0,0,-69000,1603000,None,2223000,25833000
2017-06-30,USD,-79774000,-1618000,-73184000,15529000,None,41801000,-230000,-537000,-20215000,-49392000,-18009000,1959000,1136000,0,41801000,0,0,-889000,8939000,None,None,-49392000
2017-03-31,USD,-10146000,-8507000,-22637000,-10388000,None,61397000,-4544000,-17000,-21782000,10321000,-28439000,-10337000,1046000,0,61397000,0,0,2634000,12249000,None,None,10321000
2016-12-31,USD,30540000,16808000,16959000,23625000,None,17000,-4774000,2221000,-15414000,19346000,2370000,14163000,874000,0,17000,0,-6533000,2747000,6666000,None,None,23427000
2016-09-30,USD,7836000,1478000,5743000,7673000,None,0,7673000,180000,-18494000,-9623000,-15366000,-35000,818000,0,0,0,0,2345000,1930000,None,-831000,-10454000
2016-06-30,USD,6819000,1386000,5617000,-2898000,None,0,7000000,206000,-22095000,-10876000,-16493000,2682000,849000,0,0,0,0,2071000,4618000,None,-1996000,-12872000
2016-03-31,USD,15988000,None,-10564000,861000,None,0,-9000000,2000000,-15576000,-29243000,-18679000,-4314000,745000,0,0,0,0,466000,1708000,None,-1254000,-30497000
2015-12-31,USD,-28594000,11037000,-41427000,-7134000,None,175989000,-13387000,-4736000,-39513000,97107000,-31607000,None,1541000,None,189376000,None,-9232000,9227000,9235000,None,None,None
2015-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6814000,None,None,None
2015-06-30,USD,-53879000,-7622000,-58837000,122000,None,274771000,-18336000,-4736000,-22058000,177867000,-29666000,None,705000,None,189376000,None,-7812000,7091000,4902000,None,None,None
