fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,502000,30755000,None,502000,-29855000,-29880000,20460000,None,-29855000,None,10295000,398000,-30253000,None,None,25000,1147000,1147000,None,None,None,25000,-749000,None,-29880000,-29880000,None
2020-03-31,USD,761000,30525000,None,None,-27873000,-28167000,21264000,None,-28097000,None,9261000,None,-29764000,None,None,70000,730000,730000,None,None,None,70000,937000,None,-28167000,-28167000,None
2019-12-31,USD,728000,31083000,20354000,728000,-29276000,-29364000,20354000,None,-29276000,None,10729000,1079000,-30355000,None,None,88000,448000,448000,None,None,None,88000,631000,None,-29364000,-29364000,None
2019-09-30,USD,237000,40358000,29617000,237000,-39215000,-39302000,29617000,None,-39215000,None,10741000,906000,-40121000,None,None,87000,615000,615000,None,None,None,87000,291000,None,-39302000,-39302000,None
2019-06-30,USD,157000,35659000,25511000,157000,-41022000,-41087000,25511000,None,-41022000,None,10148000,-5520000,-35502000,None,None,65000,757000,757000,None,None,None,65000,-6277000,None,-41087000,-41087000,None
2019-03-31,USD,0,33792000,22019000,-22019000,-27410000,-27412000,22019000,None,-27410000,None,11773000,6382000,-33792000,None,None,2000,6342000,952000,None,None,None,2000,5430000,None,-27412000,-27412000,None
2018-12-31,USD,1479000,33245000,22769000,1479000,-35698000,-35833000,22429000,0,-35698000,0,10816000,-3932000,-31766000,0,0,135000,None,None,0,0,0,135000,-3932000,0,-35833000,-35833000,None
2018-09-30,USD,40792000,33774000,23484000,40792000,5375000,5242000,23484000,0,5375000,0,10290000,-1643000,7018000,0,0,None,None,None,0,0,0,133000,-1643000,0,5242000,5242000,None
2018-06-30,USD,9038000,37915000,35995000,9038000,-43743000,-43845000,26624000,0,-43743000,0,11291000,-14866000,-28877000,0,0,None,None,None,0,0,0,102000,-14866000,0,-43845000,-43845000,None
2018-03-31,USD,8196000,36936000,34713000,8196000,-20951000,-21078000,25732000,0,-20951000,0,11204000,7789000,-28740000,0,0,None,None,None,0,0,0,127000,7789000,0,-21078000,-21078000,None
2017-12-31,USD,4270000,33970000,32038000,4270000,-27207000,-27263000,25148000,0,-27433000,0,8822000,2493000,-29700000,0,-8000,None,None,None,0,0,0,-170000,10974000,0,-27263000,-27263000,None
2017-09-30,USD,27185000,32145000,30642000,27185000,-645000,-878000,24034000,0,-653000,0,8111000,4315000,-4960000,0,8000,None,None,None,0,0,0,225000,0,0,-878000,-878000,None
2017-06-30,USD,3521000,27301000,26165000,3521000,-20044000,-20215000,19591000,0,-20050000,0,7710000,3736000,-23780000,0,6000,None,None,None,0,0,0,165000,0,0,-20215000,-20215000,None
2017-03-31,USD,2857000,25078000,24032000,2857000,-21791000,-21782000,18615000,0,-21551000,0,6463000,430000,-22221000,0,-240000,None,None,None,0,0,0,231000,0,0,-21782000,-21782000,None
2016-12-31,USD,8536000,23192000,22196000,8536000,-15249000,-15414000,18072000,0,-14978000,0,5120000,-593000,-14656000,0,-271000,None,None,None,0,0,0,436000,2112000,0,-15414000,-15414000,None
2016-09-30,USD,2416000,21034000,20216000,2416000,-18679000,-18494000,15610000,0,-18390000,0,5424000,-61000,-18618000,0,-289000,None,None,None,0,0,0,104000,1308000,0,-18494000,-18494000,None
2016-06-30,USD,328000,23028000,22179000,328000,-22093000,-22095000,16219000,0,-21802000,0,6809000,607000,-22700000,0,-291000,None,None,None,0,0,0,293000,-2616000,0,-22095000,-22095000,None
2016-03-31,USD,2918000,19743000,18998000,2918000,-15776000,-15576000,13888000,0,-15517000,0,5855000,1049000,-16825000,0,-259000,None,None,None,0,0,0,59000,1308000,0,-15576000,-15576000,None
2015-12-31,USD,4179000,57614000,19475000,14490000,-43124000,-39513000,14422000,0,-39370000,0,17762000,None,-43124000,0,0,None,None,None,0,0,0,143000,3754000,0,-39513000,-48176000,None
2015-09-30,USD,3930000,-34512000,14248000,-9871000,24641000,22058000,9860000,0,21814000,0,-10375000,None,24641000,0,0,None,None,None,0,0,0,-244000,-2827000,0,22058000,36793000,None
2015-06-30,USD,6919000,34512000,21903000,9871000,-24641000,-22058000,14321000,0,-21814000,0,10375000,None,-24641000,0,0,None,None,None,0,0,0,244000,2827000,0,-22058000,-36793000,None
