fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-05-31,USD,21603000000,1535000000,None,932000000,10722000000,10881000000,247000000,3406000000,None,16428000000,946000000,10695000000,848000000,3044000000,5164000000,None,None,-195000000,1387000000,6649000000,None,-1349000000,1307000000,1366000000,4114000000,None,1758000000,None,None,None,None,16428000000,-12244000000,None,1106000000,None,231000000,583000000,4114000000,1197000000,5558000000,None,None,None,6892000000,21603000000,4351000000,None,480000000
2020-02-29,USD,21214000000,1626000000,None,895000000,10749000000,10465000000,173000000,3573000000,None,15390000000,894000000,10691000000,598000000,2688000000,5228000000,None,None,-189000000,1340000000,6455000000,None,-1852000000,1483000000,1389000000,4113000000,None,1655000000,None,None,None,None,15390000000,-11401000000,None,1102000000,None,14759000000,598000000,4113000000,1235000000,5521000000,None,None,None,6665000000,21214000000,4171000000,None,483000000
2019-11-30,USD,20762400000,1720565000,None,783140000,10232245000,10530155000,263225000,3377986000,61000,14828562000,1052383000,10691199000,562696000,2650221000,8190938000,3149343000,3149343000,-188034000,1293015000,6494925000,None,-1881609000,1526755000,1534809000,988924000,None,1663609000,None,None,61000,None,14828562000,-10615234000,None,562696000,None,14267475000,None,988924000,789158000,2041307000,None,None,None,6504800000,20762400000,4176976000,None,482339000
2019-08-31,USD,20054880000,1815625000,None,727611000,9812107000,10242773000,265151000,3120186000,61000,13976701000,1020241000,10688068000,557080000,2209047000,7802966000,3148587000,3148587000,-193949000,1244011000,5750096000,None,-2260920000,1441741000,1371697000,988429000,None,1534193000,None,None,61000,None,13976701000,-9874652000,None,557080000,None,14304784000,None,988429000,755561000,2009141000,None,None,None,6334612000,20054880000,3650788000,None,484903000
2019-05-31,USD,19665909000,1917149000,None,590998000,9734216000,9931693000,256408000,3011552000,61000,13183938000,1056217000,10697874000,503221000,2082910000,7687097000,3145668000,3145668000,-144364000,1205020000,5342645000,None,-2683330000,1396069000,1272668000,987938000,None,1529877000,None,None,61000,None,13183938000,-9158742000,None,503221000,None,14323264000,None,987938000,802773000,2047119000,None,None,None,6050800000,19665909000,3478979000,None,486273000
2019-02-28,USD,19505536000,2017103000,None,565115000,9634051000,9871485000,260013000,3083839000,61000,12579311000,1077204000,10707715000,542938000,1738846000,5313736000,892754000,892754000,-150432000,1104065000,5133715000,None,-2853333000,1487411000,1342343000,3236833000,None,1337143000,None,None,61000,None,12579311000,-8414895000,None,542938000,None,14371821000,None,3236833000,823469000,4320315000,None,None,None,5857440000,19505536000,3226257000,None,488504000
2018-11-30,USD,18768682000,2069001000,None,312499000,9406568000,9362114000,184332000,2915974000,61000,11815597000,970898000,10581048000,186522000,1642775000,4301126000,None,None,-148130000,1075072000,4857039000,None,-3287935000,1586187000,1315578000,4134544000,None,1385152000,None,None,61000,None,11815597000,-7990751000,None,186522000,None,13911643000,None,4124800000,796310000,5105442000,None,None,None,5685337000,18768682000,3228962000,None,487663000
2018-08-31,USD,15395620000,669476000,None,311936000,6533695000,8861925000,92182000,2615192000,61000,11137357000,856702000,7136853000,269118000,1747144000,3792027000,1884966000,1884966000,-128048000,1019260000,6300913000,None,1055596000,3197326000,1044507000,1874654000,0,1176835000,0,0,61000,0,11137357000,-7696767000,None,183821000,None,85297000,None,1874654000,774832000,2741668000,None,None,None,5549322000,15395620000,4944470000,None,489007000
2018-05-31,USD,15163404000,320478000,None,332503000,6457821000,8705583000,90805000,2543462000,61000,10471066000,844732000,5823792000,284204000,2987986000,3728956000,1884133000,1884133000,-129230000,993486000,7741444000,None,2561313000,3346078000,1074877000,1874057000,0,1185494000,0,0,61000,0,10471066000,-6990489000,None,166234000,None,117970000,None,1874057000,764003000,2728865000,None,None,None,5354175000,15163404000,6334064000,None,490435000
2018-02-28,USD,14973485000,353740000,None,270154000,6339457000,8634028000,88460000,2483744000,61000,9830399000,928194000,5843899000,6500997000,2666981000,3536469000,1883311000,1883311000,-109939000,991674000,7480814000,None,2436389000,3480989000,1062690000,1874794000,0,1052725000,0,0,61000,0,9830399000,-6295081000,None,153648000,None,149710000,None,1874794000,839734000,2802988000,None,None,None,5208588000,14973485000,6147970000,None,492880000
