fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-05-31,USD,3128000000,1697000000,415000000,2713000000,1028000000,1100000000,532000000,None,1000000000,None,1125000000,12000000,1016000000,40000000,28000000,-100000000,11000000,-17000000,None,None,None,-100000000,1000000,None,1100000000,1100000000,None
2020-02-29,USD,3091000000,1702000000,452000000,2639000000,952000000,955000000,532000000,None,919000000,None,1128000000,15000000,937000000,42000000,33000000,-36000000,19000000,-14000000,None,None,None,-36000000,-4000000,None,955000000,955000000,None
2019-11-30,USD,2991945000,1570030000,451983000,2539962000,993662000,851861000,499806000,None,957147000,None,1027526000,23730000,969932000,42698000,36515000,105286000,18212000,-18303000,-2955000,None,None,105286000,5518000,None,851861000,851861000,None
2019-08-31,USD,2834126000,1564351000,415963000,2418163000,874017000,792763000,489827000,None,834488000,None,1031570000,20205000,853812000,42954000,39529000,41725000,17760000,-21769000,None,None,None,41725000,2445000,None,792763000,792763000,None
2019-05-31,USD,2744280000,1587245000,407488000,2336792000,751349000,632593000,475958000,None,710772000,None,1068261000,1802000,749547000,43026000,40577000,78179000,16278000,-24299000,None,None,None,78179000,-14476000,None,632593000,632593000,None
2019-02-28,USD,2600946000,1508830000,397286000,2203660000,742927000,674241000,464637000,None,702334000,None,997627000,48097000,694830000,46566000,40593000,28093000,16071000,-24522000,None,None,None,28093000,32026000,None,674241000,674241000,None
2018-11-30,USD,2464625000,1384818000,359261000,2105364000,727090000,678240000,415958000,0,699217000,0,935928000,6544000,720546000,32932000,27873000,None,None,None,0,0,0,20977000,-21329000,0,678240000,678240000,None
2018-08-31,USD,2291076000,1276978000,295492000,1995584000,722465000,666291000,398957000,0,701358000,0,854147000,3859000,718606000,23874000,21107000,None,None,None,0,0,0,35067000,-17248000,0,666291000,666291000,None
2018-05-31,USD,2195360000,1215532000,281344000,1914016000,711162000,663167000,374128000,0,690799000,0,824255000,12678000,698484000,17149000,20363000,None,None,None,0,0,0,27632000,-7685000,0,663167000,663167000,None
2018-02-28,USD,2078947000,1117312000,258902000,1820045000,722401000,583076000,348769000,0,702502000,0,751397000,19668000,702733000,17146000,19899000,None,None,None,0,0,0,119426000,-231000,0,583076000,583076000,None
2017-11-30,USD,2006595000,1086383000,270872000,1735723000,662128000,501549000,324026000,0,643012000,0,743671000,12788000,649340000,18686000,19116000,None,None,None,0,0,0,141463000,-26159000,0,501549000,501549000,None
2017-08-31,USD,1841074000,1032478000,262922000,1578152000,560188000,419569000,315555000,0,541379000,0,697495000,14514000,545674000,19428000,18809000,None,None,None,0,0,0,121810000,7169000,0,419569000,419569000,None
2017-05-31,USD,1772190000,1028748000,239360000,1532830000,510965000,374390000,299401000,0,492618000,0,710027000,6883000,504082000,19320000,18347000,None,None,None,0,0,0,118228000,-3097000,0,374390000,374390000,None
2017-02-28,USD,1681646000,975310000,237337000,1444309000,478762000,398446000,285077000,0,460632000,0,671105000,9763000,468999000,19128000,18130000,None,None,None,0,0,0,62186000,-8367000,0,398446000,398446000,None
2016-11-30,USD,1608419000,919583000,216556000,1391863000,474218000,399613000,257849000,0,456700000,0,643519000,1938000,472280000,18500000,17518000,None,None,None,0,-285000,0,57087000,-29989000,0,399613000,399613000,None
2016-08-31,USD,1463967000,891941000,202701000,1261266000,373582000,270788000,248450000,0,356301000,0,621177000,4257000,369325000,22652000,17281000,None,None,None,0,-338000,0,85513000,-29517000,0,270788000,270788000,None
2016-05-31,USD,1398709000,852391000,202079000,1196630000,347004000,244074000,232484000,0,329830000,0,601385000,2765000,344239000,18988000,17174000,None,None,None,0,-466000,0,85756000,16493000,0,244074000,244074000,None
2016-02-29,USD,1383335000,877005000,198572000,1184763000,310776000,254307000,237204000,0,292307000,0,621826000,3018000,307758000,18394000,18469000,None,None,None,0,-419000,0,38000000,-15451000,0,254307000,254307000,None
2015-11-30,USD,1306404000,814609000,201361000,1105043000,313455000,222705000,220514000,0,296940000,0,575524000,23021000,290434000,18050000,16515000,None,None,None,0,521000,0,74235000,-15914000,0,222705000,222705000,None
2015-08-31,USD,1217768000,780764000,190985000,1026783000,249138000,174465000,218660000,0,232619000,0,544609000,3119000,246019000,18246000,16519000,None,None,None,0,-751000,0,58154000,-757000,0,174465000,174465000,None
2015-05-31,USD,1162158000,783368000,185173000,976985000,197579000,147493000,208047000,0,180974000,0,557206000,3962000,193617000,18081000,16605000,None,None,None,0,34000,0,33481000,-2866000,0,147493000,147493000,None
