fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,3111642000,368812000,None,None,925666000,2184101000,368812000,None,5000,-69595000,27091000,None,382431000,29341000,112607000,None,None,-41544000,2643131000,63337000,None,1815289000,None,33996000,780040000,None,112607000,None,None,5000,None,-69595000,None,None,36362000,None,3048305000,None,780040000,33019000,813059000,None,None,None,2295235000,3111642000,29341000,None,53851092
2020-03-31,USD,2908945000,354685000,None,None,1151933000,1755086000,354685000,None,5000,-62542000,22115000,None,367748000,72091000,344193000,242000000,None,-39291000,2397615000,99838000,None,1400401000,None,27747000,780399000,7795000,102193000,None,None,5000,None,-62542000,None,None,56807000,None,2809107000,None,780399000,27341000,807740000,None,None,None,1856914000,2908945000,72091000,None,47002109
2019-12-31,USD,2664530000,343514000,None,30304000,972968000,1689331000,343514000,29882000,5000,-57094000,21800000,None,357223000,15603000,163001000,89000000,None,-6492000,2218592000,42411000,None,1345817000,None,26808000,783299000,3750000,74001000,None,None,5000,None,-57094000,None,None,60013000,None,2622119000,None,783299000,26668000,809967000,None,None,None,1752912000,2664530000,15603000,None,45573623
2019-09-30,USD,2523321000,335840000,None,9377000,1032907000,1488219000,335840000,25564000,4000,-54841000,26121000,None,343968000,9353000,324997000,248000000,None,-13068000,2118928000,34848000,None,1152379000,None,25495000,680578000,7928000,76997000,None,None,4000,None,-54841000,None,None,33705000,None,2488473000,None,680578000,27332000,707910000,None,None,None,1556124000,2523321000,9353000,None,42412827
2019-06-30,USD,2304443000,307303000,None,18983000,836520000,1465639000,307303000,26451000,4000,-51298000,25576000,None,16909000,5520000,126819000,54000000,None,-5711000,1918718000,30434000,None,1158336000,None,24914000,681793000,2074000,72819000,None,None,4000,None,-51298000,None,None,47988000,None,2274009000,None,681793000,27908000,709701000,None,None,None,1522644000,2304443000,5520000,None,41967282
2019-03-31,USD,2150337000,289928000,None,3024000,860915000,1287066000,289928000,24932000,4000,-45940000,24476000,None,320524000,22325000,132378000,71000000,None,-1950000,1780769000,46020000,None,997138000,None,23695000,700664000,None,61378000,None,None,4000,None,-45940000,None,None,33620000,None,2104317000,None,700664000,27873000,728537000,None,None,None,1334952000,2150337000,22325000,None,38454782
2018-12-31,USD,2028189000,280153000,None,20000,789703000,1236075000,5102000,25444000,4000,-42945000,28039000,None,288794000,53955000,54839000,19132000,None,1424000,1661334000,75502000,2539000,955922000,None,21547000,702544000,None,35707000,None,None,4000,None,-42945000,None,None,4883000,None,3778000,None,702544000,27218000,734864000,None,None,None,1277592000,2028189000,53955000,None,37545790
2018-09-30,USD,1748634000,270606000,None,2803000,680256000,1065871000,1554000,19951000,3000,-35317000,28141000,0,279794000,16811000,47704000,14102000,None,4506000,1424828000,36693000,5883000,795265000,1436000,19882000,603370000,0,33602000,0,1096679000,3000,0,-35317000,0,None,6775000,None,3849000,None,603370000,27628000,632552000,None,None,None,1096679000,1748634000,16811000,None,34481545
2018-06-30,USD,1612161000,235776000,None,12257000,702037000,907604000,2320000,19072000,3000,-32284000,27447000,0,243441000,8986000,193361000,166102000,645205000,4057000,1324218000,28183000,16319000,671828000,0,19197000,479248000,0,27259000,0,935828000,3000,0,-32284000,0,None,5200000,None,2465000,None,479248000,27108000,508676000,None,None,None,935828000,1612161000,8986000,None,31033259
2018-03-31,USD,1527247000,208663000,None,16570000,614384000,910309000,2185000,19044000,3000,-28449000,29330000,0,1498196000,2230000,104756000,76097000,555907000,3274000,1271569000,20177000,10966000,701646000,8874000,17947000,479920000,0,28659000,0,935481000,3000,0,-28449000,0,None,13248000,None,2624000,None,479920000,27523000,509628000,None,None,None,935481000,1527247000,2230000,None,31033259
