fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-262531000,3890000,-262531000,18017000,-242524000,167692000,-495000,-485000,25424000,-55756000,39083000,-501000,19711000,-26677000,436893000,None,-6841000,-2600000,280548000,-6841000,None,-55756000
2020-03-31,USD,-206609000,-9056000,-206609000,24194000,149922000,227896000,-276000,50000,21370000,49983000,28696000,33000,18264000,-24811000,102785000,None,-1284000,-631000,230803000,-1284000,None,49983000
2019-12-31,USD,-119337000,5517000,-119337000,30832000,-58897000,112528000,-3343000,-2197000,22743000,31355000,38164000,-2211000,17043000,-24155000,195580000,None,-1603000,-3325000,150169000,-1603000,None,31355000
2019-09-30,USD,-243468000,-4248000,-243468000,7642000,192569000,200897000,-330000,1010000,20782000,-11627000,30944000,1010000,15594000,-23922000,32250000,None,-631000,-1563000,251110000,-631000,None,-11627000
2019-06-30,USD,-166063000,2396000,-166063000,16845000,-36081000,129051000,-469000,206000,18722000,-2920000,34092000,1008000,14386000,-21342000,186474000,None,-1689000,-731000,182908000,-1689000,None,-2920000
2019-03-31,USD,-138651000,-3059000,-138651000,9734000,51102000,86518000,-229000,-1169000,18516000,-28626000,23507000,-1169000,13465000,-20838000,56254000,None,-2148000,-2098000,148385000,-2148000,None,-28626000
2018-12-31,USD,None,3433000,-257489000,5646000,102893000,264222000,-1444000,2574000,13338000,35728000,28995000,501000,12242000,-18620000,179949000,None,-1733000,1214000,263135000,-1733000,None,35728000
2018-09-30,USD,None,3715000,-132577000,28472000,-28398000,114624000,-316000,-977000,15756000,9261000,27214000,-181000,11449000,-16758000,159780000,0,-979000,-2546000,161049000,-979000,None,9261000
2018-06-30,USD,None,-1894000,-93850000,10341000,89165000,72508000,-187000,-54000,13068000,-2118000,19224000,-830000,10791000,-16138000,-519000,0,-1326000,-585000,104191000,-1326000,None,-2118000
2018-03-31,USD,-104245000,-2362000,-84201000,20034000,36179000,18709000,-182000,-604000,16636000,-47678000,17814000,82000,10271000,-16122000,-1348000,0,-2817000,-3996000,104235000,-2817000,None,-47678000
2017-12-31,USD,-363442000,4466000,-85793000,8709000,13042000,84072000,-1004000,1649000,16671000,25297000,27018000,593000,9045000,-14234000,85264000,0,-4216000,-3733000,94502000,-24000,None,25297000
2017-09-30,USD,-70067000,1594000,-64326000,5646000,51049000,65144000,-330000,71000,12283000,21337000,20519000,-472000,8472000,-14462000,28557000,0,0,51000,69972000,-1409000,None,21337000
2017-06-30,USD,-141843000,723000,-130131000,11652000,18222000,112909000,-173000,311000,15068000,1873000,19095000,766000,7948000,-12978000,107665000,0,0,-4235000,141783000,-1175000,None,1873000
2017-03-31,USD,-57006000,-302000,-46824000,9793000,14227000,158000,-176000,-440000,14768000,-31095000,15571000,-440000,7266000,-12952000,-1117000,0,0,-4113000,56617000,-1608000,None,-31095000
2016-12-31,USD,-326473000,-519000,-62887000,6783000,-35682000,56598000,-3205000,1203000,12906000,21904000,28193000,12016000,6703000,-11632000,103912000,0,-4117000,-2000000,69670000,-913000,None,21904000
2016-09-30,USD,-62663000,2496480,-47592287,14944038,47702000,48202002,None,-11936000,14263000,7456000,6846293,-11935048,6329695,-11512636,12012924,0,0,-3873000,62536325,-648156,None,7456008
2016-06-30,USD,-154373403,-1733168,-147346036,6545390,37235567,137508480,None,-396952,10828329,323207,10160763,-397335,5838950,-9812376,110085289,0,0,-2209006,153891426,-2167007,None,323207
2016-03-31,USD,None,3101688,-39728677,-39428,32662719,24193518,None,None,7586325,999785,16534944,272383,5255355,-9757988,1288787,0,0,708030,39689249,-388837,None,999785
2015-12-31,USD,-230907000,-307844,-63786582,15020,-9670998,34848772,-1682000,36000,7927182,-18668239,10269571,-668724,3997349,-8944755,53464525,0,-2911000,601029,63801602,-1279421,None,-18668239
2015-09-30,USD,None,1016617,-22584472,19315623,11258159,27888757,None,None,14876263,18509224,13204939,696738,5164223,-8556534,25187132,0,0,-8103227,41900095,-445675,None,18509224
2015-06-30,USD,None,554213,-56844598,7759572,33971597,39596572,None,None,10464829,-5048631,12199395,593973,4291841,-8077604,13702579,0,0,-2935364,64604170,-770097,None,-5048631
