fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,57535000,23507000,4840000,52695000,34163000,25258000,None,None,25684000,166000,4587000,4975000,29188000,17792000,8479000,260000,-8479000,-8479000,None,1128000,None,260000,3847000,None,25424000,25258000,None
2020-03-31,USD,55809000,21453000,4702000,51107000,31299000,21229000,None,None,21630000,141000,4658000,1645000,29654000,16795000,9669000,260000,-9669000,-9669000,None,None,None,260000,1645000,None,21370000,21229000,None
2019-12-31,USD,52135000,20901000,2765000,49370000,32802000,22559000,None,None,23073000,185000,3624000,4333000,28469000,17277000,9729000,328000,-9731000,-9731000,None,None,None,329000,4333000,None,22744000,22559000,None
2019-09-30,USD,48075000,17681000,3674000,44401000,29317000,20611000,None,None,20965000,170000,3832000,2597000,26720000,13849000,8352000,184000,-8352000,-8352000,None,None,None,184000,2597000,None,20781000,20611000,None
2019-06-30,USD,44920000,17777000,3720000,41200000,26372000,18564000,None,None,18917000,158000,3880000,2949000,23423000,12704000,7455000,195000,-7455000,-7455000,None,1193000,None,195000,1756000,None,18722000,18564000,None
2019-03-31,USD,42348000,14510000,5361000,36987000,25904000,18347000,None,None,18346000,169000,4230000,3427000,22477000,9864000,7558000,-170000,None,-7558000,None,416000,None,-170000,3011000,None,18516000,18347000,None
2018-12-31,USD,40609000,15928000,4541000,36068000,18720000,13212000,0,0,11812000,126000,3305000,231000,18489000,11955000,6908000,None,None,None,0,668000,0,125000,-7344000,0,11687000,13212000,None
2018-09-30,USD,37306000,14787000,4070000,33236000,22907000,15586000,0,0,16369000,170000,3119000,3970000,18937000,11180000,6538000,None,None,None,0,488000,0,125000,-3056000,0,16244000,15586000,None
2018-06-30,USD,35711000,15083000,3862000,31849000,20408000,12923000,0,0,14447000,145000,3361000,2479000,17929000,10559000,5961000,None,None,None,0,1163000,0,216000,-4645000,0,14231000,12923000,None
2018-03-31,USD,34569000,13029000,3893000,30676000,22151000,16451000,0,0,16686000,185000,3025000,4504000,17647000,10004000,5465000,None,None,None,0,0,0,50000,-961000,0,16636000,16451000,None
2017-12-31,USD,31528000,11245000,3183000,28345000,21594000,16496000,0,0,16672000,176000,2450000,4494000,17100000,8795000,4922000,None,None,None,0,0,0,-37000,-3397000,0,16672000,16496000,None
2017-09-30,USD,30387000,10882000,3080000,27307000,16949000,12165000,0,0,12283000,118000,2654000,524000,16425000,8228000,4666000,None,None,None,0,0,0,37000,0,0,12283000,12165000,None
2017-06-30,USD,28080000,10436000,2946000,25134000,19478000,14876000,0,0,15067000,191000,2732000,4780000,14698000,7704000,4411000,None,None,None,0,0,0,207000,0,0,15067000,14876000,None
2017-03-31,USD,26560000,9791000,2605000,23955000,18906000,14575000,0,0,14768000,193000,2766000,4742000,14164000,7025000,4138000,None,None,None,0,0,0,122000,0,0,14768000,14575000,None
2016-12-31,USD,25298322,8577383,2238833,23059489,17013203,12732837,0,0,12906349,173512,2071334,2531097,14482106,6506049,4106854,None,None,None,0,0,0,149000,-5712000,0,13352081,12732837,None
2016-09-30,USD,24161000,8334000,1642000,22519000,18567000,14263000,0,0,14476000,213000,2019000,4382000,14185000,6151000,4105000,None,None,None,0,0,0,229000,0,0,14247000,14263000,None
2016-06-30,USD,21843820,7870065,2366477,19477343,14325181,10661330,0,0,10828326,166996,2205364,2717903,11607278,5664701,3496855,None,None,None,0,0,0,139801,0,0,10688525,10661330,None
2016-03-31,USD,20223858,7293552,1695690,18528168,11234616,7460833,0,0,7586325,125492,2208302,None,11234616,5085250,3648291,None,None,None,0,0,0,76931,0,0,7509394,7460833,None
2015-12-31,USD,19153547,5260040,2019742,17133805,11874230,7790430,0,0,7927176,136746,1970830,465,11873765,3289210,3947054,None,None,None,0,0,0,0,-351000,0,7927176,7790430,None
2015-09-30,USD,17849812,7468509,1139981,16709831,17840583,14595463,0,0,14876264,280801,1942608,8599261,9241322,5525901,2964319,None,None,None,0,0,0,-8000,0,0,14876264,14595463,None
2015-06-30,USD,17219451,5998490,1279064,15940387,13398103,10263597,0,0,10464834,201237,1881308,3456206,9941897,4117182,2933269,None,None,None,0,0,0,8000,0,0,10464834,10263597,None
