fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,44949000,None,None,-125556000,-126557000,25950000,None,-126453000,None,18999000,None,-44949000,None,897000,104000,195000,-702000,None,None,None,104000,-80802000,None,-126557000,-126557000,None
2020-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,102000,None,None,None,-85016500,None
2019-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,191500,None,None,None,-33313000,None
2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,191500,None,None,None,-33313000,None
2019-06-30,USD,2340000,26582000,23286000,-22116000,-25412000,-49858000,21760000,None,-49659000,None,6592000,None,-50824000,None,-36500,199000,1165000,623000,None,None,None,99500,582500,None,-24929000,-24929000,None
2019-03-31,USD,1170000,26582000,23286000,-22116000,-25412000,-24929000,None,None,-24829500,None,3296000,None,-25412000,None,-36500,None,None,None,None,None,None,99500,582500,None,-24929000,-24929000,None
2018-12-31,USD,1140000,None,None,None,None,-123096000,None,None,-122872000,None,8768000,None,-125941000,None,None,224000,3069000,None,None,None,None,None,None,None,None,-123096000,None
2018-06-30,USD,625000,31937500,29953000,-29640500,-31625000,-61828000,None,None,-61680000,None,3969000,None,-63477000,None,-36500,148000,1797000,None,None,None,None,74000,785000,None,-30914000,-61828000,None
2018-03-31,USD,312500,31937500,29953000,-29640500,-31625000,-30914000,None,None,-30840000,None,1984500,None,-31625000,None,-36500,None,None,None,None,None,None,74000,785000,None,-30914000,-30914000,None
2010-09-30,USD,312600000,None,184600000,None,None,10600000,20300000,None,14600000,700000,96400000,None,16500000,None,6900000,None,None,None,None,None,None,3000000,None,None,None,10900000,None
2010-06-30,USD,304400000,None,176200000,None,None,75800000,16200000,None,77700000,None,88000000,None,25000000,None,6900000,None,None,None,None,None,None,1900000,None,None,None,75900000,None
2010-03-31,USD,274000000,None,158500000,None,None,None,16900000,None,None,500000,86700000,None,13200000,None,6900000,None,None,None,None,None,None,800000,None,None,None,None,None
2009-12-31,USD,265600000,None,157900000,None,None,None,16300000,None,5000000,200000,86900000,None,5200000,None,6700000,None,None,None,None,None,None,1400000,None,None,None,3400000,None
2009-07-31,USD,283400000,None,168500000,None,None,None,17300000,None,6000000,None,80200000,None,18500000,None,6600000,None,None,None,None,None,None,400000,None,None,None,5600000,None
2009-04-30,USD,275100000,None,167000000,None,None,None,18400000,None,None,None,84500000,None,5600000,None,6700000,None,None,None,None,None,None,1400000,None,None,None,None,None
2009-01-31,USD,254300000,None,154600000,None,None,None,19000000,None,None,None,90900000,None,None,None,8000000,None,None,None,None,None,None,None,None,None,None,None,None
2008-10-31,USD,352300000,None,220600000,None,None,None,20500000,None,None,None,99800000,None,11000000,None,6900000,None,None,None,None,None,None,None,None,None,None,None,None
2008-07-31,USD,381800000,None,230300000,None,None,15100000,21700000,None,16300000,None,104700000,None,25900000,None,7600000,None,None,None,None,None,None,2900000,None,None,None,13400000,None
2008-04-30,USD,393200000,None,231300000,None,None,16300000,21800000,None,17900000,None,106700000,None,34800000,None,8100000,None,None,None,None,None,None,1900000,None,None,None,16000000,None
2008-01-31,USD,329100000,None,188600000,None,None,None,19500000,None,None,None,101200000,None,19200000,None,5600000,None,None,None,None,None,None,1500000,None,None,None,None,None
2007-10-31,USD,329500000,None,204700000,None,None,None,17500000,None,None,None,83600000,None,24100000,None,4000000,None,None,None,None,None,None,None,None,None,None,None,None
