fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,133330000,2293000,None,1341000,54228000,79102000,None,528000,23000,27039000,2862000,None,12786000,16733000,39292000,None,25583000,None,34044000,60575000,23632000,76809000,None,5319000,10120000,16084000,7174000,None,None,None,None,None,None,None,10338000,None,72755000,3979000,None,58000,14936000,None,None,None,None,None,None,None,None
2020-03-31,USD,160183000,3973000,None,1241000,58403000,101780000,None,1030000,23000,50853000,2823000,None,23509000,12188000,38976000,None,24192000,None,59763000,42074000,30864000,97807000,None,5641000,14189000,13595000,8458000,None,None,None,None,None,-47692000,None,10202000,None,118109000,4557000,14189000,71000,19427000,None,None,None,98596000,None,12188000,None,18000000
2019-12-31,USD,173799000,4169000,None,1896000,65507000,108292000,None,1038000,23000,57336000,2950000,None,24266000,12080000,39313000,23932000,23932000,None,58609000,47048000,39707000,104123000,None,7430000,20434000,15460000,8046000,None,None,None,None,None,-47533000,None,10171000,None,126751000,5192000,20434000,229000,26194000,None,None,None,98466000,None,12080000,None,18000000
2019-09-30,USD,178728000,4300000,None,1682000,71428000,107300000,None,923000,23000,54237000,2730000,None,23445000,15155000,39090000,24072000,24072000,None,57025000,49295000,44663000,103000000,None,6771000,26276000,16917000,6838000,None,None,None,None,None,-44666000,None,8999000,None,129433000,5937000,26276000,190000,32338000,None,None,None,97706000,None,15155000,None,18000000
2019-06-30,USD,187072000,4501000,None,1724000,79311000,107761000,None,922000,23000,54955000,2625000,None,29135000,15420000,39658000,24025000,24025000,None,55870000,48611000,48955000,103260000,None,5606000,34204000,17798000,6631000,None,None,None,None,None,-44571000,None,9001000,None,138461000,5549000,34204000,135000,39653000,None,None,None,97354000,None,15420000,None,18000000
2019-03-31,USD,193811000,4608000,None,1507000,87895000,105916000,None,762000,23000,51504000,769000,None,37711000,20670000,39825000,24166000,24166000,None,48653000,56219000,46620000,101308000,None,7772000,43999000,18053000,4785000,None,None,None,None,None,-42433000,None,9152000,None,137592000,6306000,43999000,85000,48070000,None,None,None,96822000,None,20670000,None,18000000
2018-12-31,USD,159664000,4830000,None,4337000,91717000,67947000,None,1252000,23000,12914000,940000,None,42644000,18577000,40719000,22318000,22318000,None,45228000,59776000,7186000,63117000,None,13838000,43640000,21791000,6235000,None,None,None,None,None,-41740000,None,None,None,None,None,50058000,None,None,None,None,None,96750000,None,18577000,None,20000000
2018-09-30,USD,83156000,889000,None,2183000,3552000,79604000,0,627000,23000,10896000,295000,0,36637000,31914000,3257000,None,None,None,229000,39466000,5935000,78715000,0,4921000,0,13000,660000,0,0,0,0,0,-27566000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000000
2018-06-30,USD,84872000,863000,None,1582000,4252000,80620000,0,1100000,23000,10425000,293000,0,39145000,32179000,3959000,None,None,None,269000,39000000,5595000,79757000,0,4610000,0,61000,1323000,0,0,0,0,0,-25508000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000000
2018-03-31,USD,82842000,826000,None,192000,5537000,77305000,0,2020000,23000,-4866000,265000,0,36814000,34757000,5272000,None,None,None,337000,41159000,3706000,76479000,0,5611000,0,122000,1297000,0,0,0,0,0,-18039000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000
2017-12-31,USD,82618000,805000,None,1761000,9163000,73455000,17775000,5671000,22000,-15478000,2285000,0,45320000,30693000,6878000,None,None,None,410000,36888000,4903000,72650000,0,4360000,0,74000,1000000,73455000,105308000,22000,0,-15478000,-16397000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000
2017-09-30,USD,89131000,788000,None,1759000,14523000,74608000,0,9895000,22000,-22463000,2247000,0,55672000,26823000,12276000,None,None,None,443000,33016000,None,73820000,0,4434000,0,0,1317000,0,0,0,0,0,-13024000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000
2017-06-30,USD,94157000,758000,None,1736000,20481000,73676000,0,14800000,22000,-28255000,3310000,0,58756000,26373000,17171000,None,None,None,468000,34933000,None,72918000,3000000,3824000,0,0,1617000,0,0,0,0,0,-12973000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2017-03-31,USD,104775000,735000,None,1736000,19494000,85281000,0,13166000,22000,-34663000,4552000,0,61848000,28442000,14942000,None,None,None,504000,42423000,None,85281000,8536000,3709000,0,0,1202000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2016-12-31,USD,107296000,696000,None,1341000,31131000,76165000,47915000,21547000,22000,-43351000,7420000,0,67653000,13208000,23711000,None,None,None,735000,38908000,4975000,75469000,13736000,10607000,0,41000,1920000,76165000,119494000,22000,0,-43351000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2016-09-30,USD,40543000,673000,None,881000,40834000,-291000,0,25645000,22000,-119181000,11857000,0,11877000,7603000,28977000,None,None,None,1062000,27604000,None,-291000,4019000,14434000,0,1717000,2337000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2016-06-30,USD,36608000,635000,None,1594000,47099000,-10491000,0,26424000,22000,-128793000,16829000,0,16271000,2221000,30270000,None,None,None,1218000,19119000,None,-10491000,4469000,10648000,0,1441000,3263000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2016-03-31,USD,41583000,1949000,None,1505000,61644000,0,0,23007000,22000,0,21793000,0,22147000,5469000,39851000,None,None,None,1894000,0,None,None,1414000,None,0,1006000,5923000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2015-12-31,USD,60775000,1941000,None,2117000,85753000,-24978000,0,28208000,22000,-141029000,23346000,0,34020000,9265000,48895000,1837000,1837000,None,2040000,24715000,20008000,-26919000,728000,12416000,13512000,2326000,6174000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2015-09-30,USD,65305000,0,None,3358000,87951000,0,0,37078000,22000,0,26254000,0,35435000,8585000,47675000,None,None,None,3411000,0,None,None,727000,None,14022000,2402000,8929000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
2015-06-30,USD,76497000,0,None,2709000,91093000,0,0,36175000,22000,0,29363000,0,39059000,10413000,48014000,None,None,None,4076000,0,None,None,2527000,None,13716000,6830000,10227000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
