fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-07-31,USD,1456136000,1005182000,483558000,972578000,620406000,362665000,260794000,None,373029000,None,153753000,None,450954000,None,45914000,10364000,504000,-45410000,None,None,None,10364000,-32515000,None,362665000,362665000,None
2020-04-30,USD,1317060000,502654000,470386000,846674000,345046000,267696000,252413000,None,295061000,None,141775000,1026000,344020000,107146000,49985000,27365000,1334000,-48651000,None,1320000,None,27365000,-1628000,None,267696000,267696000,None
2020-01-31,USD,1303565000,574714000,455423000,848142000,275030000,203874000,257073000,None,226217000,None,199280000,1602000,273428000,107225000,48813000,22343000,1940000,-46873000,-5100000,11136000,None,22343000,-11474000,None,203874000,203874000,None
2019-10-31,USD,1443219000,1040070000,501028000,942191000,543766000,277694000,277018000,None,287827000,None,154799000,None,403149000,None,50775000,10133000,1988000,-48787000,None,None,None,10133000,-66535000,None,277694000,277215000,None
2019-07-31,USD,1480143000,551085000,482332000,997811000,449429000,362374000,280102000,None,389558000,None,162825000,2703000,446726000,107231000,59871000,27184000,2625000,-57246000,None,927000,None,27184000,-849000,None,362374000,362374000,None
2019-04-30,USD,1526602000,564397000,492510000,1034092000,468098000,367937000,285846000,None,408397000,None,163128000,-1597000,469695000,107261000,59701000,40460000,2928000,-56773000,None,8162000,None,40460000,-12687000,None,367937000,367937000,None
2019-01-31,USD,1541101000,583830000,501445000,1039656000,458674000,355006000,287382000,None,399946000,None,167342000,2848000,455826000,107324000,58728000,37440000,None,None,-7500000,21782000,None,44940000,-21622000,None,355006000,355006000,None
2018-10-31,USD,1596586000,580282000,502932000,1093654000,516624000,432965000,295699000,0,457522000,0,175396000,3252000,513372000,107345000,59102000,None,None,None,0,1842000,0,24557000,-57692000,0,432965000,432965000,None
2018-07-31,USD,1572679000,571607000,502033000,1070646000,502259000,414464000,291642000,0,440594000,0,171487000,3220000,499039000,107409000,61665000,None,None,None,0,1069000,0,26130000,-59514000,0,414464000,414464000,None
2018-04-30,USD,1513053000,569836000,479241000,1033812000,466339000,379831000,289472000,0,401547000,0,172146000,2363000,463976000,107129000,64792000,None,None,None,0,1089000,0,21716000,-63518000,0,379831000,379831000,None
2018-01-31,USD,1518624000,629842000,483434000,1035190000,406884000,268172000,288597000,0,338854000,0,176908000,1536000,405348000,107019000,68030000,None,None,None,0,57318000,0,70682000,-123812000,0,268172000,268172000,None
2017-10-31,USD,1541170000,557815000,535145000,1006025000,445181000,347650000,273746000,0,381664000,0,185721000,-3029000,448210000,98348000,63517000,None,None,None,0,15710000,0,34014000,-614307000,0,347650000,347650000,None
2017-07-31,USD,1433902000,571803000,667278000,766624000,199871000,68916000,275670000,0,126798000,0,183980000,5050000,194821000,112153000,73073000,None,None,None,0,124824000,0,57882000,-8902000,0,68916000,68916000,None
2017-04-30,USD,1147982000,494608000,507539000,640443000,158350000,93564000,235232000,0,86714000,0,190686000,12515000,145835000,68690000,71636000,None,None,None,0,-140534000,0,-6850000,-26162000,0,93564000,93564000,None
2017-01-31,USD,984449000,382236000,335945000,648504000,275923000,217129000,183954000,0,233309000,0,130659000,9655000,266268000,18160000,42614000,None,None,None,0,49463000,0,16180000,-32959000,0,217129000,217129000,None
2016-10-31,USD,1003623000,309706000,336936000,666687000,362198000,296157000,172926000,0,323434000,0,118881000,5217000,363032000,17899000,38764000,None,None,None,0,5273000,0,27277000,-72568000,0,296157000,296157000,None
2016-07-31,USD,869591000,303583000,297301000,572290000,274876000,230430000,163227000,0,256400000,0,122909000,6169000,268707000,17447000,18476000,None,None,None,0,-5273000,0,25970000,13030000,0,230430000,230430000,None
2016-04-30,USD,778766000,303524000,267863000,510903000,213365000,170573000,160235000,0,194910000,0,112186000,5986000,221087000,17419000,18455000,None,None,None,0,13684000,0,24337000,-25337000,0,170573000,170573000,None
2016-01-31,USD,769429000,282248000,292136000,477293000,195239000,164504000,157428000,0,182177000,0,107462000,194000,195045000,17358000,13062000,None,None,None,0,0,0,17673000,0,0,164504000,164504000,None
2015-10-31,USD,978722000,533166000,336926000,641796000,111416000,96305000,170736000,0,104677000,0,345072000,2786000,108630000,17358000,6739000,None,None,None,0,13684000,0,8372000,-14936000,0,96305000,96305000,None
2015-07-31,USD,863365000,303768000,294328000,569037000,266233000,216478000,160784000,0,259478000,0,120030000,964000,270195000,22954000,6755000,None,None,None,0,0,0,43000000,-1972000,0,216478000,216478000,None
