fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,9474858,None,None,None,681894,8792964,None,None,13449,-24714722,None,None,None,8623673,681894,None,None,None,None,9468970,None,8787076,None,None,None,None,442375,None,None,None,None,None,None,None,None,None,5888,None,None,None,0,None,None,None,None,None,None,None,None
2020-03-31,USD,5941236,6030,None,None,389829,5551407,None,None,10629,-22903612,None,None,None,4951631,389829,None,None,None,None,5935207,None,5545378,None,None,None,None,196382,None,None,None,None,None,None,None,6029,None,6029,None,None,None,0,None,None,None,28444390,None,4951630,None,10000000
2019-12-31,USD,7679637,6170,None,536916,539051,7140586,None,None,10368,-20626799,None,None,None,6777052,539051,None,None,None,None,7673467,None,7134416,None,None,None,None,190204,None,None,None,None,None,None,None,6170,None,6170,None,None,None,0,None,None,None,27757020,None,6777050,None,10000000
2019-09-30,USD,9506926,6311,None,460055,776946,8729980,None,8808,10295,-18568311,None,None,None,8529681,776946,None,None,None,None,9500615,None,8723669,None,None,None,None,475086,None,None,None,None,None,None,None,6311,None,6311,None,None,None,0,None,None,None,27288000,None,8529680,None,10000000
2019-06-30,USD,10687369,6452,None,271687,626553,10060816,None,None,10242,-16852428,None,None,None,10254023,626553,None,None,None,None,10680917,None,10054364,None,None,None,None,626553,None,None,None,None,None,None,None,6452,None,6452,None,None,None,0,None,None,None,26903000,None,10254020,None,10000000
2019-03-31,USD,12059930,6590,None,379670,329190,11730740,None,None,10170,-14718020,None,None,None,11394240,329190,None,None,None,None,12053340,None,11724144,None,None,None,None,329192,None,None,None,None,None,None,None,6593,None,6593,None,None,None,0,None,None,None,26438590,None,11394240,None,8000000
2018-12-31,USD,4699285,6735,None,505960,257974,4441311,None,None,6863,-12035370,None,None,None,3869043,257974,None,None,None,None,4692550,None,4434576,None,None,None,None,257974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16469820,None,3869040,None,5000000
2018-09-30,USD,5252174,6875,None,429000,322806,4929368,0,None,6556,-10766222,None,0,7000,4816705,322806,None,None,None,0,5245299,None,4922493,0,None,0,0,184203,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000
2018-06-30,USD,187087,7017,None,30000,1480604,-1293517,0,38998,3560,-2575298,None,0,7000,150026,1480604,998017,998017,None,0,180070,None,-1300534,0,None,0,0,403589,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000
2018-03-31,USD,80124,7157,None,9000,1387466,-1307342,None,38998,3268,-782942,None,None,7000,53967,1387466,969327,969327,-527668,None,72967,None,-1314499,None,10000,None,None,329141,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000
2017-12-31,USD,35000,8000,None,9000,1032000,-997553,None,1000,3000,-403992,None,None,8000,18000,1032000,689265,689265,-596829,None,27248,None,-1004851,None,None,None,None,342000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
