fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,None,245993,None,None,None,4657215,None,184351,-1811110,3672042,-985173,None,141,None,None,None,None,395452,0,None,None,None
2020-03-31,USD,None,6178,None,None,None,0,None,-125560,-2276813,-1825421,-1825421,None,141,None,None,None,None,570633,0,None,None,None
2019-12-31,USD,None,-428439,None,None,None,109,-1050576,265063,-2058488,-1752629,-1752738,None,141,None,9246620,None,None,468985,0,None,None,None
2019-09-30,USD,None,150393,None,None,None,178,-1050576,-544040,-1715883,-1724342,-1724520,None,141,None,9246510,None,None,384869,0,None,None,None
2019-06-30,USD,None,297361,None,None,None,26,-1050576,232198,-2134407,-1140221,-1140247,None,141,None,9246340,None,None,464460,0,None,None,None
2019-03-31,USD,None,71218,None,None,None,9246310,-1050576,164415,-2682650,7525200,-1721110,None,142,None,9246310,None,None,725767,0,None,None,None
2018-12-31,USD,None,43216,None,None,-75000,156250,-1053774,-394913,-1269148,-947662,-1103912,None,140,None,6424180,None,None,330395,0,None,None,None
2018-09-30,USD,None,-217777,35117,0,-610000,5657932,-1053774,-398550,-8190924,4666679,-991253,None,142,0,0,0,0,7710574,0,None,None,None
2018-06-30,USD,None,64448,35117,0,284999,284999,-1053774,-21044,-1792356,96059,-188940,None,140,0,0,0,0,1531181,0,None,None,None
2018-03-31,USD,None,75305,None,None,250001,250001,-1053774,-21044,-378950,35719,-214282,None,141,None,None,None,None,56920,0,None,None,None
2017-12-31,USD,None,324000,35000,35000,350000,390000,None,11553,-1139456,-69745,-494862,None,565,None,40000,None,None,205396,0,None,None,None
2017-09-30,USD,None,36733,None,None,100000,40000,None,22000,-292626,-96784,-136784,None,141,None,40000,None,None,73882,0,None,None,None
2017-06-30,USD,None,69462,23455,23455,250000,250000,None,9408,-264273,122858,-150597,None,141,None,40000,None,None,22422,0,None,None,None
2017-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-12-31,USD,None,-17473,35117,35117,200000,200000,None,9154,-420200,-74384,-274384,None,565,None,40000,None,None,153553,0,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-12-31,USD,None,16000,35117,35117,200000,200000,None,84452,-817993,-465222,-465222,None,565,None,40000,None,None,251914,0,None,None,None
2015-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
