fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,1818792,None,None,-1818651,-1811110,888013,None,-1811110,None,930779,None,-1818792,None,None,0,5182,5182,None,None,None,None,2500,None,-1811110,-1811110,None
2020-03-31,USD,0,2300245,None,None,-2300104,-2276813,1059578,None,-2276813,None,1240667,None,-2300245,None,None,0,23432,23432,None,None,None,None,None,None,-2276813,-2276813,None
2019-12-31,USD,0,2090882,None,None,-2058347,-2058488,1203913,None,-2058488,None,886969,None,-2090882,None,0,0,32394,32394,None,None,None,None,0,None,-2058488,-2058488,None
2019-09-30,USD,0,1745742,None,None,-1715742,-1715883,864280,None,-1715883,None,881462,None,-1745742,None,0,0,29859,29859,None,None,None,None,29859,None,-1715883,-1715883,None
2019-06-30,USD,0,2159010,None,None,-2134266,-2134407,1210436,None,-2134407,None,948574,None,-2159010,None,0,0,24603,24603,None,None,None,None,24603,None,-2134407,-2134407,None
2019-03-31,USD,0,2249266,None,None,-2682509,-2682650,686914,None,-2682650,None,1562350,None,-2249270,None,0,0,8380,8378,None,None,None,None,-441763,None,-2682651,-2682650,None
2018-12-31,USD,0,4526004,0,0,-4526004,-1269148,47621,0,-1269148,0,4649491,None,-4526004,0,-186397,None,None,None,0,0,0,0,3256856,0,-1269148,-1269148,None
2018-09-30,USD,0,379693,0,0,-379693,-8190924,188435,0,-8190924,0,160173,None,-379693,0,-878082,None,None,None,0,0,0,0,-7811231,0,-8190924,-8190924,None
2018-06-30,USD,0,280467,0,0,-280467,-1792356,76895,0,-1792356,0,133391,None,-280467,0,-50889,None,None,None,0,0,0,0,-1511889,0,-1792356,-1792356,None
2018-03-31,USD,0,339513,0,0,-339513,-378950,168105,0,-378950,0,171408,None,-339513,0,-51678,None,None,None,0,0,0,0,-39437,0,-378950,-378950,None
2017-12-31,USD,0,732870,0,0,-732870,-846830,52000,0,-846830,0,320000,None,-732870,0,83000,None,None,None,0,0,0,0,-113960,0,-846830,-846830,None
2017-09-30,USD,0,20931,0,0,-20931,-28353,28000,0,-28353,0,262000,None,-20931,0,30000,None,None,None,0,0,0,0,-7422,0,-28353,-28353,None
2017-06-30,USD,0,241485,0,0,-241485,-264273,58000,0,-264273,0,241000,None,-241485,0,23000,None,None,None,0,0,0,0,-22788,0,-264273,-264273,None
2017-03-31,USD,0,0,0,0,0,0,44000,0,0,0,170000,None,0,0,9000,None,None,None,0,0,0,0,0,0,0,0,None
2016-12-31,USD,0,410807,0,0,-410807,-420200,146000,0,-420200,0,409000,None,-410807,0,10000,None,None,None,0,0,0,0,-9393,0,-420200,-420200,None
2016-09-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,0,835013,0,0,-835013,-817993,322000,0,-817993,0,834000,None,-835013,0,-9643,None,None,None,0,0,0,0,17020,0,-817993,-817993,None
2015-09-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
