fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,44341000000,None,None,5554000000,24945000000,19378000000,1347000000,3531000000,2705000000,19293000000,2658000000,None,946000000,6248000000,12809000000,541000000,541000000,-2705000000,9833000000,22011000000,12497000000,19378000000,None,2583000000,8632000000,7626000000,8737000000,None,None,2705000000,None,19293000000,None,None,2046000000,None,22330000000,239000000,8632000000,2157000000,12136000000,None,85000000,None,None,44341000000,6248000000,-16066000000,None
2020-03-31,USD,48395000000,5194000000,None,5047000000,29348000000,19023000000,1347000000,4209000000,2690000000,19026000000,3418000000,None,2027000000,9832000000,17317000000,3890000000,3890000000,-2764000000,9883000000,26146000000,12366000000,19023000000,0,2437000000,8613000000,8830000000,9218000000,None,None,2690000000,None,19026000000,None,None,2029000000,None,22249000000,218000000,8613000000,2071000000,12031000000,None,71000000,None,None,48395000000,9832000000,-15926000000,564000000
2019-12-31,USD,43997000000,2091000000,None,4600000000,24714000000,19266000000,1194000000,3757000000,2655000000,18958000000,2527000000,3385000000,965000000,5310000000,13734000000,1209000000,1209000000,-2405000000,10106000000,21347000000,12544000000,19266000000,0,2267000000,7672000000,9170000000,8768000000,None,None,2655000000,None,18958000000,None,None,1936000000,None,22650000000,215000000,7672000000,2114000000,10980000000,None,58000000,None,None,43997000000,5310000000,-15893000000,565000000
2019-09-30,USD,41804000000,5401000000,None,210000000,22909000000,18873000000,1302000000,642000000,2617000000,18651000000,2560000000,None,905000000,932000000,12020000000,1257000000,1257000000,-2395000000,10911000000,19178000000,5409000000,13472000000,26000000,2984000000,7631000000,8075000000,2973000000,None,None,2617000000,None,18651000000,None,None,1715000000,None,22626000000,186000000,7631000000,1903000000,10889000000,None,53000000,None,None,41804000000,5347000000,-15633000000,563000000
2019-06-30,USD,42616000000,5545000000,None,249000000,23637000000,18955000000,1305000000,768000000,2588000000,18497000000,2613000000,None,984000000,849000000,12602000000,1711000000,1711000000,-2130000000,10245000000,19548000000,5457000000,19008000000,4000000,3026000000,7701000000,8294000000,3067000000,None,None,2588000000,None,18497000000,None,None,1821000000,None,23068000000,None,7701000000,1976000000,11035000000,None,53000000,None,None,42616000000,5234000000,-15593000000,566000000
2019-03-31,USD,43151000000,5459000000,None,3625000000,24192000000,18944000000,1250000000,2998000000,2584000000,18553000000,2534000000,None,980000000,5167000000,13361000000,2209000000,2209000000,-2242000000,10299000000,20262000000,12590000000,18944000000,9000000,2515000000,7675000000,8946000000,8154000000,None,None,2584000000,None,18553000000,None,None,1777000000,None,22889000000,None,7675000000,1906000000,10831000000,None,49000000,None,None,43151000000,5176000000,-15346000000,566000000
2018-12-31,USD,40833000000,1545000000,None,3033000000,21788000000,19030000000,1067000000,2913000000,2560000000,18527000000,2314000000,2496000000,927000000,6503000000,11776000000,690000000,582000000,-2106000000,9953000000,20588000000,10292000000,19030000000,6000000,2233000000,7698000000,8813000000,8173000000,None,None,2560000000,None,18527000000,None,None,None,None,20245000000,None,7698000000,1247000000,10012000000,None,49000000,None,None,40833000000,6509000000,-15149000000,567000000
2018-09-30,USD,39664000000,4065000000,None,3707000000,20618000000,19033000000,965000000,2925000000,2541000000,18478000000,2240000000,0,930000000,5341000000,11648000000,1122000000,590000000,-2032000000,9885000000,19465000000,10314000000,19033000000,4426000000,1934000000,6730000000,8483000000,7601000000,18322000000,0,2541000000,0,18478000000,0,None,None,None,20199000000,None,6730000000,1275000000,8970000000,None,46000000,None,None,39664000000,5341000000,-14992000000,568000000
2018-06-30,USD,38755000000,3834000000,None,3642000000,19990000000,18763000000,1002000000,3173000000,2489000000,18132000000,2291000000,0,938000000,5152000000,11718000000,1642000000,595000000,-1911000000,9948000000,18647000000,10160000000,18763000000,4301000000,1900000000,5981000000,7953000000,6903000000,18322000000,0,2489000000,0,18132000000,0,None,None,None,20108000000,None,5981000000,1289000000,8272000000,None,53000000,None,None,38755000000,5152000000,-14929000000,567000000
2018-03-31,USD,41100000000,3970000000,None,3734000000,22304000000,18791000000,1037000000,3035000000,2428000000,17755000000,1325000000,0,10071000000,5205000000,13285000000,2343000000,13000000,-1451000000,10123000000,20906000000,10071000000,18791000000,4408000000,2147000000,6657000000,9820000000,7907000000,18322000000,0,2428000000,0,17755000000,0,None,None,None,20194000000,None,6657000000,1325000000,9019000000,None,59000000,None,None,41100000000,5205000000,-14857000000,565000000
2017-12-31,USD,39963000000,3918000000,None,3175000000,21588000000,18366000000,1053000000,2833000000,2398000000,17552000000,1342000000,2374000000,9900000000,5630000000,12570000000,870000000,13000000,-1637000000,10138000000,19925000000,9900000000,18366000000,4826000000,1947000000,6623000000,9173000000,8867000000,18322000000,0,2398000000,0,17552000000,-5500000000,None,None,None,20038000000,None,6623000000,1342000000,9018000000,None,53000000,None,None,39963000000,5630000000,-14655000000,572000000
2017-09-30,USD,38969000000,3939000000,None,3084000000,21339000000,17623000000,1754000000,2548000000,2390000000,17023000000,1117000000,0,9873000000,5558000000,11873000000,741000000,13000000,-1843000000,9956000000,19140000000,9873000000,17623000000,261000000,1911000000,6595000000,8326000000,8584000000,17577000000,0,2390000000,0,17023000000,0,None,None,None,19829000000,None,6595000000,1117000000,9466000000,None,53000000,None,None,38969000000,5819000000,-14509000000,569000000
2017-06-30,USD,37817000000,3866000000,None,2898000000,20372000000,17438000000,1606000000,2465000000,2376000000,17176000000,1289000000,0,9671000000,5503000000,11421000000,924000000,6980000000,-2141000000,9945000000,18201000000,9671000000,17438000000,237000000,1717000000,6056000000,7846000000,8032000000,17418000000,0,2376000000,0,17176000000,0,None,None,None,19616000000,None,6056000000,1289000000,8951000000,None,27000000,None,None,37817000000,5740000000,-14227000000,574000000
2017-03-31,USD,39630000000,3780000000,None,3941000000,22475000000,17147000000,1682000000,3462000000,2350000000,17345000000,1235000000,0,9373000000,5852000000,13602000000,1251000000,1251000000,-2574000000,9771000000,20486000000,9373000000,17147000000,272000000,1757000000,5956000000,8664000000,8889000000,17129000000,0,2350000000,0,17345000000,0,None,None,None,19144000000,None,5956000000,1235000000,8873000000,None,26000000,None,None,39630000000,6124000000,-13848000000,579000000
2016-12-31,USD,39769000000,3703000000,None,4383000000,22564000000,17197000000,1669000000,3982000000,2327000000,17444000000,1218000000,2246000000,8966000000,5630000000,13173000000,427000000,273000000,-2598000000,9758000000,21045000000,8966000000,17197000000,296000000,1905000000,6504000000,8831000000,8764000000,17181000000,0,2327000000,0,17444000000,-5500000000,None,None,None,18724000000,None,6504000000,1218000000,9391000000,None,24000000,None,None,39769000000,5926000000,-13739000000,591000000
2016-09-30,USD,39853000000,3852000000,None,4708000000,22257000000,17578000000,1642000000,3851000000,2536000000,17192000000,1284000000,0,9457000000,6098000000,12737000000,479000000,479000000,-2190000000,9853000000,20543000000,9457000000,17578000000,256000000,2253000000,6594000000,7228000000,8407000000,17556000000,0,2536000000,0,17192000000,0,None,None,None,19310000000,None,6594000000,1284000000,9520000000,None,40000000,None,None,39853000000,6354000000,-13802000000,589000000
2016-06-30,USD,40098000000,3865000000,None,4340000000,22388000000,17696000000,1685000000,3543000000,2714000000,17079000000,1364000000,0,9429000000,5874000000,13778000000,1825000000,1825000000,-2138000000,9802000000,20867000000,9429000000,17696000000,396000000,2257000000,5561000000,8000000000,8410000000,17669000000,0,2714000000,0,17079000000,0,None,None,None,19231000000,None,5561000000,1364000000,8610000000,None,41000000,None,None,40098000000,6270000000,-13678000000,594000000
2016-03-31,USD,39681000000,3889000000,None,4589000000,21768000000,17899000000,1621000000,3678000000,2875000000,16971000000,1429000000,0,8820000000,5977000000,12867000000,795000000,795000000,-1947000000,9891000000,20970000000,8820000000,17899000000,525000000,1965000000,5851000000,7914000000,8394000000,0,0,2875000000,0,16971000000,0,None,None,None,18711000000,None,5851000000,1429000000,8901000000,None,None,None,None,39681000000,6502000000,-13690000000,597000000
2015-12-31,USD,40157000000,3688000000,None,5286000000,22242000000,17899000000,1563000000,4113000000,3180000000,16865000000,1395000000,2185000000,8475000000,6124000000,13505000000,98000000,12000000,-2146000000,9853000000,21829000000,8475000000,17899000000,438000000,1738000000,5779000000,8243000000,9294000000,0,0,3180000000,0,16865000000,-4700000000,None,None,None,18328000000,None,5779000000,1395000000,8737000000,None,None,None,None,40157000000,6562000000,-13421000000,621000000
2015-09-30,USD,40877000000,3213000000,None,7182000000,22999000000,17863000000,1678000000,4305000000,3412000000,16313000000,1362000000,0,7932000000,5886000000,14130000000,953000000,None,-1862000000,9900000000,23045000000,7932000000,17863000000,417000000,2132000000,5829000000,7428000000,8872000000,0,0,3412000000,0,16313000000,0,None,None,None,17832000000,None,5829000000,1362000000,8869000000,None,None,None,None,40877000000,6303000000,-13310000000,615000000
2015-06-30,USD,40568000000,3256000000,None,6611000000,22010000000,18544000000,1618000000,3521000000,4017000000,16232000000,1568000000,0,8083000000,5599000000,12859000000,958000000,None,-1705000000,9897000000,22588000000,8083000000,18544000000,309000000,2224000000,5965000000,7845000000,8380000000,0,0,4017000000,0,16232000000,0,None,None,None,17980000000,None,5965000000,1568000000,9151000000,None,None,None,None,40568000000,5908000000,-13147000000,627000000
