fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,16281000000,654000000,15173000000,1108000000,639000000,469000000,None,None,552000000,3000000,638000000,185000000,454000000,3000000,87000000,80000000,15000000,-72000000,None,16000000,None,80000000,154000000,None,472000000,469000000,None
2020-03-31,USD,14970000000,705000000,14019000000,951000000,458000000,391000000,None,None,375000000,95000000,664000000,212000000,246000000,2000000,83000000,-16000000,40000000,-43000000,None,41000000,None,-16000000,131000000,None,391000000,391000000,None
2019-12-31,USD,16329000000,757000000,15160000000,1169000000,591000000,504000000,None,None,496000000,75000000,654000000,179000000,412000000,4000000,95000000,-3000000,50000000,-45000000,-46000000,103000000,None,-3000000,26000000,None,499000000,504000000,None
2019-09-30,USD,16726000000,16226000000,15648000000,1078000000,849000000,407000000,None,None,503000000,75000000,578000000,153000000,500000000,5000000,97000000,95000000,47000000,-50000000,5000000,53000000,None,95000000,53000000,None,408000000,407000000,None
2019-06-30,USD,16297000000,15927000000,15325000000,972000000,631000000,235000000,None,None,274000000,3000000,602000000,149000000,370000000,4000000,109000000,36000000,46000000,-63000000,19000000,136000000,None,36000000,-33000000,None,238000000,235000000,None
2019-03-31,USD,15304000000,670000000,14376000000,928000000,416000000,233000000,None,None,315000000,1000000,659000000,158000000,258000000,8000000,101000000,64000000,19000000,-52000000,-17000000,11000000,None,81000000,98000000,None,234000000,233000000,None
2018-12-31,USD,15947000000,688000000,14894000000,1053000000,409000000,315000000,141000000,0,312000000,2000000,558000000,44000000,365000000,-14000000,97000000,None,None,None,29000000,130000000,0,-5000000,-114000000,0,317000000,315000000,None
2018-09-30,USD,15800000000,535000000,14742000000,1058000000,719000000,536000000,0,0,632000000,59000000,534000000,196000000,523000000,4000000,87000000,None,None,None,0,1000000,0,96000000,116000000,0,536000000,536000000,None
2018-06-30,USD,17068000000,584000000,15887000000,1181000000,741000000,566000000,0,0,652000000,55000000,560000000,144000000,597000000,4000000,89000000,None,None,None,0,24000000,0,86000000,38000000,0,566000000,566000000,None
2018-03-31,USD,15526000000,529000000,14637000000,889000000,555000000,393000000,0,0,464000000,3000000,513000000,195000000,360000000,4000000,91000000,None,None,None,0,16000000,0,68000000,88000000,0,396000000,393000000,None
2017-12-31,USD,16070000000,496000000,15131000000,939000000,627000000,788000000,129000000,0,543000000,4000000,463000000,184000000,443000000,8000000,84000000,None,None,None,0,33000000,0,-249000000,92000000,0,792000000,788000000,None
2017-09-30,USD,14827000000,585000000,14015000000,812000000,304000000,192000000,0,0,225000000,3000000,478000000,77000000,227000000,6000000,79000000,None,None,None,0,107000000,0,30000000,2000000,0,195000000,192000000,None
2017-06-30,USD,14943000000,554000000,14056000000,887000000,469000000,276000000,0,0,383000000,-1000000,531000000,136000000,333000000,-6000000,86000000,None,None,None,0,23000000,0,108000000,-5000000,0,275000000,276000000,None
2017-03-31,USD,14988000000,531000000,14120000000,868000000,539000000,339000000,0,0,458000000,1000000,521000000,202000000,337000000,2000000,81000000,None,None,None,0,10000000,0,118000000,7000000,0,340000000,339000000,None
2016-12-31,USD,16501000000,508000000,15475000000,1026000000,709000000,424000000,123000000,0,629000000,2000000,489000000,191000000,518000000,6000000,80000000,None,None,None,0,19000000,0,203000000,179000000,0,426000000,424000000,None
2016-09-30,USD,15832000000,572000000,14727000000,1105000000,558000000,341000000,0,0,480000000,3000000,561000000,25000000,533000000,0,78000000,None,None,None,0,11000000,0,136000000,-149000000,0,344000000,341000000,None
2016-06-30,USD,15629000000,532000000,14872000000,757000000,472000000,284000000,0,0,407000000,4000000,520000000,247000000,225000000,0,65000000,None,None,None,0,12000000,0,119000000,172000000,0,288000000,284000000,None
2016-03-31,USD,14384000000,488000000,13588000000,796000000,376000000,230000000,0,0,306000000,14000000,475000000,68000000,308000000,0,70000000,None,None,None,0,13000000,0,76000000,-19000000,0,230000000,230000000,None
2015-12-31,USD,16445000000,586000000,15580000000,865000000,774000000,718000000,112000000,0,701000000,-1000000,482000000,495000000,279000000,5000000,73000000,None,None,None,0,104000000,0,-16000000,303000000,0,717000000,718000000,None
2015-09-30,USD,16565000000,576000000,15476000000,1089000000,436000000,252000000,0,0,367000000,1000000,511000000,-77000000,513000000,0,69000000,None,None,None,0,65000000,0,114000000,0,0,253000000,252000000,None
2015-06-30,USD,17186000000,550000000,16222000000,964000000,611000000,386000000,0,0,526000000,-3000000,519000000,197000000,414000000,0,85000000,None,None,None,0,31000000,0,143000000,0,0,383000000,386000000,None
