fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,191541568,2801797,None,4693427,114662113,76879455,2190115,142834,8635,-304139876,2270845,3529509,4846834,75781122,12880029,210870,None,None,37373366,142990062,None,70548149,None,6514165,96573947,56001348,12526325,None,None,8635,None,-304139876,None,None,4846834,None,48551506,2937292,99511239,80730,101782084,None,None,None,381010696,191541568,75781122,None,86349981
2020-03-31,USD,210523827,2980636,None,4855344,114188144,96335683,2225823,142834,8635,-283961785,2319475,3529509,3465207,101235699,13908103,193987,None,None,35060795,165487680,None,89825538,None,7107834,96128927,52288803,13571282,None,None,8635,None,-283961785,None,None,3465207,None,45036147,1831639,97960566,93652,100280041,None,None,None,380288833,210523827,101235699,None,86345313
2019-12-31,USD,127090725,3159474,None,2533593,100897576,26193149,2261532,142834,5932,-264716555,2368106,3529509,2840044,26752135,14027893,229073,None,None,31741317,85820381,None,19504166,None,3469919,68291163,53064734,13655986,None,None,5932,None,-264716555,None,None,2840044,None,41270344,1302361,69593524,15014627,86869683,None,None,None,290903772,127090725,26752135,None,59318355
2019-09-30,USD,137779773,3370708,None,1716337,101661701,36118072,2297240,1197910,5932,-254155524,2416736,3529509,2843332,48006152,15150100,229516,None,None,30712915,97323309,None,29217855,None,7315481,82738475,40285339,13722674,None,None,5932,None,-254155524,None,None,2843332,None,40456464,1356390,84094865,119496,86511601,None,None,None,290267664,137779773,48006152,None,59318355
2019-06-30,USD,143274120,3581943,None,1596671,96368259,46905861,2332949,142834,5932,-242717065,2465367,3529509,2829186,73615909,10128568,223114,None,None,29444489,103888993,None,39794409,None,5086663,82359348,23589750,9762620,None,None,5932,None,-242717065,None,None,2829186,None,39385127,1414976,83774324,132418,86239691,None,None,None,289616994,143274120,73615909,None,59317806
2019-03-31,USD,78119970,3793177,None,2049552,68081016,10038954,2368657,142834,4635,-229505193,2513997,3529509,2768370,16534278,8338127,209506,209506,None,29694764,38334146,None,2716268,None,1310404,40885103,18439912,7985787,None,None,4635,None,-229505193,None,None,2768374,None,39785824,1461452,42346555,15027677,59742889,None,None,None,239539512,78119970,16534278,None,46353068
2018-12-31,USD,88876521,4004412,None,1766163,69106083,19770438,2404365,142834,4635,-216437238,18046943,3529509,6697245,22754852,9625046,29983,None,None,30115730,44529625,None,12236517,None,1392441,29200830,18616169,9452229,None,None,4635,None,-216437238,None,None,6697245,None,44346896,119080,29319910,27756762,59481037,None,None,None,236203041,88876521,22754852,None,46353068
2018-09-30,USD,106345100,4215646,None,2131035,69138886,37206214,2440074,142834,4635,-198399251,18099610,3529509,5734564,42367489,9892987,29443,None,None,30362629,62502752,None,29461059,0,4126794,28913543,13877434,9720710,0,0,4635,0,-198399251,0,None,5734564,None,43842348,126765,29040308,27765517,59245899,None,None,None,235600830,106345100,42367489,None,46351243
2018-06-30,USD,117751992,4426881,None,2431366,65992922,51759070,2475782,142834,4635,-183263766,18205524,3529509,5828814,55153975,6917086,28992,40899304,None,30337285,73629503,None,43802680,0,3797194,28638081,12246968,6745260,0,0,4635,0,-183263766,0,None,5828814,None,44122489,134323,28772404,27827650,59075836,None,None,None,235018201,117751992,55153975,None,46349514
2018-03-31,USD,91137625,4638115,None,2703214,68112226,23025399,2511491,142834,3673,-168515935,18202688,3529509,5935016,27619837,9442837,40466701,40466701,859,30615530,46419455,None,14857775,1500000,3657602,28376653,12438802,9300003,0,0,3673,0,-168515935,0,None,5935016,None,44718170,None,28376653,27781245,58669389,None,None,None,191536802,91137625,27619837,None,36726084
2017-12-31,USD,108018833,4849350,None,3550740,67686076,40332757,2547199,200832,4532,-150693793,15275000,3529509,14385000,43107574,9440183,40210854,40210854,None,30466858,63166649,None,31953898,1500000,3880154,28128458,12628181,9239351,0,0,4532,0,-150693793,0,None,6006467,None,44852184,None,28128458,27570236,58245893,None,None,None,191022018,108018833,43107574,None,36725499
2017-09-30,USD,72813480,5737175,None,2923898,59820972,12992508,2582908,322404,1722,-137710991,2701000,3529509,11614000,13601391,13338866,29369036,29369036,859,29755541,31444069,None,3725824,0,1499809,16324340,13418971,13016462,0,0,1722,0,-137710991,0,None,2347186,None,41369411,None,16324340,27574858,46482106,None,None,None,150700918,72813480,13601391,None,17202244
2017-06-30,USD,84639253,6011003,None,3253848,56957264,27681989,2618616,162216,1719,-122508276,2712000,3529509,11742000,25574009,15645011,6666667,30854523,859,28626668,44270864,None,18141477,0,2292274,11150708,13150733,8816128,0,0,1719,0,-122508276,0,None,2201209,None,40368389,None,11150708,27542929,41312253,None,None,None,150187687,84639253,25574009,None,17182321
2017-03-31,USD,17594918,0,None,746846,28353266,-10758348,2744801,145154,1289,-113471781,2744000,0,30000,8542928,12957920,6683602,17544147,None,1882151,15683204,None,-10758348,245000,839938,10845226,5308492,6129164,0,0,1289,0,-113471781,0,None,29563,None,29563,15319,10860545,1790000,15395346,None,None,None,102712144,17594918,8787928,None,12886741
2016-12-31,USD,23685085,0,None,313914,28142347,-4457262,2788149,145154,1289,-106934818,2787000,0,27000,9914867,11222861,6127670,6111111,None,2000784,21657138,None,-4457262,5390184,1018027,12321640,5020146,4950037,0,0,1289,0,-106934818,0,None,27163,None,27163,19697,12341337,1790000,16919486,None,None,None,102476267,23685085,15305051,None,12886741
2016-09-30,USD,27495386,0,None,481658,27647526,-152140,2831498,145154,1289,-102375710,2832000,0,27000,7905975,9207805,4460632,None,None,2108634,25359589,None,-152140,11026691,1327531,13794246,4617734,4602019,0,0,1289,0,-102375710,0,None,27163,None,27163,23977,13818223,1790000,18439721,None,None,None,102222281,27495386,18932666,None,12886741
2016-06-30,USD,31741989,0,None,638059,27825853,3916136,2874846,145154,1289,-98044471,2875000,0,27000,12549173,5082539,15833,None,None,2220590,29494236,None,3916136,11270963,826715,18050306,4209326,4921552,0,0,1289,0,-98044471,0,None,27163,None,27163,28162,18078468,1790000,22743314,None,None,None,101959318,31741989,23820136,None,12886741
2016-03-31,USD,19684920,0,None,744910,23054235,-3369315,2918194,145154,1072,-92032136,2918000,0,31000,8925132,4291028,15482,None,None,2295994,17358209,None,-3369315,2694978,943950,14380759,4049239,4130392,0,0,1072,0,-92032136,0,None,27163,3554,30717,32254,14413013,1432000,18763207,None,None,None,88661749,19684920,11620110,None,10713087
2015-12-31,USD,23714517,0,None,111027,22893543,820974,2961543,145154,1072,-87419667,2962000,0,28000,10440959,4216532,15139,15139,None,2396950,21290404,None,820974,6368177,924468,14247212,3445773,4056239,0,0,1072,0,-87419667,0,None,27163,None,27163,36256,14283468,1432000,18677011,None,None,None,88239569,23714517,16809136,None,10713087
2015-09-30,USD,27824030,0,None,266784,22909788,4914242,3023398,149326,1072,-82837014,3024000,0,65000,9177767,4298235,14804,None,None,2518638,25240341,None,4914242,11764361,1200615,14115986,2830814,4134105,0,0,1072,0,-82837014,0,None,27163,37888,65051,40169,14156155,1432000,18611553,None,None,None,87750184,27824030,20942128,None,10713087
2015-06-30,USD,29799772,0,None,399327,20280264,9519508,1610993,75556,1071,-77734590,1610000,0,45000,7821841,3200041,14368,None,None,2627693,27126916,None,9519508,15930353,522499,13993127,2452896,3110117,0,0,1071,0,-77734590,0,None,27163,18000,45163,44103,14037230,1432000,17080223,None,None,None,87253027,29799772,23752194,None,10705573
