fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-4168408,41125,-4168408,None,7816,-1694,-15765,2241955,-20178091,-25454577,-21284475,-41746,1294964,None,6255,-3712546,593669,718150,4168408,593669,None,-25454577
2020-03-31,USD,-2072876,-1998829,-2072876,2000,12492184,101203400,None,-4377756,-19245230,74483564,-24646960,-2401283,1182841,None,88711216,775932,-3637915,677524,2074876,-3637915,None,74483564
2019-12-31,USD,-1594296,-1412995,-1594296,None,-6507552,-7685,6499867,-1386576,-10561031,-21254017,-19652036,-2378894,1253630,None,48472140,-12779396,3845562,2381088,1594296,3845562,None,-21254017
2019-09-30,USD,-1971867,5035899,-1971867,None,-7558,-7558,-10939530,1675254,-11438459,-25609757,-23630332,-133811,1161546,None,48472140,-16695588,-2228818,668899,1971867,-2228818,None,-25609757
2019-06-30,USD,-135222,1520719,-135222,None,27368669,75840805,-123899,604434,-13211872,57081631,-18623952,392069,866097,None,48472136,-5149838,-3776259,735133,135222,-3776259,None,57081631
2019-03-31,USD,-110453,-1253584,-110453,None,13436930,4177063,-9259867,-942473,-13067955,-10220574,-14287184,-109490,1014389,None,None,-25310,82037,-927272,110453,82037,None,-10220574
2018-12-31,USD,None,9732,-819006,None,-7186,-507,-10815629,-1271670,-18037987,-19612637,-18793124,-648692,1183683,None,6679,-4738735,2734353,704522,819006,2734353,None,-19612637
2018-09-30,USD,None,2565359,-230219,0,-17910,-12862,-10815629,702337,-15135485,-12786486,-12543405,303580,1094885,0,5048,-1630466,-329600,588322,230219,-329600,None,-12786486
2018-06-30,USD,None,-2107775,-497129,0,-6805,42939306,-10815629,787261,-14747831,27534138,-14908039,277998,1079477,0,42946111,191834,-139592,537850,497129,-139592,None,27534138
2018-03-31,USD,None,93622,-549246,0,-4377,-4377,None,-385613,-17822142,-16987737,-16434114,-681989,1049680,0,0,189379,222552,514784,549246,222552,None,-16987737
2017-12-31,USD,5390184,-3087288,-2009871,0,12964833,50374683,-1790000,-821499,-12982802,35006183,-13358629,1289623,1651326,0,39199850,790790,-2862127,1360067,2009871,-2380345,None,35006183
2017-09-30,USD,None,3370136,-569900,0,-1670851,-1663347,-3265331,-13225,-15202715,-11972618,-9739371,81710,981542,0,7504,-268238,403063,505730,569900,792464,None,-11972618
2017-06-30,USD,245000,1952758,12652027,12500000,13154402,13154402,-174839,198187,-9036495,17031081,-8775348,-1331310,425559,0,13072741,355112,-97753,311363,92973,-1452335,None,17031081
2017-03-31,USD,5145184,1179127,5141600,0,-1115113,-1115113,-174839,-603609,-6536963,-1371939,-5398426,-442972,272607,0,0,-288346,178000,240032,3584,178089,None,-1371939
2016-12-31,USD,5636507,348018,5626483,0,-3913,-3913,-47104,183525,-4559108,2008892,-3613678,160104,276230,0,10257380,-402412,-93559,253986,10024,309504,None,2008892
2016-09-30,USD,244272,-124429,238920,0,-26730,-198930,None,None,-4331239,-4643198,-4683188,148761,269980,0,-172200,-408408,816654,262963,5352,-500816,None,-4643198
2016-06-30,USD,-8575985,599610,-8616582,0,-27941,17044800,4000000,None,-6012335,3624041,-4804177,99211,241244,0,13072741,-160087,98000,310945,40597,117235,None,3624041
2016-03-31,USD,3673199,70599,3655762,0,-3659,-3659,None,None,-4612469,-1515827,-5167930,-641523,216231,0,0,-603466,0,422180,17437,-19482,None,-1515827
2015-12-31,USD,5396184,15724,5400680,0,-59280,-59279,-590077,-121594,-4582653,1263192,-4078209,148117,190030,0,1,-614959,-540507,489385,4496,276147,None,1263192
2015-09-30,USD,4165992,2698277,4157117,0,-15811849,-128138,15770488,None,-5102424,1355926,-2673053,-594194,214293,0,-86777,-377918,0,1167029,8875,-678116,None,1355926
2015-06-30,USD,-4418139,-610243,-4425647,0,331787,129665,-132500,None,-4679318,-8742349,-4446367,925487,163632,0,-69622,-511962,0,437093,7508,-171056,None,-8742349
