fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,3926342,13422751,4683835,-757493,-10351683,-11262713,3085824,None,-11262713,None,5653092,None,-9496409,None,32925,None,16621,-16304,None,None,None,None,-1750000,None,-11262713,-11262713,None
2020-03-31,USD,4663210,11234303,3687044,976166,-10235082,-10273369,2036732,None,-10273369,None,6054371,23055,-10258137,None,38287,None,23055,-15232,None,3143200,None,None,-3143200,None,-10273369,-10273369,None
2019-12-31,USD,5540223,6999185,4198819,1341404,-5621093,-5684126,2014989,None,-5675454,None,4965658,36688,-5657781,None,54361,8670,36688,-17673,None,18538,None,8672,-18538,None,-5684126,-5684126,None
2019-09-30,USD,5902975,8922418,3988962,1914013,-6977816,-6999751,3318743,None,-6999751,None,5300107,30589,-7008405,None,21935,None,30589,8654,None,303568,None,None,-303568,None,-6999751,-6999751,None
2019-06-30,USD,5764899,9846084,3665565,2099334,-7712633,-7735587,2845745,None,-7735587,None,7000339,34117,-7746750,None,22954,None,34117,11163,None,None,None,None,11163,None,-7735587,-7735587,None
2019-03-31,USD,4905772,10217978,3625469,1280303,-8863297,-8887305,2196514,None,-8887305,None,8021464,74378,-8937675,None,24008,None,50370,50370,None,None,None,None,50370,None,-8887305,-8887305,None
2018-12-31,USD,4153907,14387811,3039999,1113908,-13155086,-12810756,7800724,0,-13180096,0,6576570,118817,-13273903,0,25010,-369340,None,None,0,10517,0,-369340,83290,0,-12810756,-12810756,None
2018-09-30,USD,3832935,10443154,2300432,1532503,-8844631,-8875284,3908408,0,-8875284,0,6534746,66020,-8910651,0,30653,None,None,None,0,0,0,0,35367,0,-8875284,-8875284,None
2018-06-30,USD,3920566,11198565,2394394,1526172,-9650936,-9702371,4835634,0,-9702371,0,6362931,21457,-9672393,0,51435,None,None,None,0,0,0,0,-29978,0,-9702371,-9702371,None
2018-03-31,USD,3179235,8722885,2063163,1116072,-7567704,-7618371,2249070,0,-7618371,0,6473815,39109,-7606813,0,50667,None,None,None,0,0,0,0,-11558,0,-7618371,-7618371,None
2017-12-31,USD,2841832,9426698,1781705,1060127,-8313312,-8025672,3582850,0,-8365063,0,5843848,53259,-8366571,0,51751,None,None,None,0,0,0,-339391,-2496101,0,-8025672,-8025672,None
2017-09-30,USD,3388221,7092105,2092270,1295951,-6716674,-6769309,1248187,0,-6769309,0,5747572,-920520,-5796154,0,52635,None,None,None,0,96346,0,0,973369,0,-6769309,-6769309,None
2017-06-30,USD,3805355,6840921,1881448,1923907,-4911773,-4971203,1185847,0,-4971203,0,5655074,5241,-4917014,0,59430,None,None,None,0,-289038,0,0,728385,0,-4971203,-4971203,None
2017-03-31,USD,3037851,7082630,1664565,1373286,-5705321,-5772796,1509900,0,-5772796,0,5572730,4023,-5709344,0,67475,None,None,None,0,96346,0,0,-391287,0,-5772796,-5772796,None
2016-12-31,USD,2469956,5964704,1686262,783694,-5173157,-670163,1372018,0,-5244928,0,4592686,7853,-5181010,0,71771,None,None,None,0,96346,0,-4574765,919445,0,-670163,-670163,None
2016-09-30,USD,2075919,6829787,1821372,254547,-6573975,-6644209,1494399,0,-6644209,0,5335388,1265,-6575240,0,70234,None,None,None,0,0,0,0,386395,0,-6644209,-8018438,1374229
2016-06-30,USD,1928103,8012996,1346030,582073,-5641998,-5714389,3429899,0,-5714389,0,4583097,1788925,-7430923,0,72391,None,None,None,0,0,0,0,-113480,0,-5714389,-5714389,None
2016-03-31,USD,0,6017204,0,0,-6408491,-6408491,3400820,0,-6408491,0,2616384,-391287,-6017204,0,0,None,None,None,0,0,0,0,0,0,-6408491,-6408491,None
2015-12-31,USD,0,2862496,0,0,-3637183,-3637183,1035684,0,-3637183,0,1826812,-774687,-2862496,0,-214396,None,None,None,0,96346,0,0,164951,0,-3637183,-3637183,None
2015-09-30,USD,0,3307642,0,0,-3148207,-3148207,1182542,0,-3148207,0,2125100,159435,-3307642,0,0,None,None,None,0,0,0,0,1234123,0,-3148207,-3148207,None
2015-06-30,USD,0,3531421,0,0,-3644901,-3644901,1269590,0,-3644901,0,2261831,-113480,-3531421,0,0,None,None,None,0,0,0,0,-2127806,0,-3644901,-3644901,None
