fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,133065000,None,None,7814000,157474000,-24409000,None,1820000,33000,-475098000,2595000,None,38000,30538000,21215000,3232000,3232000,120000,1989000,123687000,None,-24409000,72876000,6608000,126300000,5851000,16163000,None,None,33000,None,-475098000,None,None,7389000,None,9378000,7364000,126300000,9959000,136259000,None,None,None,450536000,133065000,103414000,None,28281840
2020-03-31,USD,144311000,None,None,6974000,160164000,-15853000,None,1830000,33000,-464532000,2498000,None,1010000,45541000,23778000,3232000,3232000,73000,2213000,133384000,None,-15853000,69741000,5747000,126065000,5381000,18716000,None,None,33000,None,-464532000,None,None,8714000,None,10927000,7823000,126065000,10321000,136386000,None,None,None,448573000,144311000,115282000,None,28158205
2019-12-31,USD,162158000,None,None,8017000,163051000,-893000,None,1858000,33000,-447884000,2157000,None,1341000,65774000,26948000,2041000,2041000,16000,2449000,150320000,None,-893000,66833000,5770000,125674000,5267000,23049000,None,None,33000,None,-447884000,None,None,8048000,None,10497000,8272000,125674000,10429000,136103000,None,None,None,446942000,162158000,132607000,None,27964778
2019-09-30,USD,180439000,None,None,6382000,160682000,19757000,None,1837000,32000,-424809000,1639000,None,2241000,71973000,26358000,1739000,1739000,69000,2705000,167278000,None,19757000,78267000,5536000,124078000,5120000,22782000,None,None,32000,None,-424809000,None,None,10456000,None,13161000,8607000,124078000,10246000,134324000,None,None,None,444465000,180439000,150240000,None,27857726
2019-06-30,USD,200231000,None,None,6296000,157528000,42703000,None,1523000,32000,-397227000,1501000,None,2661000,62737000,25717000,1585000,1585000,103000,2971000,187007000,None,42703000,105910000,6411000,121943000,5653000,22609000,None,None,32000,None,-397227000,None,None,10253000,None,13224000,8367000,121943000,9868000,131811000,None,None,None,439795000,200231000,168647000,None,27710207
2019-03-31,USD,223226000,None,None,6465000,159310000,63916000,None,1452000,32000,-372356000,1453000,None,2764000,58936000,29830000,1527000,1527000,-34000,3294000,209800000,None,63916000,131699000,7498000,119661000,5202000,26851000,None,None,32000,None,-372356000,None,None,10132000,None,13426000,8366000,119661000,9819000,129480000,None,None,None,436274000,223226000,190635000,None,27519979
2018-12-31,USD,234814000,None,None,9660000,144929000,89885000,None,512000,32000,-342698000,3196000,None,2789000,56605000,24276000,1664000,1664000,-264000,3652000,228373000,None,89885000,154265000,5511000,117457000,5121000,23764000,None,None,32000,None,-342698000,None,None,None,None,3652000,None,117457000,3196000,120653000,None,None,None,432815000,234814000,210870000,None,27000000
2018-09-30,USD,257120000,0,None,4385000,142724000,114396000,0,957000,32000,-313815000,2073000,0,5114000,56766000,25298000,None,None,-433000,3972000,226304000,21730000,114396000,154701000,5276000,115353000,5176000,24341000,0,0,32000,0,-313815000,0,None,5114000,None,30816000,None,115353000,2073000,117426000,None,None,None,428612000,257120000,211467000,None,27335533
2018-06-30,USD,276246000,0,None,4815000,133686000,142560000,0,735000,32000,-280663000,721000,0,5165000,40604000,21682000,111283000,111283000,-425000,2809000,214979000,53293000,142560000,162380000,3412000,111283000,3768000,20947000,0,0,32000,0,-280663000,0,None,5165000,None,61267000,None,111283000,721000,112004000,None,None,None,423616000,276246000,202984000,None,27184443
2018-03-31,USD,298388000,0,None,91617000,128785000,169603000,0,435000,32000,-246670000,760000,0,877000,50942000,20920000,107105000,107105000,-363000,3296000,206090000,88125000,169603000,147588000,2490000,107105000,2455000,20485000,0,0,32000,0,-246670000,0,None,None,None,3296000,None,107105000,760000,107865000,None,None,None,416604000,298388000,198530000,None,26958014
