fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,18794000,25727000,381000,18413000,-7099000,-10566000,2550000,None,-10566000,None,23177000,215000,-7314000,None,3467000,None,None,-3252000,None,None,None,None,None,None,-10566000,-10566000,None
2020-03-31,USD,14481000,27017000,572000,13909000,-13024000,-16648000,2465000,None,-16648000,None,24552000,84000,-13108000,None,3624000,None,84000,-3540000,None,None,None,None,None,None,-16648000,-16648000,None
2019-12-31,USD,16348000,35465000,442000,15906000,-19435000,-23075000,5180000,None,-23075000,None,30285000,124000,-19559000,None,3640000,None,124000,-3516000,None,None,None,None,-1616000,None,-23075000,-23075000,None
2019-09-30,USD,13933000,37222000,929000,13004000,-23706000,-27582000,6042000,None,-27582000,None,31180000,512000,-24218000,None,3876000,None,512000,-3364000,None,None,None,None,-7164000,None,-27582000,-27582000,None
2019-06-30,USD,12691000,33814000,685000,12006000,-21074000,-24871000,8598000,None,-24871000,None,25216000,734000,-21808000,None,3797000,None,734000,-3063000,None,None,None,None,-3063000,None,-24871000,-24871000,None
2019-03-31,USD,11665000,37902000,413000,11252000,-25927000,-29658000,10214000,None,-29658000,None,27688000,723000,-26650000,None,3731000,None,-3008000,-3008000,None,None,None,None,-3008000,None,-29658000,-29658000,None
2018-12-31,USD,13315000,38615000,435000,12880000,-25300000,-28883000,10597000,0,-28883000,0,27583000,184000,-25300000,0,3768000,None,None,None,0,0,0,0,-3583000,0,-28883000,-28883000,None
2018-09-30,USD,10613000,39200000,100000,10513000,-27766000,-33152000,11709000,0,-33152000,0,27491000,921000,-28687000,0,5386000,None,None,None,0,0,0,0,-4465000,0,-33152000,-33152000,None
2018-06-30,USD,7565000,37505000,73000,7492000,-28881000,-33993000,9806000,0,-33993000,0,27699000,1132000,-30013000,0,5112000,None,None,None,0,0,0,0,-3980000,0,-33993000,-33993000,None
2018-03-31,USD,2553000,33576000,25000,2553000,-30145000,-34971000,7188000,0,-34971000,0,26363000,878000,-31023000,25000,4826000,None,None,None,0,0,0,0,-3948000,0,-34971000,-34971000,None
2017-12-31,USD,568000,29451000,29141000,568000,-28797000,-29357000,6445000,0,-31036000,0,22989000,86000,-28883000,17000,2239000,None,None,None,0,0,0,-1679000,-3261000,0,-29357000,-29357000,None
2017-09-30,USD,1000,22523000,22211000,1000,-21683000,-23360000,6459000,0,-23360000,0,16064000,839000,-22522000,0,1677000,None,None,None,0,0,0,51000,0,0,-23360000,-23360000,None
2017-06-30,USD,2000,20291000,20003000,2000,-20067000,-20745000,7176000,0,-20796000,0,13115000,222000,-20289000,0,729000,None,None,None,0,0,0,-51000,0,0,-20745000,-20745000,None
2017-03-31,USD,0,16232000,15948000,0,-16028000,-16028000,7088000,0,-16028000,0,9144000,204000,-16232000,0,0,None,None,None,0,0,0,0,0,0,-16028000,-16028000,None
2016-12-31,USD,37000,15330000,15084000,37000,-15075000,-14960000,7047000,0,-15075000,0,8283000,218000,-15293000,0,-4645000,None,None,None,0,0,0,-115000,811000,0,-14960000,-14960000,None
2016-09-30,USD,138000,14781000,14547000,138000,-14394000,-14394000,7437000,0,-14394000,0,7344000,249000,-14643000,0,0,None,None,None,0,0,0,0,0,0,-14394000,-14394000,None
2016-06-30,USD,222000,17282000,17091000,222000,-16876000,-16876000,9224000,0,-16876000,0,8058000,184000,-17060000,0,0,None,None,None,0,0,0,0,0,0,-16876000,-16876000,None
2016-03-31,USD,175000,14163000,14026000,175000,-13828000,-13828000,7522000,0,-13828000,0,6641000,160000,-13988000,0,0,None,None,None,0,0,0,0,0,0,-13828000,-13828000,None
2015-12-31,USD,524000,16587000,16458000,524000,-15965000,-10690000,9697000,0,-15965000,0,6890000,98000,-16063000,0,-4645000,None,None,None,0,0,0,-5275000,363000,0,-10690000,-10690000,None
2015-09-30,USD,768000,15763000,15613000,768000,-14910000,-14859000,9960000,0,-14910000,0,5803000,85000,-14995000,0,0,None,None,None,0,0,0,-51000,0,0,-14859000,-14859000,None
2015-06-30,USD,398000,14551000,14465000,398000,-14051000,-14051000,8705000,0,-14051000,0,5846000,102000,-14153000,0,0,None,None,None,0,0,0,-54000,0,0,-14051000,-14051000,None
