fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,9619000000,350000000,None,498000000,8047000000,1250000000,None,764000000,1250000000,-2060000000,537000000,2039000000,764000000,1032000000,3083000000,None,380000000,-658000000,1916000000,3459000000,1090000000,-1139000000,None,1161000000,4147000000,737000000,1465000000,None,None,None,None,None,None,None,1089000000,None,6160000000,None,None,635000000,4964000000,None,None,None,None,None,None,None,None
2020-03-31,USD,10646000000,381000000,None,477000000,8763000000,1541000000,None,741000000,1541000000,-1735000000,543000000,2018000000,767000000,1640000000,4223000000,838000000,846000000,-690000000,1923000000,4276000000,1279000000,-858000000,None,1344000000,3717000000,775000000,2203000000,None,None,None,None,None,None,None,1101000000,None,6370000000,None,3717000000,648000000,4540000000,None,None,None,3966000000,None,1640000000,None,94000000
2019-12-31,USD,10364000000,395000000,None,540000000,8280000000,1743000000,None,744000000,1743000000,-1716000000,555000000,2157000000,626000000,965000000,3683000000,6000000,14000000,-504000000,2064000000,3799000000,1321000000,-809000000,None,1522000000,3740000000,772000000,2511000000,None,None,None,None,None,None,None,1002000000,None,6565000000,None,3740000000,673000000,4597000000,None,None,None,3963000000,None,965000000,None,94000000
2019-09-30,USD,10342000000,405000000,None,494000000,8153000000,1848000000,None,609000000,1848000000,-1545000000,559000000,2150000000,599000000,924000000,3835000000,22000000,30000000,-569000000,1671000000,4116000000,1399000000,-707000000,None,1905000000,3708000000,793000000,2709000000,None,None,None,None,None,None,None,601000000,None,6226000000,None,3708000000,408000000,4318000000,None,None,None,3962000000,None,924000000,None,94000000
2019-06-30,USD,10574000000,426000000,None,592000000,8293000000,1919000000,None,666000000,1919000000,-1541000000,523000000,2182000000,619000000,1025000000,3963000000,7000000,15000000,-499000000,1687000000,4253000000,1407000000,-689000000,None,1853000000,3762000000,783000000,2751000000,None,None,None,None,None,None,None,619000000,None,6321000000,None,3762000000,404000000,4330000000,None,None,None,3959000000,None,1025000000,None,94000000
2019-03-31,USD,10574000000,441000000,None,631000000,8317000000,2257000000,None,587000000,2257000000,-1220000000,530000000,2165000000,857000000,491000000,4004000000,9000000,10000000,-479000000,1641000000,3926000000,1544000000,-349000000,None,1976000000,3373000000,828000000,2880000000,None,None,None,None,None,None,None,857000000,None,6648000000,None,3373000000,416000000,3940000000,None,None,None,3956000000,None,491000000,None,94000000
2018-12-31,USD,10358000000,449000000,None,657000000,7607000000,2366000000,None,759000000,2366000000,-1070000000,533000000,2175000000,865000000,406000000,3675000000,2000000,2000000,-518000000,1695000000,3668000000,1506000000,-258000000,None,1766000000,3399000000,839000000,2590000000,None,None,None,None,None,None,None,None,None,None,None,3399000000,None,None,None,None,None,3954000000,None,406000000,None,94000000
2018-09-30,USD,10942000000,460000000,None,367000000,8178000000,2392000000,0,752000000,0,-1028000000,564000000,2182000000,888000000,687000000,4192000000,2000000,2000000,-531000000,1683000000,4309000000,1420000000,-250000000,0,2431000000,3422000000,824000000,3101000000,2717000000,3951000000,0,0,-1028000000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93000000
2018-06-30,USD,12338000000,501000000,None,786000000,8144000000,3840000000,0,833000000,0,327000000,697000000,2216000000,1270000000,378000000,4025000000,2000000,2000000,-447000000,2402000000,4172000000,1777000000,1123000000,0,2234000000,3422000000,774000000,2851000000,4153000000,3960000000,0,0,327000000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2018-03-31,USD,13089000000,534000000,None,882000000,8655000000,4069000000,0,789000000,0,299000000,717000000,2293000000,1041000000,353000000,4435000000,2000000,2000000,-185000000,2611000000,4596000000,2014000000,1242000000,0,2580000000,3503000000,781000000,3106000000,4395000000,3955000000,0,0,299000000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93000000
2017-12-31,USD,12643000000,3078000000,None,851000000,8185000000,4108000000,0,1185000000,0,156000000,731000000,2545000000,6020000000,390000000,3993000000,2000000,2000000,-336000000,2546000000,4077000000,1924000000,1030000000,0,2074000000,3461000000,762000000,2768000000,4429000000,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,93000000
2017-09-30,USD,13170000000,3058000000,None,371000000,8550000000,4279000000,0,1332000000,0,337000000,393000000,2515000000,6169000000,709000000,4328000000,2000000,2000000,-397000000,2502000000,4499000000,1793000000,1221000000,0,2656000000,3440000000,735000000,2958000000,4592000000,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2017-06-30,USD,12060000000,2292000000,None,833000000,7964000000,3927000000,0,1328000000,0,454000000,739000000,2190000000,5587000000,669000000,3832000000,3399000000,3399000000,-493000000,2302000000,4171000000,None,1635000000,0,2015000000,3393000000,654000000,2498000000,4074000000,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2017-03-31,USD,11919000000,2214000000,None,869000000,8090000000,3632000000,0,1335000000,0,250000000,670000000,2114000000,5291000000,729000000,4087000000,19000000,19000000,-626000000,2188000000,4440000000,None,1418000000,0,2197000000,3333000000,645000000,2733000000,3783000000,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2016-12-31,USD,11257000000,2184000000,None,823000000,7828000000,3258000000,0,1316000000,0,84000000,641000000,2082000000,5129000000,709000000,3830000000,104000000,104000000,-725000000,2138000000,3990000000,None,1074000000,0,1823000000,3357000000,635000000,2410000000,3391000000,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2016-09-30,USD,13033000000,2292000000,None,469000000,8658000000,4210000000,None,1405000000,4452000000,None,891000000,2179000000,5147000000,105000000,4260000000,38000000,38000000,-276000000,2195000000,5691000000,1714000000,1884000000,2034000000,2423000000,3485000000,660000000,2776000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2016-06-30,USD,10232000000,2285000000,None,745000000,5204000000,4848000000,None,1357000000,5137000000,84000000,464000000,2169000000,4465000000,120000000,3889000000,66000000,66000000,None,2079000000,3688000000,1694000000,None,None,2132000000,29000000,691000000,2503000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2016-03-31,USD,10314000000,2305000000,None,651000000,5311000000,4810000000,None,1233000000,5018000000,84000000,481000000,2184000000,4555000000,66000000,3967000000,178000000,178000000,None,2125000000,3634000000,1768000000,None,None,2195000000,32000000,722000000,2595000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2015-12-31,USD,10034000000,2253000000,None,808000000,4250000000,5604000000,None,1146000000,None,None,564000000,2131000000,4458000000,58000000,3654000000,None,None,None,2087000000,None,None,None,None,None,32000000,701000000,2462000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94000000
2015-09-30,USD,10437000000,2289000000,None,927000000,4639000000,5626000000,None,1334000000,5873000000,None,500000000,2160000000,4492000000,44000000,4011000000,8000000,8000000,-247000000,2139000000,3806000000,1646000000,3337000000,None,2395000000,35000000,701000000,2653000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
