fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-72000000,-669000000,-72000000,None,-56000000,-73000000,-17000000,12000000,-325000000,-608000000,-455000000,None,75000000,0,None,46000000,None,208000000,73000000,None,None,None
2020-03-31,USD,-80000000,-199000000,-80000000,10000000,833000000,826000000,-7000000,25000000,-19000000,675000000,-56000000,None,82000000,0,None,-53000000,None,15000000,94000000,None,None,None
2019-12-31,USD,-128000000,-267000000,-128000000,10000000,-19000000,-74000000,-55000000,-20000000,-167000000,41000000,239000000,None,84000000,0,None,23000000,395000000,162000000,91000000,None,None,None
2019-09-30,USD,-105000000,-6000000,-105000000,10000000,14000000,3000000,-11000000,27000000,-4000000,-101000000,2000000,None,82000000,0,None,-31000000,-88000000,22000000,118000000,None,None,None
2019-06-30,USD,-88000000,-134000000,-88000000,10000000,397000000,349000000,-48000000,23000000,-321000000,534000000,266000000,None,79000000,0,None,51000000,129000000,405000000,98000000,None,None,None
2019-03-31,USD,-72000000,400000000,-190000000,62000000,397000000,-49000000,-25000000,-29000000,-166000000,-196000000,40000000,None,137000000,-26000000,None,7000000,-230000000,92000000,252000000,None,None,None
2018-12-31,USD,3000000,-451000000,-118000000,-11000000,2000000,-38000000,-14000000,21000000,-17000000,-281000000,-128000000,None,75000000,-26000000,None,-19000000,320000000,-48000000,144000000,None,None,None
2018-09-30,USD,3000000,189000000,-73000000,11000000,-8000000,-51000000,-17000000,69000000,-1355000000,309000000,439000000,None,110000000,-26000000,0,-52000000,130000000,1188000000,132000000,None,None,None
2018-06-30,USD,1000000,-59000000,-145000000,-11000000,-159000000,-207000000,-22000000,-55000000,54000000,25000000,390000000,None,113000000,-26000000,0,-28000000,246000000,198000000,138000000,None,None,None
2018-03-31,USD,1000000,309000000,-123000000,-11000000,133000000,94000000,-14000000,-48000000,-168000000,-37000000,-23000000,None,109000000,-25000000,0,-4000000,-473000000,297000000,123000000,None,None,None
2017-12-31,USD,-5000000,-296000000,-146000000,-11000000,1000000,-49000000,-24000000,-55000000,-216000000,-319000000,-127000000,None,108000000,-26000000,0,-22000000,170000000,222000000,143000000,None,None,None
2017-09-30,USD,-11000000,-113000000,-795000000,-4000000,-126000000,627000000,793000000,-166000000,344000000,604000000,746000000,None,353000000,-52000000,0,-10000000,30000000,-244000000,577000000,None,None,None
2017-06-30,USD,-5000000,-298000000,-398000000,0,-31000000,654000000,850000000,-17000000,201000000,-60000000,300000000,None,0,-26000000,0,15000000,81000000,-60000000,417000000,None,None,None
2017-03-31,USD,-5000000,245000000,-293000000,0,-134000000,782000000,907000000,10000000,190000000,20000000,143000000,None,0,0,0,4000000,154000000,3000000,302000000,None,None,None
2016-12-31,USD,-6000000,-365000000,-203000000,0,9000000,833000000,824000000,-17000000,142000000,604000000,-13000000,None,0,0,0,1000000,181000000,-50000000,207000000,None,None,None
2016-09-30,USD,-24000000,57000000,-425000000,20000000,1487000000,1516000000,29000000,95000000,-1546000000,61000000,-1034000000,None,344000000,-52000000,-40000000,49000000,83000000,-451000000,437000000,None,None,None
2016-06-30,USD,None,None,-126000000,20000000,None,30000000,-3000000,-78000000,-14000000,54000000,444000000,None,81000000,None,None,16000000,27000000,None,312000000,None,None,None
2016-03-31,USD,None,None,-73000000,23000000,None,-125000000,1000000,304000000,-779000000,8000000,294000000,None,86000000,None,None,-4000000,-235000000,None,186000000,None,None,None
2015-12-31,USD,None,None,None,22000000,None,4000000,None,None,137000000,None,90000000,None,None,None,None,None,222000000,None,108000000,None,None,None
2015-09-30,USD,-44000000,8000000,-489000000,27000000,-32000000,93000000,125000000,-55000000,460000000,-1000000,397000000,None,347000000,-52000000,-38000000,-63000000,-249000000,-178000000,478000000,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,208000000,None,None,None,None,None,None,None,None,None,0,None,None,None
