fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,3376800000,765600000,2067100000,1309700000,546900000,411600000,None,None,531300000,None,765600000,2800000,544100000,None,15600000,119700000,14500000,-85700000,6300000,None,None,119700000,72900000,None,411600000,411600000,None
2020-03-31,USD,4047800000,756600000,2239100000,1808700000,1096700000,820900000,None,None,1076700000,None,756600000,44600000,1052100000,None,20000000,255800000,12100000,-7900000,None,None,None,255800000,32500000,None,820900000,820900000,None
2019-12-31,USD,3669500000,754300000,2094100000,1575400000,867100000,651600000,None,None,835500000,None,754300000,46000000,821100000,None,31600000,183900000,25700000,-5900000,None,None,None,183900000,20300000,None,651600000,651600000,None
2019-09-30,USD,3495700000,726500000,2044800000,1450900000,779000000,582400000,None,None,739100000,None,726500000,54600000,724400000,None,39900000,156700000,32300000,-7600000,None,None,None,156700000,22300000,None,582400000,582400000,None
2019-06-30,USD,3498700000,550300000,2020600000,1478100000,971400000,475500000,None,None,633300000,None,854700000,43600000,927800000,-304400000,33700000,157900000,26000000,-7700000,None,None,None,806200000,17600000,None,-172900000,475500000,None
2019-03-31,USD,3847400000,750400000,2111800000,1735600000,1006200000,753700000,None,None,984500000,None,750400000,21000000,985200000,None,21700000,230800000,15000000,-6700000,None,None,None,230800000,6000000,None,753700000,753700000,None
2018-12-31,USD,3505900000,745200000,2013700000,1492200000,779600000,558200000,156100000,None,741000000,None,745200000,32600000,747000000,None,38600000,None,None,None,600000,None,None,-182800000,-28500000,None,923800000,558200000,None
2018-09-30,USD,3323200000,713900000,1940500000,1382700000,682700000,505400000,158000000,None,646800000,None,713900000,13900000,668800000,None,35900000,None,None,None,None,None,None,-141400000,-36800000,None,788200000,505400000,None
2018-06-30,USD,3318600000,836800000,1952100000,1366500000,233200000,108700000,152600000,0,204600000,0,836800000,-296500000,529700000,0,28600000,None,None,None,0,0,0,1004700000,-344900000,0,-800100000,108700000,None
2018-03-31,USD,3693000000,755100000,2077400000,1615600000,871200000,643100000,162500000,0,852600000,0,755100000,10700000,860500000,0,18600000,None,None,None,0,0,0,-209500000,-19700000,0,1062100000,643100000,None
2017-12-31,USD,3235400000,717200000,1946700000,1288700000,593200000,467500000,159400000,0,565700000,0,717200000,21700000,571500000,0,27500000,None,None,None,0,0,0,-98200000,-34300000,0,663900000,467500000,None
2017-09-30,USD,3078800000,662400000,1866400000,1212400000,576200000,401500000,158200000,0,548200000,0,662400000,26200000,550000000,0,28000000,None,None,None,0,0,0,-146700000,26200000,0,694900000,401500000,None
2017-06-30,USD,3064800000,829700000,1847400000,1217400000,411100000,265900000,166900000,0,388300000,0,829700000,23400000,387700000,0,22800000,None,None,None,0,0,0,122400000,115300000,0,265900000,265900000,None
2017-03-31,USD,3410800000,665000000,1911000000,1499800000,844700000,587900000,153200000,0,827900000,0,665000000,9900000,834800000,0,16800000,None,None,None,0,0,0,240000000,-218200000,0,587900000,587900000,None
2016-12-31,USD,2987300000,640800000,1767800000,1219500000,806700000,510900000,152500000,0,786200000,0,640800000,228000000,578700000,0,20500000,None,None,None,0,0,0,275300000,205100000,0,510900000,510900000,None
2016-09-30,USD,2916900000,647700000,1743600000,1173300000,548600000,368700000,154900000,0,528700000,0,647700000,23000000,525600000,0,19900000,None,None,None,0,0,0,160000000,23000000,0,368700000,368700000,None
2016-06-30,USD,2898200000,770100000,1698600000,1199600000,445200000,282000000,150700000,0,427000000,0,770100000,15700000,429500000,0,18200000,None,None,None,0,0,0,145000000,-4000000,-900000,282000000,282000000,None
2016-03-31,USD,3248600000,634400000,1812700000,1435900000,811100000,532500000,147300000,0,794800000,0,634400000,9600000,801500000,0,16300000,None,None,None,0,0,0,262300000,0,0,532500000,532500000,None
2015-12-31,USD,2807000000,627200000,1682500000,1124500000,524700000,341400000,149600000,0,507900000,0,627200000,27400000,497300000,0,16800000,None,None,None,0,0,0,166500000,0,0,341400000,341400000,None
2015-09-30,USD,2714000000,605300000,1577700000,1067500000,509900000,336600000,156100000,0,505000000,0,605300000,47700000,462200000,0,4900000,None,None,None,0,0,0,167500000,0,-900000,337500000,337500000,None
2015-06-30,USD,2694500000,-843300000,3152600000,-480900000,378000000,336200000,149100000,0,381600000,0,-841400000,15600000,367600000,0,3500000,None,None,None,0,0,0,124600000,67400000,83700000,252500000,336200000,None
