fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,177492000,-7527000,177492000,None,None,6337000,None,1092000,-33535000,152752000,-31077000,None,1998000,None,None,-18000,1468000,5445000,2263000,None,None,None
2020-03-31,USD,142759000,-11529000,142759000,145722000,None,4959000,None,2978000,-31403000,116112000,-31606000,None,1978000,None,4959000,-1449000,3278000,4541000,2963000,None,None,None
2019-12-31,USD,46680000,-6264000,46680000,-470497000,None,1746000,-2000,-1090000,-20611000,21635000,-26791000,None,2075000,None,324905000,-402000,-3419000,2920000,2416000,None,None,None
2019-09-30,USD,-260852000,-10688000,-260852000,-519593000,None,319550000,-1627000,-6643000,-13950000,28560000,-30138000,None,2063000,None,323157000,-663000,-1953000,1696000,3430000,None,None,None
2019-06-30,USD,-45349000,-5675000,-45349000,-262171000,None,-1504000,-3363000,2605000,-15659000,-62823000,-15970000,None,1870000,None,1989000,-149000,-3186000,4224000,1523000,None,None,None
2019-03-31,USD,-222176000,295703000,-222176000,-218345000,0,124000,-6000,-3967000,-18386000,56251000,278303000,None,1364000,0,130000,-17000,741000,2446000,3831000,None,None,None
2018-12-31,USD,None,None,736000,7054000,None,1248000,-20000,None,-46447000,-30275000,-32259000,None,4301000,None,1268000,None,None,None,6318000,None,None,None
2018-09-30,USD,7323000,919000,5133000,None,None,57000,-5000,-619000,-8292000,-6496000,-11686000,None,1465000,None,None,608000,-7952000,2185000,2190000,None,None,None
2018-06-30,USD,5663000,2637000,4662000,None,None,446000,-4000,-820000,-12493000,-3958000,-9066000,None,1491000,None,None,-946000,-1047000,2112000,1020000,None,None,None
2018-03-31,USD,-36094000,1775000,-36688000,0,0,467000,-6000,-110000,-12391000,-42318000,-6097000,None,1451000,0,0,-1975000,2212000,2941000,594000,None,None,None
