fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,20988000,57897000,4912000,16076000,-34911000,-33535000,25992000,None,-35016000,None,26570000,None,-36909000,None,None,-1481000,1893000,1893000,None,None,None,-1481000,None,None,-33535000,-33535000,None
2020-03-31,USD,20910000,55530000,5343000,15567000,-32642000,-31403000,23935000,None,-31726000,None,25828000,None,-34620000,None,None,-323000,2894000,2894000,None,None,None,-323000,None,None,-31403000,-31403000,None
2019-12-31,USD,24209000,48397000,5951000,18258000,-22113000,-20611000,21189000,None,-20611000,None,20829000,None,-24188000,None,None,None,3577000,3577000,None,None,None,None,3577000,None,-20611000,-20611000,None
2019-09-30,USD,26058000,44111000,5601000,20457000,-15990000,-13950000,20506000,None,-13950000,None,17576000,None,-18053000,None,None,None,4103000,4103000,None,None,None,None,4103000,None,-13950000,-13950000,None
2019-06-30,USD,22138000,38243000,5734000,16404000,-14235000,-15659000,16527000,None,-15659000,None,15559000,None,-16105000,None,None,None,446000,446000,None,None,None,None,446000,None,-15659000,-16369000,None
2019-03-31,USD,12666000,32711000,4988000,7678000,-18262000,-18386000,12483000,0,-18386000,0,14821000,None,-20045000,0,0,None,1659000,1659000,0,0,0,0,1659000,0,-18386000,-18640000,None
2018-12-31,USD,55663000,None,19668000,35995000,None,-46447000,None,None,-46447000,None,44895000,None,-49756000,None,None,None,None,None,None,None,None,None,None,None,None,-46345000,None
2018-09-30,USD,17188000,26349000,15143000,2045000,-9161000,-8292000,9783000,None,-8292000,None,10778000,None,-9161000,None,None,None,None,None,None,None,None,None,869000,None,-8292000,-8296000,None
2018-06-30,USD,11568000,24881000,14496000,-2928000,-13313000,-12493000,9452000,None,-12493000,None,9961000,None,-13313000,None,None,None,None,None,None,None,None,None,820000,None,-12493000,-12495000,None
2018-03-31,USD,9715000,22853000,12844000,-3129000,-13138000,-12391000,9452000,0,-12391000,0,9590000,None,-13138000,0,0,None,None,None,0,0,0,0,747000,0,-12391000,-12387000,None
