fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-3247000,-199000,-2664000,544000,None,43000,None,-3738000,-16615000,-23580000,-20959000,-7377000,855000,None,43000,None,-109000,2486000,39000,-109000,None,-23580000
2020-03-31,USD,42646000,2500000,42598000,42646000,None,80000,None,2887000,-7575000,34813000,-7865000,-7093000,836000,None,80000,None,-711000,4178000,48000,-711000,None,34813000
2019-12-31,USD,28014000,-2337000,27937000,-503000,None,47000,213000,-1455000,-19415000,5915000,-22069000,-3333000,887000,None,47000,None,-120000,2249000,77000,-120000,None,5915000
2019-09-30,USD,-9198000,2088000,-9999000,-28517000,None,93000,164000,1139000,-20952000,-25759000,-15853000,-4668000,708000,None,93000,None,1141000,5830000,801000,1141000,None,-25759000
2019-06-30,USD,-17632000,-779000,-17590000,-19319000,None,352000,164000,1557000,-18578000,-33615000,-16377000,-1587000,723000,None,352000,None,-656000,4500000,42000,-656000,None,-33615000
2019-03-31,USD,-1687000,-1354000,-2111000,-1687000,None,251000,None,-902000,-23427000,-13069000,-11209000,-2301000,875000,None,251000,None,11330000,3668000,424000,11330000,None,-13069000
2018-12-31,USD,6694000,2727000,6367000,31000,None,292000,-3481000,319000,-26320000,5566000,-1093000,25526000,975000,None,292000,None,-12037000,8036000,358000,-12037000,None,5566000
2018-09-30,USD,34005000,1017000,32829000,6000,None,-3413000,-3481000,-3193000,-23147000,6696000,-22720000,-6975000,953000,0,68000,0,1041000,4391000,1182000,1041000,None,6696000
2018-06-30,USD,36435000,-259000,37733000,4000,None,1009000,-3481000,-945000,-24396000,14397000,-24345000,-4574000,941000,0,1009000,0,-340000,4283000,1294000,-340000,None,14226000
2018-03-31,USD,-35403000,-3874000,-37522000,0,None,617000,-3481000,-2719000,-21494000,-57506000,-20601000,-1810000,1017000,0,617000,0,288000,5272000,2119000,288000,171000,-57335000
2017-12-31,USD,22094000,-3564000,20322000,0,None,2540000,-3481000,6508000,-26132000,-1434000,-24296000,-5776000,1102000,0,2540000,0,149000,9715000,1772000,359000,8000,-1426000
2017-09-30,USD,-21051000,-960000,-22980000,0,None,18118000,None,13871000,-24520000,-25310000,-20448000,-2852000,1080000,0,18118000,0,210000,4776000,1929000,2028000,535000,-24775000
2017-06-30,USD,55329000,-2311000,54617000,0,None,43400000,None,-2800000,-19399000,76747000,-21270000,-3981000,1123000,0,43400000,0,2238000,6910000,712000,-3612000,None,76747000
2017-03-31,USD,37723000,-5266000,36982000,0,None,17996000,None,-2438000,-21812000,32136000,-22842000,-2427000,1301000,0,17996000,0,1374000,3988000,741000,1374000,None,32136000
2016-12-31,USD,1656000,1367000,-2752000,-468000,None,5227000,-477000,11723000,-29566000,-23051000,-25526000,3920000,1276000,0,5704000,0,3708000,-2441000,4408000,-82000,None,-23051000
2016-09-30,USD,1308000,-2043000,-8103000,-468000,None,34808000,2736000,6603000,-35051000,-7955000,-34660000,8000,1046000,0,32072000,0,3790000,1052000,8943000,328000,None,-7955000
2016-06-30,USD,-3087000,-9367000,-12258000,0,None,590000,24000,-3521000,2296000,-14195000,-2527000,-257000,1017000,0,566000,0,3462000,3301000,9171000,483000,None,-14195000
2016-03-31,USD,-8055000,1105000,-9420000,0,None,2460000,2161000,None,-28827000,-30323000,-23363000,-929000,1044000,0,299000,0,2979000,1265000,1365000,2979000,None,-30323000
2015-12-31,USD,-13980000,-8882000,-28659000,-14321000,None,1068000,4444000,1156000,3100000,-30535000,-2944000,437000,902000,0,1068000,0,-1693000,3198000,358000,-1699000,None,-30535000
2015-09-30,USD,-267513000,183122000,-268164000,0,None,-741000,None,None,567000,-284876000,-15971000,-199788000,327000,0,-741000,0,6000,1887000,651000,-2086000,None,-284876000
2015-06-30,USD,None,-8932000,-851000,0,None,151538000,None,None,-26260000,332883000,182196000,198292000,126000,0,151538000,0,2092000,19500000,851000,-530000,None,332883000
