fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,5574000,22574000,None,5574000,-16615000,-16615000,11108000,None,-16615000,None,9284000,385000,-17000000,136000,None,0,413000,413000,None,2046000,None,None,-2074000,None,-16615000,-16615000,None
2020-03-31,USD,13950000,28091000,None,13950000,-13240000,-7575000,15828000,None,-13240000,None,7819000,901000,-14141000,136000,None,-5665000,920000,920000,None,4308000,None,-5665000,-4327000,None,-7575000,-7575000,None
2019-12-31,USD,3633000,24216000,15129000,3633000,-19505000,-19415000,15129000,None,-19505000,None,8950000,1078000,-20583000,137000,None,-90000,1117000,1117000,None,None,None,-90000,-39000,None,-19415000,-19415000,None
2019-09-30,USD,4799000,29337000,15510000,4799000,-23204000,-20952000,15510000,None,-23204000,None,8683000,1334000,-24538000,138000,None,-2252000,1366000,1366000,None,5006000,None,-2252000,-5038000,None,-20952000,-20952000,None
2019-06-30,USD,4888000,24995000,15699000,4888000,-18613000,-18578000,16876000,None,-18613000,None,7980000,1494000,-20107000,139000,None,-35000,1497000,1497000,None,None,None,-35000,-3000,None,-18578000,-18578000,None
2019-03-31,USD,3938000,28852000,19530000,3938000,-23462000,-23427000,19530000,None,-23462000,None,9182000,1452000,-24914000,140000,None,-35000,1471000,1471000,None,None,None,-35000,-19000,None,-23427000,-23427000,None
2018-12-31,USD,2758000,30760000,18187000,2758000,-26659000,-26320000,17613000,0,-26659000,0,9014000,1343000,-28002000,141000,0,None,None,None,0,3992000,0,-339000,-2075000,0,-26320000,-26320000,None
2018-09-30,USD,3063000,27968000,18675000,3063000,-23531000,-23146000,18675000,0,-23531000,0,9149000,1374000,-24905000,144000,0,None,None,None,0,0,0,-385000,1374000,0,-23146000,-23146000,None
2018-06-30,USD,2639000,28394000,19420000,2639000,-24435000,-24397000,19420000,0,-24435000,0,8827000,1320000,-25755000,147000,0,None,None,None,0,0,0,-38000,1320000,0,-24397000,-24397000,None
2018-03-31,USD,6627000,29325000,19763000,6627000,-21515000,-21494000,20128000,0,-21515000,0,9045000,1183000,-22698000,152000,0,None,None,None,0,0,0,-21000,818000,0,-21494000,-21494000,None
2017-12-31,USD,3756000,31832000,29606000,3756000,-25651000,-26131000,22916000,0,-27081000,0,8770000,2425000,-28076000,146000,0,None,None,None,0,0,0,-950000,3226000,0,-26131000,-26131000,None
2017-09-30,USD,3794000,33057000,32038000,3794000,-28394000,-24520000,24454000,0,-28394000,0,8458000,869000,-29263000,145000,0,None,None,None,0,0,0,-3874000,0,0,-24520000,-24520000,None
2017-06-30,USD,5917000,29821000,27215000,5917000,-23968000,-19400000,21440000,0,-23188000,0,8245000,-64000,-23904000,136000,-780000,None,None,None,0,0,0,-3788000,0,0,-19400000,-19400000,None
2017-03-31,USD,3772000,28982000,28024000,3772000,-25214000,-21812000,20572000,0,-24564000,0,8278000,-4000,-25210000,132000,-650000,None,None,None,0,0,0,-2752000,0,0,-21812000,-21812000,None
2016-12-31,USD,3878000,29019000,28112000,3878000,-25149000,-29566000,20863000,0,-24470000,0,8022000,-8000,-25141000,134000,-679000,None,None,None,0,0,0,5096000,2179000,0,-29566000,-29566000,None
2016-09-30,USD,3794000,27740000,27111000,3794000,-23947000,-35051000,19046000,0,-23381000,0,8556000,-1000,-23946000,138000,-566000,None,None,None,0,0,0,11670000,0,0,-35051000,-35051000,None
2016-06-30,USD,38979000,35722000,35200000,38979000,3248000,2296000,26882000,0,3768000,0,8700000,-9000,3257000,140000,-520000,None,None,None,0,0,0,1472000,0,0,2296000,2296000,None
2016-03-31,USD,4030000,30063000,29569000,4030000,-26055000,-28827000,20927000,0,-25601000,0,8999000,-22000,-26033000,137000,-454000,None,None,None,0,0,0,3226000,0,0,-28827000,-28827000,None
2015-12-31,USD,34376000,31551000,30637000,34376000,2646000,3100000,22657000,0,3001000,0,8805000,-179000,2825000,89000,-355000,None,None,None,0,0,0,-99000,-26316000,0,3100000,3100000,None
2015-09-30,USD,19146000,18721000,18559000,19146000,428000,567000,11813000,0,567000,0,6908000,3000,425000,0,-139000,None,None,None,0,0,0,0,0,0,567000,567000,None
2015-06-30,USD,9883000,19415000,19289000,9883000,-26260000,-26260000,13533000,0,-26260000,0,5882000,-16728000,-9532000,0,0,None,None,None,0,0,0,0,0,0,-26260000,-26260000,None
